ft_sigma_c,zi_alpha,zi_delta,zi_mu,D,dKS,dV,dACF1,dACF2,dHill,ret_std,ret_kurtosis,acf_r_1,acf_r_5,acf_r_10,acf_r_20,acf_absr_1,acf_absr_5,acf_absr_10,acf_absr_20,hill_tail_index,ks_stat
0.5,0.02,0.02,0.0125,98.4175415381812,25.083268885776633,43.14420517525312,19.369847612900127,9.934215329523258,0.8860045347280651,0.0006779188356904751,7.033659630199612,-0.18137998595356844,-0.04399016824657248,0.008760262605486421,-0.006564096658968329,0.5365405810048439,0.38382850715338473,0.29747815049480847,0.21773155429442514,2.8980024113874143,0.2008129257952691
0.5,0.02,0.02,0.046875,93.70515629397792,25.684354961180247,39.53121123080361,16.39237766490152,4.72579714124992,7.371415295842614,0.0006460469911809331,6.691597670682604,-0.16418506349406478,-0.030938869114610076,0.00827804117872668,-0.0011778474284389144,0.42188987596504157,0.26166317565756847,0.22086764332958064,0.16885200133438238,3.454023459774469,0.20562513165273777
0.5,0.02,0.02,0.08124999999999999,93.41566622592117,25.245515704652572,39.28383926698892,15.217961087327453,5.66371497538049,8.004635191571731,0.0006438648118338477,5.417230823019429,-0.1622883639881183,-0.026912073209589146,0.002656903419696132,0.000900271219577974,0.4279727143212919,0.25472424076418954,0.19158634221792933,0.1569761388659977,3.4966619107079384,0.2021118497332861
0.5,0.02,0.02,0.11562499999999999,81.60442758521229,24.121659072081727,36.95888948183307,14.368067695976476,5.026325255015865,1.1294860803051545,0.0006233553841447098,9.821958540926495,-0.15272693883980215,-0.01861345692945869,0.004009953755929136,-0.003997393745653197,0.41753061953779763,0.260569928490116,0.20638529935175498,0.16502144060191015,3.033717347502948,0.1931144204273736
0.5,0.02,0.02,0.15,79.44867038921475,23.229462195961922,34.57888782278792,12.73771008814063,4.744349605684805,4.158260676639478,0.0006023603191166956,7.987162848899173,-0.14502957042929024,-0.010808369457697947,-0.004545486264063775,0.0003388551351572779,0.35619443938381457,0.221966860781712,0.18935998286059738,0.1595494009126538,3.2376627034296432,0.1859716247297757
0.5,0.02,0.1,0.0125,61.06925244891824,20.71262728661679,17.77219864745017,11.528248831715423,7.102028310796278,3.9541493723395775,0.00045410095517851883,5.613871239108338,-0.1295904834843488,-0.013141984201432937,0.0032025980100373573,0.00129495174059615,0.30977862325949274,0.18067308759279507,0.13857802515344828,0.10499742811422298,3.2239186788150396,0.16582221819943865
0.5,0.02,0.1,0.046875,68.26464767445741,21.96540193960008,21.58277945985009,11.347827781012068,5.318917108374617,8.049721385620549,0.000487715802313935,4.384636751110891,-0.13166102974575747,-0.013934381306473754,0.0014030974358535877,0.003922760804595044,0.2898529928377567,0.1907223998103523,0.1606432256095632,0.14061542956754167,3.499697831540012,0.17585174603224762
0.5,0.02,0.1,0.08124999999999999,67.91469455741475,22.437410854911988,21.453621945959032,10.377284594258699,4.394149046449678,9.252228115835358,0.0004865764457959705,3.7506630888383956,-0.127776950204345,-0.0072429132779896314,0.0007813698899943822,0.005038073696671146,0.29234674596160487,0.20159766849889524,0.17450324918062354,0.1529183601677808,3.5806697412340256,0.17963057931418014
0.5,0.02,0.1,0.11562499999999999,68.96695100855054,23.004690869447746,21.972389400836693,11.023695354239743,4.540758338637185,8.425417045389178,0.0004911527268284567,4.216452347376584,-0.12797196790336368,-0.006776014223138967,-0.0014017282506455758,-0.002141068070917682,0.31073974655660924,0.19429989964063785,0.18476558525581796,0.15568289322072795,3.524995648401115,0.18417213886859313
0.5,0.02,0.1,0.15,62.65232879727852,21.695697931885245,19.855681098524975,10.520372312291942,3.4275229446439317,7.153054509932434,0.000472480290915029,4.576410268361087,-0.12369169755683539,-0.00788727020433287,-0.0015110459066163494,0.008900904325145193,0.30983404138573295,0.20787222946740522,0.20055148593255132,0.1729791703701813,3.439319933055517,0.1736925357979453
0.5,0.02,0.18,0.0125,55.719361553360244,19.473470510461514,13.215726384545334,9.497713623044435,10.227224828167182,3.305226207141789,0.00041390626409733267,10.149122329421298,-0.10952935120654987,0.001800337236937409,0.0009542887338291499,-0.0022933284722280022,0.23974636967739985,0.1445276530383546,0.1099019380407505,0.07747114795543085,3.1802228336189278,0.155901713066239
0.5,0.02,0.18,0.046875,62.58601028609161,21.068276589062062,16.404163860828906,9.50564993710283,8.00710220774784,7.600817691349965,0.00044203290505908223,4.739144696802938,-0.10979783007164247,0.0004811963500031263,-0.005233334549186446,0.0004817259203974599,0.2458784258073714,0.16645391818911537,0.13963653597056733,0.11459735735582076,3.4694704835506216,0.16866949370034356
0.5,0.02,0.18,0.08124999999999999,63.81844424954042,21.25468554158742,16.869071509750523,9.037796135018503,6.1640332507977265,10.492857812386237,0.0004461340645200578,3.6416219629157967,-0.11085876793572443,-0.001217566569358526,-0.004148504030021645,0.0038089980918757324,0.25323740108844606,0.18433098250889188,0.15695553245691704,0.15083778311006582,3.664208696342314,0.17016185609224355
0.5,0.02,0.18,0.11562499999999999,65.20627093626982,21.306665792404253,15.804482882537803,9.145487160031246,6.246715375650577,12.702919725645941,0.00043674284944612265,3.186308446216816,-0.10799405354117654,0.000854280551846524,-0.0036987172271728277,0.0016798298156531924,0.2565516568308348,0.18070792134705313,0.161270531663425,0.14337203668444157,3.8130252718858677,0.1705780022611354
0.5,0.02,0.18,0.15,62.06954068282529,21.793511193505665,14.921068936489936,8.892927486651978,5.276113882736523,11.185919183441182,0.0004289498577171292,3.2140456542314206,-0.1015300398431674,-0.0011510609858106345,-0.0045768152246989284,-0.0019319110897992851,0.24976019847135586,0.1989396100521489,0.18204014304024319,0.15253766130104815,3.7108766287034456,0.17447561424505761
0.5,0.02,0.26,0.0125,51.70196904985766,18.309714772215298,10.888881233340143,7.9826846448457625,10.92138226243833,3.5993061370181225,0.0003933801165318423,9.91474839791838,-0.0994141854856363,-0.000837933719506302,0.0013054380523835239,0.0033487030586519958,0.21203501673602676,0.1266440292583563,0.10770046871241855,0.09541559547970412,3.200024979358698,0.14658485744536842
0.5,0.02,0.26,0.046875,63.27808788526204,20.841068044624894,13.46895309603942,8.162159377191271,9.595341105253558,11.210566262152888,0.00041614009080684074,3.896148138494766,-0.10032445550961609,-0.0015802347994279705,-0.002677845928865791,0.0026349299072600126,0.20070004357831608,0.14634661952801103,0.1329379679889691,0.11833607427852126,3.7125362626842957,0.16685049583440015
0.5,0.02,0.26,0.08124999999999999,60.353197553518214,20.613223098104104,13.807346116241092,8.815814337082953,7.336464208359256,9.780349793730805,0.0004191252078285703,4.316308702704124,-0.10026519501215753,0.00023453435599458833,-0.004088216027891358,-0.0014184641662451705,0.23006547611914477,0.17056768141464743,0.1504318887685836,0.1440116209266427,3.616231305868564,0.16502640302788196
0.5,0.02,0.26,0.11562499999999999,62.42275933253736,20.442446016497634,13.327298033992903,8.389441039776539,7.060093781942547,13.203480460327741,0.00041489048779588854,3.257456223386346,-0.09934683724481237,7.80971322737947e-05,-0.0023926774353502816,0.0006015300388654858,0.22380482224210815,0.1732592323484341,0.16683257248966296,0.14297250791477353,3.8467309947617667,0.16365918707320154
0.5,0.02,0.26,0.15,61.67926729853707,20.91217685356582,13.497657812908782,7.848885522105695,6.444944515274048,12.97560259468273,0.000416393308024145,2.860627268547132,-0.09331273863740476,0.0004288898264053198,0.00017460546370282582,-0.0002480657829240258,0.2301843319274295,0.1767077712317419,0.16694651159483445,0.1593638547564229,3.8313866266225745,0.167419782399013
0.5,0.02,0.34,0.0125,50.41386552661644,17.357112483655243,9.841260679046863,8.3893686304189,11.976221213918112,2.8499025195773173,0.00038413858446043357,8.91020845254158,-0.09478472118797432,0.0007774795854048469,0.003935588500335834,-0.0009196408669255064,0.19379031948042258,0.10728782279191529,0.09571723762589175,0.09980425536346006,3.1495631894068494,0.13895846498607112
0.5,0.02,0.34,0.046875,57.31738019800878,19.723040372708706,12.232484127150371,8.019937155919076,10.612827802652365,6.729090739578251,0.00040523264193667385,3.9169977604309993,-0.09219807854349094,0.003076358894985987,-0.005630921411111606,0.004203636714410929,0.18780391533738908,0.13387536307327638,0.11296432111390359,0.12006017562863684,3.4107719380513477,0.15789973232187915
0.5,0.02,0.34,0.08124999999999999,60.95795044667371,21.17658320160252,12.739013153226553,8.113234919847686,8.794860148512074,10.134259023484887,0.0004097009622845314,4.446551730739086,-0.09164391567898156,0.002191827223274732,-0.005937667642133407,0.002278331530732626,0.20375035561129648,0.14761782268387366,0.1420875687150476,0.13913207298557032,3.64006211319087,0.16953658035664282
