exp,regime,arm,n,client_def,member_def,deep_wf,mutualised_L3,IM_bn,DF_bn
H1,calm,flat04,150,0.0,0.0,0.0,0.0,18.143787891317537,15.2105865615
H1,calm,flat08,150,0.0,0.0,0.0,0.0,31.728808587548883,13.085067378405
H1,calm,flat12,150,0.0,0.0,0.0,0.0,42.325148422639444,11.6318782899825
H1,calm,reactive,150,0.0,0.0,0.0,0.0,18.143787891317537,15.2105865615
H1,stressed,flat04,150,14.786666666666667,0.013333333333333334,0.04,0.013333333333333334,15.303143577415435,14.39997906952
H1,stressed,flat08,150,11.06,0.3466666666666667,0.9066666666666666,0.3,28.558427417360775,13.019047447413334
H1,stressed,flat12,150,6.913333333333333,0.5533333333333333,1.2666666666666666,0.42,39.67308760423369,11.667540144626667
H1,stressed,reactive,150,10.12,0.3333333333333333,0.7866666666666666,0.25333333333333335,26.900580495806135,14.030683801053334
