fund,im_regime,c,n,drawdown,client_def_mean,client_def_med,client_def_p90,cm_def_mean,nbcm_def_mean,deepest_mean,deepest_max,frac_l3,frac_l4,df_mean,ccp_used_mean
gbm,static,3.5,40,-46.742409129695645,71.825,71.5,76.1,2.75,2.75,3.375,4,0.9,0.55,653363272.9367905,-903844495.4097528
gbm,static,4.0,40,-51.31422578826001,73.75,74.0,76.0,3.0,2.95,3.55,4,0.975,0.6,620671767.6118809,-1083415617.1118968
kalman,flat05,1.0,40,-18.759965538546787,1.625,1.0,3.1000000000000014,0.3,0.3,0.0,0,0.0,0.0,1710968253.4883873,0.0
kalman,flat05,1.25,40,-22.877185717949164,6.3,6.0,11.0,0.35,0.35,0.025,1,0.0,0.0,1808132670.4693255,0.0
kalman,flat05,1.5,40,-26.779933715574593,12.0,12.0,15.100000000000001,0.425,0.425,0.1,1,0.0,0.0,1821427739.4980247,-358575.0
kalman,flat05,1.75,40,-30.48322432246647,17.625,18.0,21.0,0.475,0.475,0.15,2,0.0,0.0,1866254365.4460137,-4484607.168286299
kalman,flat05,2.0,40,-33.9971588029624,20.925,21.0,24.0,0.425,0.425,0.1,1,0.0,0.0,1902219485.1203637,-50128.125
kalman,flat05,2.25,40,-37.33878769670423,23.1,23.0,25.1,0.45,0.45,0.125,2,0.0,0.0,1887972024.8877857,141056.8516149521
kalman,flat05,2.5,40,-40.494084544485546,25.275,25.0,28.0,0.575,0.575,0.225,2,0.0,0.0,1917632917.3271377,-1303555.0632208108
kalman,flat05,2.75,40,-43.512035056808664,32.575,32.0,39.1,0.675,0.675,0.375,2,0.0,0.0,1947332769.4530208,835222.2751510382
kalman,flat05,3.0,40,-46.372245851326994,40.85,40.5,46.2,1.25,1.25,1.0,3,0.075,0.0,2150283132.806413,9146720.534826398
kalman,flat05,3.5,40,-51.64187489612048,47.375,48.0,53.1,2.5,2.5,1.875,3,0.125,0.0,2252627826.9802394,-29101431.273431182
kalman,flat05,4.0,40,-56.412478285620026,50.85,51.0,55.1,2.875,2.875,1.95,3,0.275,0.0,2229403816.0077543,-109211262.43761499
