family,fund,regime,mode,im_regime,im_mode,im_flat,reanchor,scenario,c,seed,drawdown,client_defaults,cm_defaults,bcm_defaults,nbcm_defaults,deepest_waterfall,mutualised_l3,mutualised_l4,total_df,ccp_cash_used,im_open,im_peak,im_trough,im_mean,im_peak_to_trough,im_max_jump_pct,im_responsiveness,error
H1,kalman,stressed,direct,reactive,reactive,0.05,1,gapped,2.75,42,-43.50535802358427,35,0,0,0,4,1,1,1729647505.1071212,-3463260428.7684174,1839795471.9327323,18247526486.38093,1839795471.9327323,13089362036.006454,9.918236437016358,0.9709150260953243,7.084252596897428,
H1,kalman,stressed,direct,reactive,reactive,0.05,1,gapped,3.0,42,-46.38389454333498,41,0,0,0,4,1,1,1824546084.9069264,-3645321995.004179,1636729908.1739166,19504156220.156677,1636729908.1739166,14036326855.961578,11.916539266956557,1.098177663854119,8.67161598565363,
H1,kalman,stressed,direct,reactive,reactive,0.05,1,gapped,3.5,42,-51.638792987490476,46,0,0,0,3,1,0,2592257802.975176,-1124311127.2051525,1440357932.2342134,29725701226.586903,1440357932.2342134,18355785012.059647,20.637718279148736,1.1711425247156129,15.599334879569795,
H1,kalman,stressed,direct,reactive,reactive,0.05,1,gapped,4.0,42,-56.42290274850916,46,0,0,0,4,1,1,2661314193.6622705,-1786990583.3035126,2089188137.916719,29565500640.17504,2089188137.916719,18647940793.01786,14.151669781955084,0.9902493872420175,10.447104813193667,
H2,kalman,stressed,tiered,static,static,0.05,1,gapped,1.0,42,-18.804645115006945,3,0,0,0,0,0,0,517287984.03115684,0.0,7384984659.937447,12104902101.136377,7384984659.937447,11038296791.796278,1.6391235267967246,0.2509309900366119,0.5076914630402767,
H2,kalman,stressed,tiered,static,static,0.05,1,gapped,1.25,42,-22.893781105680855,9,0,0,0,0,0,0,610792826.9861073,0.0,7299857965.267603,11889351654.153719,7299857965.267603,10815332736.026615,1.6287099982934903,0.2910742968238045,0.499419416558564,
H2,kalman,stressed,tiered,static,static,0.05,1,gapped,1.5,42,-26.781150517867548,10,0,0,0,0,0,0,600107244.6164716,0.0,7160964097.866041,11881808286.751263,7160964097.866041,10462713010.306131,1.6592470126043541,0.2959258942345371,0.5236766701603317,
H2,kalman,stressed,tiered,static,static,0.05,1,gapped,1.75,42,-30.489171860287854,17,0,0,0,0,0,0,737163075.9121077,0.0,6974603982.927578,12123461742.084976,6974603982.927578,10427639187.524666,1.738229406538459,0.29063236644868073,0.5864167907310812,
H2,kalman,stressed,tiered,static,static,0.05,1,gapped,2.0,42,-33.99542662422096,23,0,0,0,0,0,0,636355210.4021387,0.0,6771576085.291643,11807110966.867622,6771576085.291643,10527658562.35023,1.7436281920413665,0.2813509349404688,0.5907053471613996,
H2,kalman,stressed,tiered,static,static,0.05,1,gapped,2.25,42,-37.33578442362015,25,0,0,0,0,0,0,738908659.8562052,0.0,6542786537.881322,11893609134.44539,6542786537.881322,10397212772.10294,1.8178201391080024,0.2772365750972823,0.6496401486087059,
H1,kalman,stressed,direct,reactive,reactive,0.05,1,gapped,1.25,42,-22.875846298704204,13,0,0,0,2,0,0,664132034.0222672,23581259.15302944,1823559573.4935195,8007067701.665446,1823559573.4935195,6151220709.119987,4.390899983775003,0.7707051430503209,2.693580977083199,
H1,kalman,stressed,direct,reactive,reactive,0.05,1,gapped,1.5,42,-26.781150517867548,13,0,0,0,2,0,0,853538588.8915824,53968336.45653629,1797382514.887098,9190243884.674809,1797382514.887098,7085079112.679851,5.113126342642813,0.6891475833281322,3.267285654514782,
H1,kalman,stressed,direct,reactive,reactive,0.05,1,gapped,1.75,42,-30.48020445679953,21,0,0,0,2,0,0,987014447.2127186,67265346.94066715,1844376114.0941634,11144907596.54636,1844376114.0941634,8368571155.250699,6.042643640513642,0.8245731564361718,4.0056530859915735,
H1,kalman,stressed,direct,reactive,reactive,0.05,1,gapped,2.0,42,-34.01784513294176,22,0,0,0,2,0,0,1186603985.9852297,32165025.14984989,1487423803.3312843,12967910631.534924,1487423803.3312843,9399307519.764719,8.71836970908463,0.8159937297099009,6.13113153497984,
