rg,seed,direct,n,drawdown_pct,client_def,cm_def,deepest_wf,inv0,inv1,inv_drift,inv_absmax,cash0_B,cash1_B,cash_delta_B,closeout_loss_B
stressed,42,False,8105,-25.6,0,0,0,0,0,0,0,155.477,155.477,0.0,0.0
stressed,42,True,8105,-25.6,3,3,3,0,0,0,0,152.7308,152.4343,-0.2966,0.0
