regime,direct,drawdown,client_defaults,cm_defaults,nbcm_defaults,deepest_waterfall,mutualised_l3,total_df,ccp_cash_used,client_loss_absorbed,im_mean,im_peak
calm,False,-0.5854851633744096,0.0,0.175,0.175,0.0,0.0,6412379287.050001,0.0,0.0,14058444874.330826,17252974884.375
calm,True,-0.5865001921378826,0.0,0.0,0.0,0.0,0.0,6421172988.346876,0.0,0.0,10696165404.176928,13605149349.5625
stressed,False,-18.76029975499571,2.3,0.025,0.025,0.0,0.0,694505437.7282597,0.0,1047645.7579862938,12564928148.195055,15476803574.371471
stressed,True,-18.752343952045244,1.975,1.975,0.0,1.575,0.0,505590294.0247852,389821.9491474152,789587.50289342,5207299511.780788,6524820614.077232
