ts,open,high,low,close,volume,mid
2019-09-13 13:30:00+00:00,3016.75,3017.75,3016.0,3016.0,8488,3016.625
2019-09-13 13:31:00+00:00,3016.0,3016.25,3014.5,3014.5,4832,3016.125
2019-09-13 13:32:00+00:00,3014.5,3015.5,3013.75,3014.5,5978,3014.625
2019-09-13 13:33:00+00:00,3014.5,3014.75,3014.0,3014.25,3896,3014.625
2019-09-13 13:34:00+00:00,3014.25,3014.25,3013.25,3014.0,4416,3014.375
2019-09-13 13:35:00+00:00,3014.0,3017.0,3013.5,3016.25,5997,3013.875
2019-09-13 13:36:00+00:00,3016.5,3017.5,3016.0,3017.25,4290,3016.375
2019-09-13 13:37:00+00:00,3017.25,3017.5,3016.5,3016.5,3433,3017.125
2019-09-13 13:38:00+00:00,3016.5,3016.5,3015.25,3015.75,3134,3016.375
2019-09-13 13:39:00+00:00,3015.75,3016.75,3014.75,3016.5,4039,3015.625
2019-09-13 13:40:00+00:00,3016.75,3017.25,3014.75,3015.5,5966,3016.625
2019-09-13 13:41:00+00:00,3015.5,3016.75,3015.0,3016.0,4558,3015.625
2019-09-13 13:42:00+00:00,3016.0,3018.25,3015.75,3017.0,6488,3016.125
2019-09-13 13:43:00+00:00,3017.0,3018.25,3016.25,3017.75,4040,3017.125
2019-09-13 13:44:00+00:00,3017.5,3018.0,3016.75,3017.25,3500,3017.625
2019-09-13 13:45:00+00:00,3017.25,3017.75,3016.25,3017.25,2557,3017.375
2019-09-13 13:46:00+00:00,3017.25,3018.25,3016.0,3016.75,4217,3017.125
2019-09-13 13:47:00+00:00,3017.0,3017.5,3016.25,3016.5,4006,3016.875
2019-09-13 13:48:00+00:00,3016.5,3017.5,3016.0,3016.5,2939,3016.375
2019-09-13 13:49:00+00:00,3016.5,3017.25,3015.75,3017.25,1903,3016.375
2019-09-13 13:50:00+00:00,3017.25,3019.25,3017.25,3018.5,7650,3017.125
2019-09-13 13:51:00+00:00,3018.5,3018.75,3017.5,3018.5,2717,3018.625
2019-09-13 13:52:00+00:00,3018.5,3018.5,3017.75,3018.25,2099,3018.375
2019-09-13 13:53:00+00:00,3018.25,3018.75,3017.5,3018.75,2367,3018.125
2019-09-13 13:54:00+00:00,3018.5,3018.75,3017.75,3018.0,1730,3018.625
