exp,regime,seed,direct,margin,decouple,drawdown,client_defaults,cm_defaults,nbcm_defaults,deepest_waterfall,mutualised_l3,survivor_l4,total_df,ccp_cash_used,client_loss_absorbed,im_mean,im_peak
H1,calm,97,False,reactive,False,-5.408205553253209,0,0,0,0,False,False,16949318240.250002,0.0,0.0,18567693188.892,21565312146.0
H1,calm,98,False,reactive,False,-5.357364822871347,0,0,0,0,False,False,13749764304.375002,0.0,0.0,17993025068.184,21419372394.0
H1,calm,99,False,reactive,False,-5.373938263932054,0,0,0,0,False,False,14680850901.750002,0.0,0.0,18012331277.406,20614888638.0
H1,calm,100,False,reactive,False,-5.365873870887549,0,0,0,0,False,False,16189850320.875002,0.0,0.0,19139215492.386,21588648075.0
H1,calm,101,False,reactive,False,-5.382224984462402,0,0,0,0,False,False,17109534778.875002,0.0,0.0,19795652506.8,21745375650.0
H1,calm,102,False,reactive,False,-5.382447998674067,0,0,0,0,False,False,16011578855.250002,0.0,0.0,19154508884.226,21889483254.0
H1,calm,103,False,reactive,False,-5.361508183136521,0,0,0,0,False,False,14264100427.500002,0.0,0.0,18925795496.664,22047903369.0
H1,calm,104,False,reactive,False,-5.307644499689246,0,0,0,0,False,False,15056507812.500002,0.0,0.0,17063640828.072,18849257280.0
H1,calm,105,False,reactive,False,-5.365873870887549,0,0,0,0,False,False,14325665062.500002,0.0,0.0,16707158950.212,19550995371.0
H1,calm,106,False,reactive,False,-5.378973105134477,0,0,0,0,False,False,17523490050.0,0.0,0.0,17304881952.726,20905363764.0
H1,calm,107,False,reactive,False,-5.328361301015128,0,0,0,0,False,False,13227207580.125002,0.0,0.0,17657321913.918,20074753602.0
H1,calm,108,False,reactive,False,-5.341676681447105,0,0,0,0,False,False,13206685338.000002,0.0,0.0,17706031828.794,19943262612.0
H1,calm,109,False,reactive,False,-5.349299743101021,0,0,0,0,False,False,13919328138.375002,0.0,0.0,19993525341.408,22799223090.0
H1,calm,110,False,reactive,False,-5.345820728523476,0,0,0,0,False,False,15344124951.375002,0.0,0.0,16818125505.354,19014890940.0
H1,calm,111,False,reactive,False,-5.3242179407499535,0,0,0,0,False,False,14139827422.875002,0.0,0.0,17325994864.482,20651560695.0
