regime,margin,drawdown,client_defaults,cm_defaults,nbcm_defaults,deepest_waterfall,mutualised_l3,total_df,ccp_cash_used,client_loss_absorbed,im_mean,im_peak
calm,flat04,-5.360886517557199,0.0,0.0,0.0,0.0,0.0,15210586561.500004,0.0,0.0,18143787891.317535,20778532960.26
calm,flat08,-5.35508546403876,0.0,0.0,0.0,0.0,0.0,13085067378.405,0.0,0.0,31728808587.54888,36380827840.08
calm,flat12,-5.356466692881507,0.0,0.0,0.0,0.0,0.0,11631878289.9825,0.0,0.0,42325148422.63944,48209939130.78
calm,reactive,-5.360886517557199,0.0,0.0,0.0,0.0,0.0,15210586561.500004,0.0,0.0,18143787891.317535,20778532960.26
stressed,flat04,-35.648050556194185,14.786666666666667,0.013333333333333334,0.013333333333333334,0.04,0.013333333333333334,14399979069.520002,5819358.014800001,1504969.4909218438,15303143577.415436,18634854878.08
stressed,flat08,-35.64667292790102,11.06,0.3466666666666667,0.3466666666666667,0.9066666666666666,0.3,13019047447.413336,131522693.43478063,0.0,28558427417.360775,33844523603.2
stressed,flat12,-35.64490140966177,6.913333333333333,0.5533333333333333,0.5266666666666666,1.2666666666666666,0.42,11667540144.626669,196916507.1949217,0.0,39673087604.23369,46292839322.72
stressed,reactive,-35.64453250584724,10.12,0.3333333333333333,0.3333333333333333,0.7866666666666666,0.25333333333333335,14030683801.053335,113248068.63962568,0.0,26900580495.806137,38475515589.45193
