ft_sigma_c,zi_alpha,zi_delta,zi_mu,D,dKS,dV,dACF1,dACF2,dHill,ret_std,ret_kurtosis,acf_r_1,acf_r_5,acf_r_10,acf_r_20,acf_absr_1,acf_absr_5,acf_absr_10,acf_absr_20,hill_tail_index,ks_stat
0.5,0.02,0.02,0.0125,125.45413178235941,25.586960850919862,71.50175346940189,15.531343765495867,6.731878327426218,6.1021953691155755,0.0009280735228555119,5.9060400401052,-0.16773234619638663,-0.026680849182527656,0.005089861049409669,0.005419813445060854,0.4675450608705402,0.2931289500838668,0.22218386553623418,0.15865147481855457,3.3685593549120987,0.20484540886916924
0.5,0.02,0.02,0.046875,134.10286498598677,27.133601645267376,81.30132423959779,16.52722125164038,6.300761102595255,2.839956746885987,0.0010145199439262577,10.857546346540861,-0.17209276344764393,-0.03498945012190974,0.004704512321849748,0.0054586348130425425,0.47867425030118077,0.3016344103087037,0.22830263112658641,0.19055035397848386,3.148893481547455,0.2172275853901633
0.5,0.02,0.02,0.08124999999999999,130.58249789256163,27.640794370087917,78.24201855894488,16.99097328835011,5.727627728499809,1.9810839466789179,0.000987532432610131,9.001615669903272,-0.1708657452734066,-0.03477966024661496,-0.0025514513071545823,-0.004176430007055317,0.47105855326311613,0.29925116075482455,0.23466997936284226,0.19876581968228627,3.091060482305456,0.22128809502617175
0.5,0.02,0.02,0.11562499999999999,121.63183023741028,25.98542373936784,73.3915328123082,16.287304247427368,4.68670584293863,1.2808635953682248,0.0009447441163578853,8.861851245423065,-0.16367056772553037,-0.02280482529702092,-0.009448758589945738,0.01626910753105085,0.4486406234206644,0.2734308491916513,0.22972713796232616,0.20000888791212523,2.8714142090957675,0.20803544358172799
0.5,0.02,0.02,0.15,121.15866349173986,25.73781383263932,74.5248449663921,14.453782509651818,5.566786811141487,0.875435371915141,0.000954741572570406,9.741158034410978,-0.1608310128554434,-0.01987485217442046,-0.0033386871618608723,0.0020699264970660282,0.41462043976196705,0.23760255993273952,0.19777990406913362,0.15810088632246067,2.8987140958007536,0.20605311543891391
0.5,0.02,0.1,0.0125,81.58908647474289,18.440526022257252,42.781254626367854,11.037944036794274,8.149626750847164,1.1797350384763434,0.0006747170856636046,13.940414491113145,-0.13093269662780394,-0.008334949226953927,-0.00045810535874548215,0.0006344244195227476,0.3393282833486592,0.18388371278007873,0.14318657401718402,0.0816501168872189,3.0371009078615074,0.1476321128875312
0.5,0.02,0.1,0.046875,90.20253740866735,21.385877724405002,46.8938804675264,11.410979430508492,6.798735378885665,3.713064407341784,0.0007109964078409079,6.894920335429415,-0.1298735225122467,-0.011278388899699376,0.0008634572672107429,0.010625891335810503,0.3289765799557582,0.19803122589129363,0.14934210773297682,0.10876890471573662,3.2076849983508158,0.17121216122563887
0.5,0.02,0.1,0.08124999999999999,95.26970085451767,22.931299909790997,52.00847157437792,12.839981441265312,5.571991763098315,1.9179561659851345,0.0007561145162556441,8.598312323183272,-0.13856231274110578,-0.013533516322734246,-0.010014095091033187,0.0013716877996819098,0.35663469192706027,0.22078961355498572,0.17439504087188873,0.14070798226224307,3.08680971444771,0.1835845817442523
0.5,0.02,0.1,0.11562499999999999,94.14356206620975,23.39276456828153,53.24354384722623,12.131190805461557,5.056243368200593,0.3198194770398441,0.0007670096442418787,8.708349244071206,-0.13600197235488323,-0.011580210750930043,-0.001309401672602635,0.012679987496658223,0.34332194573502733,0.21459508111037295,0.1626449233205708,0.16751070472672502,2.979197693321764,0.18727899927191138
0.5,0.02,0.1,0.15,91.36695535433081,23.0509972268171,47.52207118212175,10.417926644289034,6.4113055661335,3.9646547349694137,0.0007165379606599154,7.4049306281015745,-0.12300323463576979,-0.002113642312712257,-0.007728592693974742,0.007604108739418175,0.31625301617967044,0.19735432282543217,0.14594137764497708,0.11680293000202173,3.22462606718368,0.1845428606891264
0.5,0.02,0.18,0.0125,79.93879518839894,18.16541627771989,36.772969934763545,10.66822093095597,8.700457093185667,5.6317309517738785,0.0006217153042036438,19.51646119093003,-0.11926175228533499,-0.009077632471779546,0.0016647646382689637,-0.0031509507506206885,0.29382664955750354,0.15891400737769945,0.11000836510271328,0.07461907250517961,2.5784445068716657,0.14542962512698798
0.5,0.02,0.18,0.046875,78.83627386987824,20.101989697784855,38.443826481952456,9.340175100201574,9.245949048185073,1.704333541754285,0.0006364546812655861,9.97509966152017,-0.11179627047694012,-0.006742385549876641,-0.001752606087311495,0.007071181503676032,0.2585244397580538,0.14006390565654053,0.1221551220577699,0.09310836378610028,3.0724252362546203,0.1609335443438774
0.5,0.02,0.18,0.08124999999999999,82.54447453682553,21.20200231943135,41.01748952751256,9.132750661970762,8.963368296567811,2.2288637313430555,0.0006591581204822671,10.695436090447206,-0.11254218733238204,-0.0010093578008582996,-0.003733200521655462,0.00399491266821347,0.2553273581910069,0.14743013008204994,0.12575996624063665,0.09734549577525729,3.107744964681902,0.1697400820392021
0.5,0.02,0.18,0.11562499999999999,82.12471118550653,22.41658235294995,39.647927384817386,8.446357511909216,8.4815683467831,3.1322755890468894,0.000647076596867982,8.142057384349489,-0.10761688534375602,-0.0034927154168680184,-0.00010321715673960595,0.0054465673676543066,0.27391930223679817,0.13842539665873446,0.13157208040479795,0.10280733492259962,3.168577042807094,0.17946382942053685
0.5,0.02,0.18,0.15,81.37369599467392,22.965634138964546,39.55451715356823,8.868331735262718,6.459350644646542,3.52586232223189,0.0006462525832073593,7.388996660694245,-0.10548172158491635,-0.0019002601841648099,-0.005343172983990119,0.007926932263129542,0.2812768215137178,0.16627115355761085,0.15462480082012728,0.13096364796127025,3.1950795717455596,0.18385945648432955
0.5,0.02,0.26,0.0125,74.663362498795,16.77858508432532,30.860018734328,7.9259360978751765,13.607871905420579,5.490950676845917,0.000569554502345033,27.35442760567472,-0.09649649753420886,-0.0031173820110709464,-0.001373604794637678,0.0012670227219432157,0.22303426059792794,0.08679521415254222,0.06705485956742537,0.05030849848989089,2.587924077689643,0.13432686053925014
0.5,0.02,0.26,0.046875,76.65863252112212,20.283427884835493,35.10893162527955,8.642627198915054,11.340390107706341,1.283255704385679,0.0006070360738829642,13.15331529562916,-0.10128141109769291,-0.006972660349441562,-0.0016791260091189757,0.0013022125418456919,0.23329754104030795,0.1130896690635324,0.10661250780287056,0.07119081610870343,2.8712531342090557,0.16238611152555316
0.5,0.02,0.26,0.08124999999999999,74.1319328012048,20.39946937497707,35.91600622064823,7.924467443408268,9.652105550492488,0.23988421167874377,0.000614155641866384,10.592192170163361,-0.0945099999610179,-0.005576583428895672,-0.0028250640054567166,0.006464845078003462,0.23320022779973948,0.13049037740025013,0.12737414819751197,0.10524528011743649,2.941509524599222,0.16331512246328572
0.5,0.02,0.26,0.11562499999999999,75.87864506062179,21.42577683008036,34.90522573174253,7.2471103832794,10.700844742222959,1.5996873732965402,0.0006052390925803901,11.548356696500532,-0.08952973566362267,-0.006794553795253125,-1.64478420077526e-05,0.004764992400190085,0.21803382486221765,0.12235825923066773,0.10666931875495667,0.10424296406858113,3.06537878912108,0.17153158754059683
0.5,0.02,0.26,0.15,76.86085983695978,21.787519177333145,35.60029961872176,7.7463567406248925,9.800187633907463,1.9264966663725183,0.0006113706519433606,7.186070481248912,-0.09785345384233766,-0.004017729619291433,0.0005439922534888321,0.005088431403731696,0.24140295026056138,0.13116235427776118,0.1105235905743555,0.10690874685710117,3.087384796988816,0.17442764305340408
