ft_sigma_c,zi_alpha,zi_delta,p_zi,zi_mu,D,dKS,dV,dACF1,dACF2,dHill,ret_std,ret_kurtosis,acf_r_1,acf_r_5,acf_r_10,acf_r_20,acf_absr_1,acf_absr_5,acf_absr_10,acf_absr_20,hill_tail_index,ks_stat
0.25,0.08,0.02,0.08,0.0125,23.87371025842488,10.045041862479671,4.659462459218455,4.477784390768045,2.9234536023309876,1.7679679436277194,0.002556537010972966,16.575678750221343,-0.09153572205585586,-0.013389153386189715,-0.0020571355929213347,0.007045501679547361,0.42220244274020424,0.290182946381132,0.23279760546560144,0.2069881169146237,2.847050742041137,0.08958187339406676
0.25,0.08,0.02,0.08,0.058333333333333334,23.483637456670827,10.34626215301036,4.962861736232221,4.220883994952174,2.6777999971108732,1.275829575365197,0.0026043273983623097,21.723051027698332,-0.09162069223661806,-0.006909302846104147,-0.00029696419325823655,0.0024177161302183212,0.40624996595597357,0.2784886499172778,0.22247999989129716,0.21808497183375905,2.939318847406691,0.0922681616444756
0.25,0.08,0.02,0.08,0.10416666666666666,26.457977107370894,11.26956782615876,6.005145514261147,4.315693483790079,2.4318544639270923,2.4357158192338155,0.0027685042744969596,23.49554228128405,-0.09713417199844794,-0.00532096320942982,-0.0021602787463960295,0.0023026151100521528,0.3991091164089142,0.2701543060951976,0.20374735894671003,0.18484380879315787,2.7218586511225467,0.1005022191076852
0.25,0.08,0.02,0.08,0.15,28.602691090515762,11.67556039165663,6.9402630111889,5.088451834212352,2.196078883445922,2.702336970011963,0.002915800694820016,21.352033180599662,-0.10998373405717138,-0.007192508688760956,0.00207369370616734,0.0009139393091508161,0.3776420328809729,0.22150419954402564,0.17901610131911017,0.16535392306092403,2.671871432041183,0.10412286848867092
0.25,0.08,0.02,0.18,0.0125,23.23729185621243,8.532392142640822,6.193220162425204,5.212583850978357,3.1927265221807337,0.10636917798731105,0.002798129131821412,18.07077971925218,-0.10794483921652204,-0.009206973009120862,0.005374112131048804,0.0006093325651259522,0.4408172864602465,0.284394066400309,0.22378031555649558,0.1885868875048614,3.158574044978579,0.07609203457136184
0.25,0.08,0.02,0.18,0.058333333333333334,24.211976852852345,9.144655124480357,6.836646504632908,5.09888311800759,3.002636019938491,0.129156085793001,0.0028994793870140757,17.873204982384767,-0.11162907743626438,-0.009402852614384382,0.00017912851042745686,-0.0004890002622016804,0.4235659107241168,0.27684025000693885,0.23729522741875445,0.21722348881398656,3.1543018627104225,0.08155220742817099
0.25,0.08,0.02,0.18,0.10416666666666666,24.89612748149857,9.2690722010039,7.210899417333866,5.2983752673848965,2.5431167068483123,0.5746638889275955,0.0029584303899815533,14.39239137479191,-0.11462807871379126,-0.013939951460115854,0.0005078462846779612,-0.0035550411059976756,0.41444448817837004,0.2663720034107291,0.21466467169096984,0.19673745848175192,3.070776245583834,0.08266176127073113
0.25,0.08,0.02,0.18,0.15,26.376672477959506,9.115187922145834,7.898520501424711,5.460980473876328,2.708896243667733,1.1930873368448955,0.003066742045530723,18.328452214628154,-0.11952588952441127,-0.011205911552847891,-0.00057375772882012,-0.00048577675491574883,0.4123965079920247,0.2353587960922993,0.1864220034642349,0.16147190467176484,2.9548316992270567,0.08128941836019621
0.25,0.08,0.02,0.27999999999999997,0.0125,25.393606398118006,9.956640255476108,6.516248032223911,5.2508966442330305,3.0327253635182814,0.637096102666675,0.0028490113461337894,13.213282349700368,-0.11569312057002006,-0.013066452303114031,-0.002225741882604114,-0.0013795787144832365,0.42453656785768595,0.2889362664403585,0.23172549479330026,0.19434197990421284,3.297961943331631,0.0887935061901425
0.25,0.08,0.02,0.27999999999999997,0.058333333333333334,27.37575244997084,10.971621669220793,7.405597425958968,5.693496401208518,3.100657127131818,0.20437982645074448,0.0029890985357586618,12.105473838747367,-0.12359575105381744,-0.014351513389944214,0.00011300590830474646,-0.003060092540435663,0.43707963341258776,0.277792912044029,0.23048021615789524,0.19314516495278053,3.2168345337613533,0.09784512964260686
0.25,0.08,0.02,0.27999999999999997,0.10416666666666666,27.82425776485494,10.94870273407172,8.027837534349986,6.277026367357132,2.5236334068363298,0.04705772223977384,0.003087111609889504,19.210162806835367,-0.12853053293823416,-0.013719314460479283,0.004968110393306766,0.002406437361572507,0.42643715063110194,0.264222685183966,0.20073041668590239,0.1983121942291448,3.169693998229976,0.09764073814529314
0.25,0.08,0.02,0.27999999999999997,0.15,29.009018378593012,10.821011523955454,8.386534952339861,5.984692943642563,2.5616151449878557,1.2551638136672796,0.0031436123660218787,12.98252915073104,-0.12919795551021243,-0.01543146055144899,-0.00035206367273087096,-0.0017892878020678734,0.42522106276022226,0.2691661901372986,0.20207992965172214,0.21125064890060255,2.9431933485648405,0.09650198551740248
0.25,0.08,0.02,0.38,0.0125,28.092214610251293,11.498757177649486,7.071372072669994,5.778150539690524,3.689991105220062,0.05394371502122514,0.00293645253321629,13.791729741202108,-0.1252221893907282,-0.016920962113042136,-0.0002636890281687005,-0.006614919944111714,0.4549561260702866,0.3041924877716262,0.23567390067883828,0.22555552456915282,3.1886301589852764,0.10254613408082223
