ft_sigma_rel,mt_sigma_rel,mt_lambda,kappa_v,log10_xi,xi_v,calm_ret_std,calm_ret_kurtosis_excess,calm_acf_r_lag1,calm_acf_r_lag5,calm_acf_abs_r_lag1,calm_acf_abs_r_lag5,calm_acf_abs_r_lag20,stress_ret_std,stress_ret_kurtosis_excess,stress_acf_r_lag1,stress_acf_r_lag5,stress_acf_abs_r_lag1,stress_acf_abs_r_lag5,stress_acf_abs_r_lag20
0.0042687415836417325,0.04087117453927298,0.5503756490163152,0.5743633820537843,-5.778451278294791,1.6655156646319648e-06,0.1800069939426319,4.707727220649066,-0.16201444227912631,-0.4152988652673527,0.42790814616180256,0.6481029496585443,0.1875755433385733,0.14859106036594458,3.7103727194649574,0.02725170395420526,0.10798668836722183,0.45571861827885174,0.367617152170082,0.28855194006379625
0.023380423678204573,0.01836905554623519,0.7810348235274247,0.5874962466602092,-4.431436602729823,3.703082581690035e-05,0.04766614932910349,-0.3946111981695757,-0.5852754344747848,-0.1640293701534801,0.15641523901190685,0.023941932489999707,0.07440632037129676,0.06509749172892419,-0.4771129295117089,-0.5534830864469242,-0.07465106821099002,0.2149699293493707,-0.0029145783426731743,-0.09322065892157376
0.006185247761037739,0.015420267338371351,0.7647913655630469,0.15040208291637533,-5.499017647124999,3.1694386734337826e-06,0.021061788012271,0.8241680598941663,-0.11745307708490099,0.03157899649435475,0.08765783943406491,0.052706319142954705,0.07933830778683888,0.042603137910035255,-0.1829516095578776,-0.16664795118789547,-0.049312930249439606,0.1021611407911146,-0.023744427437514943,-0.03964296106241553
0.045518628043325224,0.038797334657899356,0.9862457186287352,0.440907854979774,-5.541276461367196,2.8755673153506485e-06,0.05189277929115199,0.20221291668488295,-0.1928867284810084,0.07941538938316475,-0.24058242319543902,0.00391905324215462,0.07245341163827287,0.076348277620868,0.1202618512516711,-0.33099504406133645,-0.006646828250903203,-0.061754523337766536,-0.02203892005285612,0.11258428897418034
0.011836679178480459,0.015804631903466083,0.7905548848426697,0.22015616252854595,-4.467036325406657,3.411643746419212e-05,0.024047516288711643,0.5347855252645073,-0.13618964356390278,-0.06849834885247343,0.09346216986790697,-0.0032764946093868093,0.07675361569019455,0.04064004681127904,0.111282141693688,-0.20305363236063076,-0.07003646111237882,0.005450904270220554,0.06786093987716207,0.019016392010662804
0.03645357647661524,0.024822012790951156,0.889780476309569,0.7971955405842537,-3.8447890795454027,0.0001429588086972048,0.035332260175992544,0.19988395377723478,0.013105905142487016,0.047921897489979194,-0.03431782142992987,-0.029805748124513386,0.05587793412132267,0.05105100809168792,0.46502935207946816,-0.14671930136174288,0.03554908251821922,0.10496253856883138,-0.05046984179119242,-0.035775994101622646
0.019382664455047258,0.014339814369140102,0.714595978687777,0.6642092462870548,-5.408628605705925,3.902755948068736e-06,0.03626739699122224,-0.5200101971963806,-0.24269809330053596,-0.03237621708543558,-0.027872826850997554,0.004937739724650988,0.01110456602529035,0.05196421116140195,0.02238220481852382,-0.23489740712743967,-0.07483211028697642,0.02073673767771073,-0.009512222131667495,-0.0037082020194715366
0.02704987978655668,0.017304515766226918,0.9550718208945137,0.4352298394081542,-6.977207526916418,1.053883179676255e-07,0.042018953780103736,-1.1059450248982061,-0.5269222143438972,0.184797001321276,0.07819838526942798,-0.04946518767486682,0.015995059212759424,0.05640235627763454,-0.6151864728618675,-0.29901128946079697,0.005808021783049279,0.010208873575497716,0.03077667144367864,-0.049771895375591874
0.0006915541220176009,0.04005046792666406,0.8748093718361827,0.8051469903445156,-6.348651037729013,4.480731932454928e-07,0.02555703092209431,1.779550586914664,-0.2881011769630714,0.01580279459661415,0.1221010706206177,-0.018414906174280203,0.01627909675023958,0.05696727047791775,0.9939371928024778,-0.30939242003819883,-0.06886119507623008,0.1328801561345634,0.0725971418969555,0.03292603069715212
0.015714096311020425,0.01463487063172154,0.577327318297657,0.5525717607394532,-3.31738219338299,0.0004815238543312852,0.027600759040906885,0.572964298937098,-0.08473487216008652,-0.0017540576679459488,0.04330136342213354,-0.013621419698992344,0.009481803220768931,0.05008429657561482,0.7113730246047409,-0.13393347995464747,0.07532594510953519,0.12552270503272597,0.020294256761340935,-0.016064334008596973
0.0349229756749808,0.025178201412577126,0.7333729455351976,0.013003685319574815,-3.181399933052906,0.0006585671546734066,0.09136340018746146,-0.8831008754753396,-0.3806489034425089,0.06328021403292497,0.01952649058232527,0.008289989835669042,0.0108111294098466,0.13366163106799236,3.257519077083587,-0.08747252327786445,-0.0008371483347874312,0.17407909942417724,0.2018015136743637,-0.03015688709754218
0.043549170783587124,0.004488983132560277,0.8247136910121229,0.9832482223623266,-4.185268538137686,6.527268260149808e-05,0.03262139180436207,0.9988152474832392,0.020876965997897266,0.06350494244071174,0.045541362458417396,0.1632616172382961,0.07401814756515579,0.0425458946471065,0.10419294664935785,0.022728591543240497,0.036439912261757974,-0.12943483168268072,-0.02148112493182837,-0.11207259783238553
0.04203254223933591,0.043522225422568867,0.8135830572257297,0.47108866478789146,-3.8623434886793184,0.00013729556584930167,0.34929825856284746,1.6033873240902201,-0.5913279548699912,0.35093051650226675,0.6194723778278968,0.6014126200188935,0.37810203141120957,0.33850035653601757,2.786473007279124,-0.6797133886885034,0.5741216905635441,0.6961537141842541,0.7467331684748811,0.45884557566660455
0.042949976639484855,0.03849440296304017,0.7180616164126341,0.7265609725368232,-5.600485279512207,2.509081223773156e-06,0.1942593265466965,1.369033853661005,-0.03360370594724918,0.023806137618173497,0.3749785646303888,0.521563172400481,0.3714350210355548,0.2343981868925508,1.8040827382775833,-0.2107835592595308,-0.34683917816024423,0.31813341119689614,0.5149159795738537,0.36130143701753176
