run_id,t,n_margin_calls,n_defaults,n_new_defaults,system_equity,total_margin
0,0,10,0,0,49999.98745675606,0.018566345612160112
0,1,18,0,0,49999.86323949139,0.032140449045092216
0,2,45,0,0,49999.839026013724,0.08830483573599976
0,3,44,0,0,50000.0227847943,0.12521077410607617
0,4,4,0,0,49999.42005507453,0.13721486764139595
0,5,46,0,0,50000.1556317581,0.26461439140282395
0,6,4,0,0,49998.79832026066,0.2946174573348644
0,7,42,0,0,50000.08696545653,0.3863116488749612
0,8,42,0,0,49997.270128609416,0.5366763429465384
0,9,14,0,0,49999.29767810334,0.7318555901717495
0,10,43,0,0,49993.95113519976,1.1838712687770099
0,11,13,0,0,49996.611864526494,1.2583238686804057
0,12,44,0,0,49987.08405376381,2.2807118678633582
0,13,3,0,0,49989.78738001361,2.388489716984459
0,14,44,0,0,49972.01440270851,5.146407787475835
0,15,3,0,0,49972.95666979483,5.17139372679396
0,16,46,0,0,49938.87577836236,11.598296130635855
0,17,5,0,0,49932.22043375662,11.801031923332085
0,18,45,0,0,49855.78418602128,28.671118651748472
0,19,2,0,0,49822.413813450774,29.066145618795748
0,20,48,0,0,49539.72814515102,113.30896527467809
0,21,4,0,0,49353.10742999895,115.31524457951129
0,22,49,0,0,46761.25635267706,1023.0881706403915
0,23,2,0,0,44669.31428452411,1029.3793762553198
0,24,50,32,32,9759.616092836539,58121.15855697709
0,25,1,32,0,58896.56145314204,58264.06693759505
0,26,18,35,3,1743496264.356945,35769592251.00379
0,27,2,38,3,36099342113.96323,35566590125.94797
0,28,12,39,1,1068505797887.985,174160818511048.75
0,29,0,39,0,170729983400608.72,174160818511048.75
0,30,0,39,0,170729991003159.12,174160818511048.75
0,31,0,39,0,170729998465578.88,174160818511048.75
0,32,11,39,0,7201145800826867.0,3.4736097932570266e+18
0,33,0,40,1,3.387066762316505e+18,3.4728861889749606e+18
0,34,0,40,0,3.387066762316505e+18,3.4728861889749606e+18
0,35,0,40,0,3.3870667621862646e+18,3.4728861889749606e+18
0,36,0,40,0,3.38706676211534e+18,3.4728861889749606e+18
0,37,0,40,0,3.637693091126128e+19,3.4728861889749606e+18
0,38,0,40,0,2.9377625385794236e+19,3.4728861889749606e+18
0,39,0,40,0,2.9377625385794236e+19,3.4728861889749606e+18
0,40,0,40,0,2.937762536564139e+19,3.4728861889749606e+18
0,41,0,40,0,2.93776253214389e+19,3.4728861889749606e+18
0,42,0,40,0,2.9379549457114817e+19,3.4728861889749606e+18
0,43,0,40,0,2.937859299761395e+19,3.4728861889749606e+18
0,44,0,40,0,2.937859300566267e+19,3.4728861889749606e+18
0,45,0,40,0,2.9378593005660553e+19,3.4728861889749606e+18
0,46,0,40,0,2.9387297919949017e+19,3.4728861889749606e+18
0,47,0,40,0,2.938246606680691e+19,3.4728861889749606e+18
0,48,0,40,0,2.93824660689052e+19,3.4728861889749606e+18
0,49,0,40,0,2.9382466068905087e+19,3.4728861889749606e+18
0,50,0,40,0,2.9382466549949157e+19,3.4728861889749606e+18
0,51,0,40,0,2.938246615614181e+19,3.4728861889749606e+18
0,52,0,40,0,2.9382580593766818e+19,3.4728861889749606e+18
0,53,0,40,0,2.9382508191904535e+19,3.4728861889749606e+18
0,54,0,40,0,2.9382508195522056e+19,3.4728861889749606e+18
0,55,0,40,0,2.938250819351225e+19,3.4728861889749606e+18
0,56,0,40,0,3.422886128529638e+19,3.4728861889749606e+18
0,57,0,40,0,3.116137757116385e+19,3.4728861889749606e+18
0,58,0,40,0,3.116137757134034e+19,3.4728861889749606e+18
0,59,0,40,0,3.1161377571341853e+19,3.4728861889749606e+18
0,60,0,40,0,3.116137757133663e+19,3.4728861889749606e+18
0,61,0,40,0,3.117076210256537e+19,3.4728861889749606e+18
0,62,0,40,0,3.1163720307752264e+19,3.4728861889749606e+18
0,63,0,40,0,3.1163720307814613e+19,3.4728861889749606e+18
0,64,0,40,0,3.1163720307813704e+19,3.4728861889749606e+18
0,65,0,40,0,3.1163738062562226e+19,3.4728861889749606e+18
0,66,0,40,0,3.1163723769380774e+19,3.4728861889749606e+18
0,67,0,40,0,3.1163724200567206e+19,3.4728861889749606e+18
0,68,0,40,0,3.116372387657424e+19,3.4728861889749606e+18
0,69,0,40,0,3.116453252489485e+19,3.4728861889749606e+18
0,70,0,40,0,3.116392485736382e+19,3.4728861889749606e+18
0,71,0,40,0,3.1163924857612902e+19,3.4728861889749606e+18
0,72,0,40,0,3.1163924857440027e+19,3.4728861889749606e+18
0,73,10,40,0,3.0446958642644176e+21,2.4527418326941286e+20
0,74,0,40,0,5.919540315702894e+20,2.4527418326941286e+20
0,75,0,40,0,5.919540315703002e+20,2.4527418326941286e+20
0,76,0,40,0,5.919575447505667e+20,2.4527418326941286e+20
0,77,0,40,0,5.919540356977078e+20,2.4527418326941286e+20
0,78,0,40,0,5.919540356977232e+20,2.4527418326941286e+20
0,79,0,40,0,5.919540356977177e+20,2.4527418326941286e+20
0,80,0,40,0,5.919677634714049e+20,2.4527418326941286e+20
0,81,0,40,0,5.919566917424098e+20,2.4527418326941286e+20
0,82,0,40,0,5.919566917424154e+20,2.4527418326941286e+20
0,83,0,40,0,5.919566917424147e+20,2.4527418326941286e+20
0,84,0,40,0,5.919567019339294e+20,2.4527418326941286e+20
0,85,0,40,0,5.919566929156563e+20,2.4527418326941286e+20
0,86,0,40,0,5.919566948656421e+20,2.4527418326941286e+20
0,87,0,40,0,5.919566933254436e+20,2.4527418326941286e+20
0,88,0,40,0,5.919567651312762e+20,2.4527418326941286e+20
0,89,0,40,0,5.919567084152066e+20,2.4527418326941286e+20
0,90,0,40,0,5.919567084694049e+20,2.4527418326941286e+20
0,91,0,40,0,5.919567084265978e+20,2.4527418326941286e+20
0,92,0,40,0,5.9205797313523e+20,2.4527418326941286e+20
0,93,0,40,0,5.919779854310073e+20,2.4527418326941286e+20
0,94,0,40,0,5.919779854310084e+20,2.4527418326941286e+20
0,95,0,40,0,5.919779854310084e+20,2.4527418326941286e+20
0,96,0,40,0,5.919779854316736e+20,2.4527418326941286e+20
0,97,0,40,0,5.919779854307966e+20,2.4527418326941286e+20
0,98,0,40,0,1.2484844909516046e+21,2.4527418326941286e+20
0,99,0,40,0,6.942366262950266e+20,2.4527418326941286e+20
0,100,0,40,0,6.942366262950412e+20,2.4527418326941286e+20
0,101,0,40,0,6.942366340998951e+20,2.4527418326941286e+20
0,102,0,40,0,6.942366249967528e+20,2.4527418326941286e+20
0,103,0,40,0,6.942366327405986e+20,2.4527418326941286e+20
0,104,0,40,0,6.942366262124788e+20,2.4527418326941286e+20
0,105,0,40,0,6.942366410408928e+20,2.4527418326941286e+20
0,106,0,40,0,6.942366284542614e+20,2.4527418326941286e+20
0,107,0,40,0,6.942366321782642e+20,2.4527418326941286e+20
0,108,0,40,0,6.94236629058999e+20,2.4527418326941286e+20
0,109,0,40,0,6.94236692010083e+20,2.4527418326941286e+20
0,110,0,40,0,6.942366383323207e+20,2.4527418326941286e+20
0,111,0,40,0,6.942366385935014e+20,2.4527418326941286e+20
0,112,0,40,0,6.942366384136642e+20,2.4527418326941286e+20
0,113,0,40,0,6.94255821356674e+20,2.4527418326941286e+20
0,114,0,40,0,6.942394486536244e+20,2.4527418326941286e+20
0,115,0,40,0,6.942394486903934e+20,2.4527418326941286e+20
0,116,0,40,0,6.942394486903915e+20,2.4527418326941286e+20
0,117,0,40,0,6.942395041254842e+20,2.4527418326941286e+20
0,118,0,40,0,6.942394535116054e+20,2.4527418326941286e+20
0,119,0,40,0,6.942394538446536e+20,2.4527418326941286e+20
0,120,0,40,0,6.942394535809542e+20,2.4527418326941286e+20
0,121,0,40,0,6.942505826621277e+20,2.4527418326941286e+20
0,122,0,40,0,6.942409920894611e+20,2.4527418326941286e+20
0,123,0,40,0,6.94240992109554e+20,2.4527418326941286e+20
0,124,0,40,0,6.942409921095463e+20,2.4527418326941286e+20
0,125,0,40,0,6.942443981514489e+20,2.4527418326941286e+20
0,126,0,40,0,6.942413938608808e+20,2.4527418326941286e+20
0,127,0,40,0,6.942413938759318e+20,2.4527418326941286e+20
0,128,0,40,0,6.942413938758559e+20,2.4527418326941286e+20
0,129,0,40,0,7.127221767739524e+20,2.4527418326941286e+20
0,130,0,40,0,6.9668671210123e+20,2.4527418326941286e+20
0,131,0,40,0,6.966867121124188e+20,2.4527418326941286e+20
0,132,0,40,0,6.966867121124464e+20,2.4527418326941286e+20
0,133,0,40,0,6.966867121124093e+20,2.4527418326941286e+20
0,134,0,40,0,6.974221523481545e+20,2.4527418326941286e+20
0,135,0,40,0,6.967712689317267e+20,2.4527418326941286e+20
0,136,0,40,0,6.967712689392934e+20,2.4527418326941286e+20
0,137,0,40,0,6.967712689392934e+20,2.4527418326941286e+20
0,138,0,40,0,6.967712689392935e+20,2.4527418326941286e+20
0,139,0,40,0,6.967712689392934e+20,2.4527418326941286e+20
0,140,0,40,0,6.967712689409933e+20,2.4527418326941286e+20
0,141,0,40,0,6.967712689403787e+20,2.4527418326941286e+20
0,142,10,40,0,9.086319174551864e+21,8.152383929550393e+20
0,143,0,40,0,9.33935245001473e+20,8.152383929550393e+20
0,144,0,40,0,9.339352450059681e+20,8.152383929550393e+20
0,145,0,40,0,9.339363583491311e+20,8.152383929550393e+20
0,146,0,40,0,9.339352925411184e+20,8.152383929550393e+20
0,147,0,40,0,9.339352925476946e+20,8.152383929550393e+20
0,148,0,40,0,9.339352925454268e+20,8.152383929550393e+20
0,149,0,40,0,1.5348541900263145e+21,8.152383929550393e+20
0,150,0,40,0,9.901018123796253e+20,8.152383929550393e+20
0,151,0,40,0,9.901018123829703e+20,8.152383929550393e+20
0,152,0,40,0,9.90101816650615e+20,8.152383929550393e+20
0,153,0,40,0,9.901018116692294e+20,8.152383929550393e+20
0,154,0,40,0,9.901019734387486e+20,8.152383929550393e+20
0,155,0,40,0,9.90101825884219e+20,8.152383929550393e+20
0,156,0,40,0,9.90101826077694e+20,8.152383929550393e+20
0,157,0,40,0,9.901018259295854e+20,8.152383929550393e+20
0,158,0,40,0,9.902645506896361e+20,8.152383929550393e+20
0,159,0,40,0,9.901160906533844e+20,8.152383929550393e+20
0,160,0,40,0,9.901160906792964e+20,8.152383929550393e+20
0,161,0,40,0,9.901160906792963e+20,8.152383929550393e+20
0,162,0,40,0,9.901160907224334e+20,8.152383929550393e+20
0,163,0,40,0,9.9011609067555e+20,8.152383929550393e+20
0,164,0,40,0,9.92661851945094e+20,8.152383929550393e+20
0,165,0,40,0,9.903137290141692e+20,8.152383929550393e+20
0,166,0,40,0,9.903137290336139e+20,8.152383929550393e+20
0,167,0,40,0,9.903137290336139e+20,8.152383929550393e+20
0,168,0,40,0,9.903137290336139e+20,8.152383929550393e+20
0,169,0,40,0,9.903137290336139e+20,8.152383929550393e+20
