regime,lambda_,gamma,beta,alpha,g,sigma_v,sigma_n,v0,log_lik,n_obs
stressed,,0.10003894349332591,0.44538211788924476,0.16666666666666666,0.0005221601809672479,0.0017762237444536855,0.0069276881705477135,5.197549528415477,885.7215424842302,252
calm,,0.0911749441587548,0.27104265630842583,0.16666666666666666,0.0006466711895357888,0.0019895123552877824,0.006857477794061847,5.010136948516566,1779.7589187967126,503
