t,price,fundamental,momentum,excess_demand
0,100.000000000002,100.0,2.0037305148434827e-13,2e-08
1,100.000000000002,100.03047170797544,1.8033574633591345e-13,0.0
2,100.00000000000401,99.9264732973514,3.6267522318667035e-13,2e-08
3,100.00000000000401,100.00151841693204,3.264077008680033e-13,0.0
4,100.00000000000401,100.09557488857116,2.93766930781203e-13,0.0
5,100.000000000005,99.90047136970578,3.638662207094967e-13,1e-08
6,100.00000000000401,99.77025341901955,2.28003615632133e-13,-1e-08
7,100.00000000000301,99.78303745933628,1.0572727106250569e-13,-1e-08
8,100.00000000000401,99.75141320010192,1.9463052696266915e-13,1e-08
9,100.00000000000401,99.74973308435149,1.7516747426640223e-13,0.0
10,100.00000000000401,99.66442869159414,1.5765072683976202e-13,0.0
11,100.00000000000401,99.75236848908042,1.4188565415578582e-13,0.0
12,100.000000000005,99.83014768262332,2.2717307174662127e-13,1e-08
13,100.000000000005,99.83675075237944,2.0445576457195914e-13,0.0
14,100.000000000005,99.94947487307624,1.8401018811476324e-13,0.0
15,100.00000000000401,99.99622580730144,6.613318629687288e-14,-1e-08
16,100.00000000000401,99.91029656101311,5.95198676671856e-14,0.0
17,100.00000000000401,99.94717163942136,5.356788090046704e-14,0.0
18,100.00000000000401,99.85128337933845,4.821109281042034e-14,0.0
19,100.00000000000401,99.93912840946918,4.33899835293783e-14,0.0
20,100.00000000000401,99.93413581837055,3.9050985176440474e-14,0.0
21,100.00000000000401,99.91564958201603,3.5145886658796425e-14,0.0
22,100.00000000000101,99.84755662757564,-2.682177364978455e-13,-3.0000000000000004e-08
23,100.000000000002,99.96981076144304,-1.419199798416469e-13,1e-08
24,100.000000000002,99.95435781323616,-1.2772798185748222e-13,0.0
25,100.000000000002,99.91152503101985,-1.14955183671734e-13,0.0
26,100.00000000000101,99.87631167597102,-2.0293564831097464e-13,-1e-08
27,100.000000000002,99.92954259452635,-8.316610047346317e-14,1e-08
28,100.000000000005,99.96608700096276,2.2499954406464543e-13,3.0000000000000004e-08
29,100.000000000005,100.00736026212236,2.024995896581809e-13,0.0
30,100.000000000005,100.05044236242315,1.822496306923628e-13,0.0
31,100.000000000006,100.2646071225102,2.6350065062954055e-13,1e-08
32,100.000000000006,100.22396562087174,2.371505855665865e-13,0.0
33,100.00000000000699,100.17274134796459,3.1291151001634184e-13,1e-08
34,100.000000000009,100.09136407513981,4.81993410499056e-13,2e-08
35,100.000000000009,100.15296201739736,4.3379406944915037e-13,0.0
36,100.000000000009,100.26585924666945,3.9041466250423533e-13,0.0
37,100.00000000000999,100.25446450090396,4.5084917926022585e-13,1e-08
38,100.00000000001098,100.17044885320772,5.052402443406173e-13,1e-08
39,100.00000000001098,100.08800073163859,4.5471621990655556e-13,0.0
40,100.00000000001098,100.15306001042106,4.0924459791590003e-13,0.0
41,100.00000000001098,100.2273854275414,3.6832013812431004e-13,0.0
42,100.00000000001098,100.28170085437192,3.3148812431187904e-13,0.0
43,100.00000000000999,100.21514988364305,1.9886332887427713e-13,-1e-08
44,100.00000000001098,100.23836601594972,2.7845297899326347e-13,1e-08
45,100.00000000001198,100.2500345968638,3.5008366410035114e-13,1e-08
46,100.00000000001198,100.2719034565367,3.15075297690316e-13,0.0
47,100.00000000001098,100.35904633433152,1.840917849148704e-13,-1e-08
48,100.00000000000999,100.38140588920899,6.620662341696934e-14,-1e-08
49,100.00000000001098,100.44929724551618,1.5906194408168644e-13,1e-08
50,100.00000000000898,100.45605515246507,-5.721730181083047e-14,-2e-08
51,100.00000000000898,100.48496709233407,-5.149557162974743e-14,0.0
52,100.00000000000898,100.54809591491792,-4.634601446677269e-14,0.0
53,100.00000000000898,100.40238033293235,-4.171141302009542e-14,0.0
54,100.00000000000998,100.37041321129662,6.193571128832814e-14,1e-08
55,100.00000000000998,100.32337594586734,5.574214015949533e-14,0.0
56,100.00000000000898,100.25948816104301,-4.930805686286823e-14,-1e-08
57,100.00000000000898,100.23197393592034,-4.437725117658141e-14,0.0
58,100.00000000000898,100.38146806704377,-3.9939526058923266e-14,0.0
59,100.00000000001098,100.29488495547444,1.6442747803131732e-13,2e-08
60,100.00000000000999,100.3917127909336,4.850874722177156e-14,-1e-08
61,100.00000000001098,100.22342581377201,1.4313385550600844e-13,1e-08
62,100.00000000001198,100.18993731077343,2.2829645296182163e-13,1e-08
63,100.00000000001198,100.20621261728392,2.0546680766563948e-13,0.0
64,100.00000000001398,100.26483485041985,3.852931783834238e-13,2e-08
65,100.00000000001299,100.33595750839913,2.472878775386674e-13,-1e-08
66,100.00000000001299,100.41529223191912,2.2255908978480068e-13,0.0
67,100.00000000001398,100.38041972469428,2.997791638127346e-13,1e-08
68,100.00000000001398,100.33418454542782,2.6980124743146115e-13,0.0
69,100.00000000001398,100.41998213355353,2.4282112268831505e-13,0.0
70,100.00000000001398,100.40085170106536,2.1853901041948355e-13,0.0
71,100.00000000001498,100.27328306873157,2.9616109238394923e-13,1e-08
72,100.00000000001498,100.15995434733122,2.6654498314555434e-13,0.0
73,100.00000000001398,100.06800911873106,1.4041450182458486e-13,-1e-08
