ft_sigma_c,zi_alpha,zi_delta,p_zi,zi_mu,mt_lambda,mt_gamma,ret_std,ret_kurtosis,acf_r_1,acf_r_5,acf_r_10,acf_r_20,acf_absr_1,acf_absr_5,acf_absr_10,acf_absr_20,hill_tail_index,ks_stat
0.5720985912717879,0.3561216964945197,0.06384767143055796,0.1022580769006163,0.13252858963096514,0.08804975828900934,1.4071392580866815,0.0014324725508252666,36.12630560073463,-0.0433326389185516,-0.007529897901485315,-0.0009835837001837319,-0.0008167381318634823,0.4472580231955446,0.35034580350154343,0.3289944545467331,0.3271843546474235,2.8508026939603606,0.08955172174877024
0.3309109151829034,0.20476294461637734,0.28273787477985024,0.39476201216690243,0.03801338092889636,0.14418788274750113,0.33523197993636134,0.0013553889315294587,29.95057413487956,-0.036349072974344546,0.0006507822477497086,0.002063582194616338,0.0001516458065077966,0.4624800205488427,0.3732207097260791,0.34652856346023747,0.3266282708313265,2.7850577054680863,0.07251899581976495
0.2634012013673782,0.32048844546079636,0.11244431154802442,0.22885487174615265,0.05665507240919396,0.18199646640941503,1.640504219662398,0.0014738119363683533,22.693886790387047,-0.05505723145803218,-0.008069689475527319,0.0032473688677449757,-0.0022313825762540697,0.4858614411352848,0.38523225280744305,0.38278299925522447,0.3675697772073085,2.7565636321350175,0.08307351209034852
0.7334061629604548,0.15858299426734446,0.18374939596280454,0.5325178086012602,0.09994303472340106,0.04276287846639752,0.8143375772051512,0.0018645027189284097,16.880630186521838,-0.11469072581156566,-0.01568983003783576,-0.0012841940294521324,-0.0003754897395989638,0.48237488974004045,0.33527659569904156,0.3157612101050235,0.2810750190348488,2.8307802162263265,0.10623801935379573
0.8010337382089346,0.2818617666885257,0.2519192755967379,0.48858714072033765,0.09528644622769206,0.06775624767318368,1.8741835068911314,0.0016555520352373552,39.40930921684455,-0.08217754796635678,-0.009985478291447088,-0.0012911510677186286,0.0003038666548481721,0.4153682431641314,0.2970165603569325,0.280916902605914,0.24809127512906967,2.9638606963336946,0.06915864107716119
0.10215811654925347,0.10730027873069048,0.020873552449047567,0.3037760545313358,0.06989279013359918,0.10935492720827461,0.5797305662184954,0.0018807869898101479,34.88294208732788,-0.10758815420436181,-0.009819996896605466,-0.00167816234331353,0.0030772357045630028,0.5628086511966618,0.4420944650820717,0.40670592002188855,0.3886054574618541,2.771584066839047,0.096780526109148
0.45645981063134966,0.39615456089377404,0.22441849660128355,0.32147607327438893,0.025088242813944818,0.16860128540918232,1.172544877883047,0.0013767628450711321,37.465262758884236,-0.03156021260118561,-0.008760845083715605,-4.873154292913979e-05,-0.0017053390210642902,0.40213991815075195,0.3230803111330766,0.3058332652752169,0.2946402341224544,2.7888746539044664,0.054343056421626346
0.5405314610339701,0.25463943161070346,0.1456411701440811,0.1477666156273335,0.13688931762007994,0.01328457235172391,0.5688986434601248,0.0017555673234035715,22.916695967428712,-0.09913860226732267,-0.01007608293948357,0.004172692058955803,0.000395689386674672,0.47585909650832353,0.34435408907612186,0.3347045624520632,0.304993036791137,2.8695988680295987,0.1109032541167232
0.5061768758110702,0.33627657011151313,0.2303916852734983,0.2639669886510819,0.04020965342642739,0.030477952506393194,1.9104975407011806,0.001593145428936374,21.653930220697838,-0.0763196116499913,-0.007448742049007304,0.0042258119608767014,0.0003561513544940243,0.45752772354983073,0.35359541707702613,0.33878155465221055,0.3181833329638188,2.9835502226766444,0.08126053719485438
0.3968319321516901,0.1402913547307253,0.1592408144660294,0.43865535990335053,0.11747103251982478,0.19409148148074748,0.7855878305621444,0.0016804585210670414,39.55382774988967,-0.08736776717570925,-0.007792488040461294,0.004459668687359578,-0.0015304659174873076,0.4716420361925786,0.3314835459816373,0.32648378638094655,0.28423924816835017,2.766195920802568,0.08844315111203493
0.18284285571426154,0.38570710163563493,0.2731280898489058,0.18510546088218688,0.11501000247662886,0.1319972134716809,1.1427286157384515,0.001304845296621056,18.644271507523158,-0.0261015578888474,-0.005297866615831211,0.0004935374025524969,-0.0007084228970918824,0.45154405760832583,0.3917402981462994,0.3694361845912892,0.3581676019051922,2.9138444621398016,0.0855562484122035
0.813965251808986,0.1777689342573285,0.05439610553905368,0.37066608054563405,0.05446610837243497,0.10043033845350147,0.3658282132819295,0.0016741772963693835,30.87233217037793,-0.06871414616138118,-0.011075670389323502,-0.004602779849606323,8.659731166509842e-05,0.3734464551132018,0.2626959114196329,0.24393726226569548,0.23248539190379247,2.735776659059406,0.053095914455299265
0.676526123797521,0.4370776849985123,0.11729254767298698,0.41533901222050196,0.07631044529844075,0.02549773046001792,1.383121565822512,0.0014484856528059317,55.16684785490226,-0.053029255584244976,-0.005043297679068402,3.7140906776750075e-05,-0.0028539928801193785,0.4119703564084463,0.2909461929813766,0.2853745906986099,0.273437880983018,2.686692316959546,0.030300930737430343
0.2266664294525981,0.2164834835380316,0.19620576824992894,0.11265490492805838,0.08458453734638169,0.15619522568956018,0.12450751820579171,0.0014254965800292235,20.01179566441534,-0.03804431602873821,-0.00857236223875841,-0.0016538082502157829,-0.0011470960233249522,0.44074409391731245,0.37300155316689027,0.36622510566761485,0.3412513503440335,2.8355446301772322,0.09618005034758303
0.3407287361565977,0.2863121723756194,0.08627299878746271,0.5126835625898093,0.14758391394279896,0.12166523926332594,1.6691642148420214,0.0016139298393766273,11.552611828893076,-0.07997371400993562,-0.00881980378303455,-0.00044613484703943273,-0.003606952982608391,0.526090782530576,0.4147075012911598,0.3915254039214531,0.3833453776031071,2.8971311858799695,0.07702256403150187
0.6562617923133075,0.10017057690769435,0.3174586214870215,0.2209290767554194,0.018661181104835122,0.055638837229460475,1.025993404351175,0.001770722941747897,19.987515583170268,-0.10865572356597601,-0.011530286377592375,0.0024353265855100183,-0.0008227021837853547,0.4477243694961966,0.31511357953165914,0.26213235141957725,0.25685861733387255,3.2052323090735406,0.1469087045890205
