ft_sigma_c,zi_alpha,zi_delta,p_zi,zi_mu,mt_lambda,mt_gamma,ret_std,ret_kurtosis,acf_r_1,acf_r_5,acf_r_10,acf_r_20,acf_absr_1,acf_absr_5,acf_absr_10,acf_absr_20,hill_tail_index,ks_stat,true_loss
0.7169844632968307,0.4957085802964866,0.03862395018339157,0.48477331846952443,0.02383945055771619,0.039571180306375034,0.19021734427660703,0.00022006093725397149,44.326788037362284,0.040847062852390835,0.002259404602993839,-0.006609631655386943,-0.00827995703289529,0.2629874000768613,0.11138486948504067,0.07677552145135322,0.09841347386435095,2.52401520264306,0.11384403851686659,24.837600506046968
0.7896795227751137,0.44329180546477437,0.04700260579212122,0.523347799241543,0.013412378513747825,0.03982550450488926,0.10395681255235607,0.00022285357869955742,40.76157671801586,0.04427501837219739,-8.395011722676738e-05,-0.007605772556758805,-0.00389395184132486,0.24817376000123667,0.09900020903806846,0.06918379551429511,0.08144300089854727,2.397580802745546,0.11198177729759956,26.79901111530716
0.6700030003953726,0.4963606074377894,0.025097448208861582,0.420227378487587,0.026160484995550678,0.03753965363278986,0.3622062778448356,0.0002297471750048155,46.99000028611023,0.015061360456800205,0.0034029247407092304,-0.0029640808677080036,-0.00485900326466521,0.2868489887241017,0.12433542043513475,0.08808028316295909,0.11134225189405277,2.7408384631832257,0.11604675009053683,20.461739182113778
0.7096354081109167,0.49427797232940796,0.06007330393532154,0.5194852659106255,0.036988660203706225,0.02161245180815459,0.20794861037190504,0.00023281174252651838,26.218628106247802,0.01815015454993731,-0.0006042065794731323,-0.005538306911049259,0.0010324592351317102,0.275944894072642,0.11306047326034023,0.07932819434616346,0.09208798614811248,2.5443025111561246,0.11566972788050117,22.7971527133592
0.7387918910104783,0.5476875578984618,0.03818051250410042,0.4782475355863572,0.024648063898419687,0.05819821900427344,0.25601582645886345,0.00020942952164319486,67.54513545493508,0.06219012052663438,0.004782847756046473,-0.004714719314530707,-0.003649342383087475,0.2439495110599883,0.08455887813713359,0.06416509958457013,0.08896957950782364,2.339899390628385,0.1097059220126646,28.813248054715366
0.7219095824752004,0.4673078712485731,0.028925198994340623,0.44938514429330834,0.01892642343689564,0.04522712521478535,0.17574032501899123,0.00022134528380954917,50.454509854828075,0.035421918621123434,0.003459408318569292,-0.005397147151336465,-0.006285685023313485,0.2743990340974534,0.10130908419703626,0.07006548166377745,0.09037343651883434,2.5688881026130415,0.11294147019587214,24.045555614584607
0.6873160675913097,0.5697826520055532,0.057257382064905216,0.4897077145576478,0.03168428037847515,0.03344468315616251,0.2851542560840136,0.00021910164537513607,30.256445498416497,0.04306655571104382,0.0017177517701277999,-0.005891475936342645,-0.002847146193007745,0.2534562963899185,0.10819258178200075,0.08615392739673204,0.09256808650219894,2.5284870236478345,0.11086213558294827,24.500634020308123
0.6525602219346912,0.42089263754710554,0.041959020084806294,0.4443789685368538,0.029848513116639597,0.02731224873512984,0.13962037748526784,0.0002380277848689681,20.17553354245501,0.011653949651021997,-0.0026704098266879714,-0.0049123132817760805,-0.0055655831530492215,0.2654780990105483,0.1288428228435939,0.10593407313912019,0.10962957113556633,2.823746572373579,0.11634379789238308,20.573516548956302
0.766633696705103,0.5236347823292017,0.07027883700333236,0.5488364264965059,0.01751618369345843,0.05379490619003774,0.31907795517607207,0.0002228934149454471,33.10199954621102,0.04729476331513663,-0.0011876530348970528,-0.008439837575578318,-0.003105617872503679,0.2463629662532146,0.09906306327443466,0.07375451079173025,0.08677628099504714,2.436713881433285,0.11258500070748223,26.457630256655396
0.7780160301085562,0.4809910732991993,0.044793368223310766,0.5014859178215266,0.027897977761038868,0.05482461024820806,0.19164834890071594,0.00021543647157436954,41.10236444660099,0.05588659337205046,0.00021832346965306704,-0.00737777835494441,-0.0055666488659259295,0.23303465010812385,0.09362643917096715,0.07109101988015627,0.08116776972434835,2.387650344707388,0.10703249179604823,27.70133574137478
