ft_sigma_c,zi_alpha,zi_delta,p_zi,D,dKS,dV,dACF1,dACF2,dHill,ret_std,ret_kurtosis,acf_r_1,acf_r_5,acf_r_10,acf_r_20,acf_absr_1,acf_absr_5,acf_absr_10,acf_absr_20,hill_tail_index,ks_stat
0.5,0.02,0.05,0.15,31.829817447793836,9.013689780771367,11.495544262564124,6.590917087334977,2.9296118828393474,1.8000544342840263,0.003633332581558032,25.431156843382244,-0.14727439170107995,-0.012369049268185038,-0.0013501322531568386,-0.0026917051460196,0.4267000278063346,0.2574742021884967,0.1918145859699688,0.16785016273575,2.8410350361104264,0.08038425601494979
0.5,0.02,0.05,0.3125,34.547545211564604,10.624563508391967,12.306001270846151,7.663402513417502,3.44244423845862,0.5111336804503641,0.0037609929200052112,19.62037177110718,-0.154939497750752,-0.023104931320673313,0.004708787585382416,0.0010941584210636419,0.44201398064199077,0.27582332680164307,0.2100105634422296,0.15374367058004787,3.0826871477765807,0.09475005839757067
0.5,0.02,0.05,0.475,38.49132896487683,11.63954492213665,13.303762469043278,8.446378242805377,3.505371618781816,1.596271712109706,0.003918156755902333,26.05922311678937,-0.1639046279720487,-0.03714050057376237,0.004266747883670396,3.071294614261985e-05,0.44724130944178614,0.2584525173149081,0.18485169729715847,0.1473860068290581,2.879241050706772,0.10380168185003502
0.5,0.02,0.05,0.6375000000000001,40.857953983399035,14.095145116680252,12.43670644732967,8.24573716035338,4.291083049228496,1.7892822098072396,0.003781581139856693,31.291229276042685,-0.16690182405628504,-0.0298109893474231,-0.008151327331326457,-0.009609001979355934,0.4772056566753728,0.27832053974532617,0.18481097940496413,0.1261423193652659,2.8430546566219395,0.12570077084793274
0.5,0.02,0.05,0.8,41.37184374779087,15.234543606948481,12.431505702203777,8.032208836184571,3.3071754590088664,2.366410143445169,0.0037807619367698363,17.20419636776244,-0.16190933142394456,-0.024162047837364028,-0.011449929359545197,-0.0008741205843947678,0.42823813072525274,0.26991566553450747,0.20549887191486035,0.14392760569494553,2.73485236144567,0.13586194814295727
0.5,0.02,0.1625,0.15,24.91238433136854,8.119851309957498,5.774142765673892,4.720326217126288,3.3177816165077445,2.9802824221031146,0.002732117533725368,29.356741525493426,-0.11116185972583649,0.000148304993368414,-0.00023812133920820636,-0.005629979380928868,0.2529289566900688,0.1341393566889626,0.08664454407960039,0.0786980307274081,2.6197610868348877,0.07241298761971504
0.5,0.02,0.1625,0.3125,33.09043153804499,11.6853827924348,7.332734908557566,6.213762368775515,4.179855228474237,3.6786962398028678,0.0029776214881959617,47.886426240380466,-0.13189349815696536,-0.017112883051176742,0.0024016471783297466,-0.0042061164365895815,0.35096422304705266,0.1707259407820099,0.10337857267252286,0.0645615785566767,2.4888196202148642,0.10421046484466245
0.5,0.02,0.1625,0.475,36.66836149675204,15.548860431850063,7.764520572953553,5.602955967141017,3.9363755090779176,3.8156490157294907,0.0030456348479302145,52.730972138474606,-0.12903893884321263,0.0006662133175843708,2.6925236614984388e-05,-0.0027862561515148427,0.3105212029601713,0.13681724764656533,0.10675709377805497,0.06355589998787343,2.46314315608565,0.13866503153468818
0.5,0.02,0.1625,0.6375000000000001,43.91856789234548,18.14852250447354,8.953880011682434,7.074764814621069,4.84311634437394,4.898284217194495,0.003232978565032899,55.75911190784787,-0.1387591522323791,-0.023861931950794908,0.008092448894656885,-0.001504497554674176,0.3822142891475224,0.17938932205715352,0.07904065577783836,0.05444008811671464,2.2601662998126897,0.1618488670871291
0.5,0.02,0.1625,0.8,45.04715844581206,22.86654901158998,7.828037500972792,5.794595125630136,4.839800205647171,3.7181766019719737,0.003055639811111728,64.54383346626825,-0.12025130312630157,-0.011014412767275453,0.004765073175137974,0.0013964169286981964,0.2958284643614632,0.12568664923717013,0.05783115122581018,0.01981640461987012,2.4814176811436433,0.20392431674842326
