ret_std,hill_tail_index,acf_r_1,acf_r_5,acf_r_10,acf_r_20,acf_absr_1,acf_absr_5,acf_absr_10,acf_absr_20,seed
0.0018169477046765352,3.0937558665974723,-0.011966958819360695,-0.00788212536626593,0.0026631195965046484,-0.006261797307429994,0.3096976102127532,0.23057019048030392,0.18830520708683995,0.18851206116073574,1000
0.0018256159146960431,3.026580998584919,-0.013631027023237314,0.005862578095391298,0.0017695053490681672,1.8577896123870657e-05,0.3237605961469771,0.24523581695838667,0.18637339375723824,0.1836051481598848,1001
0.0018312634635839545,3.052993195696994,-0.019383768093218002,-0.001870740775208904,0.0027048482275564417,-0.0025490815398123163,0.32308423838752787,0.24679692411552945,0.18259733931166786,0.1801101584138125,1002
0.001833320761510886,2.964127081593484,-0.01624319001153662,-0.005725547213921537,-0.0035925197058729167,-0.005395426440912524,0.30385009694351467,0.238092318410176,0.17349081943218514,0.163684288960497,1003
0.0017911087035749368,3.0171077262021044,-0.011048091733631879,-0.0008434969661244308,0.0009426597272540697,-0.0024345113298072096,0.29916673571680147,0.22547133942521244,0.1782444137678112,0.18531263690247735,1004
0.0017822804896009978,2.978610728563361,-0.011014025963454369,0.0023006739562501845,0.000896683555016636,-0.004918598070396458,0.2882318478293305,0.20267363815143746,0.16012451439978304,0.15420148621144916,1005
0.0018342221136130512,2.9250807510336156,-0.013828326274445796,-0.006384395748925942,-0.0014529241226824826,0.0005217981812232637,0.3166976057898706,0.21106889185675795,0.17081871281472785,0.16659151122303537,1006
0.0017411529470943527,3.1074269958183254,0.0038447654757052534,0.0032601941245990643,-0.0030406401422637323,-0.007861467120463693,0.2918273226580571,0.2231251510748522,0.18054447268610685,0.17261195224020254,1007
0.0018387451255299898,2.9370861800259545,-0.019138786111812925,-0.0022757184985334367,0.0016132039173740221,-0.0024205563857669136,0.3400973950468494,0.23211961584787807,0.17087139161680912,0.16034088191597481,1008
0.0018323716102699198,2.9492007754435803,-0.009719601424278374,-0.009154827037776309,-0.001783387089378064,-0.0025344205383041316,0.32815501388969465,0.23229695829319755,0.16025063102868684,0.1793268767854317,1009
0.0018069524239399972,2.9591723737405933,-0.0066661750060302985,-0.004102881817592056,-0.0004044935999201477,-0.0017880053747700774,0.30473037295481603,0.2212076080618629,0.16075556448539516,0.1683041653403545,1010
0.0017830197822406356,3.0310712705593716,-0.00684440465017561,-0.00292031428995641,-4.366426139074062e-05,-0.005767138955593038,0.3212222028215437,0.23921155331065846,0.17275237078610295,0.1658800708490096,1011
0.0018600281435985615,2.9471901494960444,-0.01663596723788029,-0.00432036005029767,-0.00011280200269151956,-0.005972979356757546,0.32761726937912344,0.23813224473135977,0.17947347175189163,0.1744859258263737,1012
0.001783083705461109,3.197691026378846,0.0040632727140123065,-0.00537355994099453,-0.0027464938843055047,-0.00663043664798318,0.30551028264199626,0.22172202364856608,0.16464958588448572,0.15826820594670452,1013
0.001828073910241059,2.8938130521537406,-0.01505477002046806,-1.7355174356302693e-05,0.002215601558751779,-0.004931047582672006,0.32463298457893086,0.23958696838621427,0.2084595675377223,0.18863444044833222,1014
0.0018467309391364528,3.0586419439827175,-0.007108323900044978,-0.00837025926402672,0.001027206311349898,-0.0042216935015444105,0.3201329109799275,0.237924979201819,0.18523503203673156,0.16933305818384106,1015
0.0018215710394149773,3.058158238969216,-0.005648666145974035,-0.006126546480946818,0.0006719198808410413,-0.003945801382902995,0.3064189774347853,0.25494377419433595,0.17949107372499148,0.17968311919122928,1016
0.0017772339743609604,3.169049288975644,-0.005166008236392221,-0.002425720701599071,0.0037633355958031148,-0.0074077579842930135,0.29168463411797746,0.215105170539774,0.16162016616601863,0.16080461642176233,1017
0.001890097517492245,2.9133924103577407,-0.022066396833553954,-0.0036291040441870297,-0.0011940842888808147,0.00016887996246783832,0.31786154534793515,0.22969281708038924,0.1724973132312202,0.17218419716872288,1018
0.001844917661765267,2.950789953761616,-0.012306931550001815,-0.0032951431146421295,-0.0012399380307509284,-0.0068114465478543015,0.29980037100858464,0.2250850994105796,0.17747517014904088,0.18032280663337738,1019
0.0018173490371447543,2.9425714088087234,-0.011214930740951055,-0.0035214408675449233,-0.0031315468805364183,-0.007095214261206344,0.29746290281945614,0.22076703950370682,0.16329072862206237,0.155883658874463,1020
0.0017818827752142561,3.0577960922438883,-0.008595111940431348,-0.0022250383570459283,-0.0024614887640197346,-0.002981533556666581,0.2971131743866741,0.21301151319592052,0.1676578477437808,0.16786929311883872,1021
0.001850486585884868,2.9606340261097355,-0.01466747198774476,-0.00038355913613738875,0.0029797963016740345,-0.007668348552200835,0.3290990798503847,0.22453065889806756,0.17141850515510215,0.18292910655806757,1022
0.001803401431973287,2.9636649931970935,-0.009140757687046044,0.0004852554064146911,0.0003870733772941091,-0.0020639861491916316,0.30854024624186355,0.20882561788477616,0.1636932973058041,0.15956439467021752,1023
0.0017921364369942387,3.1036045970769575,-0.006555663071010814,-0.00603651460056426,7.556934376872183e-05,-0.001616081330226765,0.32806631900530986,0.2394329053874206,0.1725741996558079,0.184133143487759,1024
0.001824729100306459,3.0062529435311376,-0.012934099291692676,-0.006064324077121192,-0.003508516581902018,-0.00311895786388471,0.2947082550852142,0.23884503039816585,0.1653799718798401,0.16067129805129013,1025
0.0018154650172129967,3.1144762109677573,-0.010317989724414575,-0.0021997511340929887,0.0019764470418199153,-0.0047869189228451564,0.3107411726809091,0.2109739150979225,0.17725606422685858,0.15430620925049246,1026
0.0018007248517283565,2.9607053017673883,-0.005675427243261204,0.0022387477364302377,-0.0030153747689342764,-0.009007689067576216,0.3359105675339102,0.22210403668841716,0.17861922872247948,0.19464275435383246,1027
0.001780576580822913,3.217251691641968,-0.00977058498476017,-7.920573652467796e-05,0.0031539326954586936,-0.00447489046061383,0.3068360570554038,0.22843793875721607,0.17723191474181832,0.18917630736745253,1028
0.0017997102643897353,3.0767812372297256,-0.008799356483548331,0.0001940401178549186,0.001164226328775324,-0.005575996184515074,0.30600768154535823,0.22118756158237465,0.1704059597782709,0.17238424667035793,1029
