t,log_price,v_smoothed,v_stderr
0,5.209212891465215,5.197555727241062,0.011161364137852283
1,5.20839265902005,5.1980778874415865,0.01101915853150483
2,5.206202077640231,5.198598116144925,0.010882342732512193
3,5.211887638549649,5.1991259067766595,0.010750755716585878
4,5.2123781418703805,5.199610248495641,0.010624239160876623
5,5.212922863531088,5.2000848935352435,0.010502637450881236
6,5.215316120044631,5.200549446632212,0.010385797691771925
7,5.202467040891203,5.200991701261935,0.010273569723457169
8,5.213195113131202,5.201511518283347,0.010165806138668175
9,5.218570448457781,5.201955953612322,0.010062362303362596
10,5.2171073111224935,5.202359380665787,0.00996309637874229
11,5.212813942934096,5.2027658356253355,0.009867869344196497
12,5.215967833531011,5.203193768455166,0.009776545020503355
13,5.216836124680153,5.203594766926699,0.009688990092652349
14,5.208283243844056,5.203983567897984,0.009605074131686119
15,5.1867710918031245,5.204421961634043,0.009524669615002083
16,5.181839728489342,5.204996613259933,0.009447651944601135
17,5.187776790848668,5.205602956024464,0.009373899462821609
18,5.177956009876853,5.206172872458247,0.009303293465150594
19,5.189171919287238,5.206811528812961,0.009235718209760659
20,5.182345190295616,5.207383991288437,0.009171060923477033
21,5.160031833743694,5.208009291224976,0.009109211803937485
22,5.167012065770046,5.208791518089656,0.009050064017763523
23,5.1655856540940785,5.209543444162101,0.00899351369461637
24,5.178519803092441,5.2103224104897725,0.008939459917063871
25,5.191233143938362,5.211036451217856,0.008887804706234216
26,5.19295685089021,5.211686842535282,0.008838453003278747
27,5.203731924058169,5.212344365684246,0.00879131264670882
28,5.204446150937966,5.212948800139101,0.008746294345710254
29,5.209759339566245,5.213564042537761,0.008703311649573204
30,5.214990103958283,5.214158558306027,0.008662280913405315
31,5.216239798282582,5.214731009423931,0.008623121260321514
32,5.209595436487232,5.215305492318018,0.008585754540325133
33,5.215804944973573,5.215932350467886,0.00855010528611203
34,5.21444650751089,5.21652704292821,0.008516100666042452
35,5.220247711126114,5.2171379265579585,0.008483670434534615
36,5.2192741592075835,5.21771741879431,0.008452746880139656
37,5.219436483694589,5.218308638218216,0.008423264771560137
38,5.224886088462154,5.218903504164681,0.008395161301873776
39,5.227519295239321,5.21946671766848,0.008368376031221031
40,5.219977375096785,5.2200154898934885,0.008342850828209854
41,5.234791665668158,5.220615577063265,0.00831852981028347
42,5.23500476033627,5.221120521979937,0.008295359283288228
43,5.237398951578619,5.221623855220457,0.008273287680467992
44,5.237558360702472,5.222110064031092,0.008252265501100253
45,5.237398951578619,5.222592521405399,0.008232245248976667
46,5.232177564043492,5.223072388473204,0.008213181370917928
