t,log_price_med,log_price_p25,log_price_p75,log_fund_med,mispricing_med,mispricing_p25,mispricing_p75,log_ret_med,log_ret_std
0,1.6494183180580893,1.6439762757939098,1.6534957058245352,1.6481872699812947,0.0012310480767945275,-0.004210994187384909,0.005308435843240367,,
1,1.6466750290359498,1.642324280403777,1.6537398161292574,1.6487044597318157,-0.0015620160912608316,-0.0054708302967247935,0.004833553849129146,-0.0010602555370083921,0.00749308197402436
2,1.6463723844099207,1.6394294095665722,1.6519273881197643,1.6491092431229517,-0.0028398723971058137,-0.00824465220101106,0.0036244605794988893,-0.00020681494171392867,0.006607002987609318
3,1.6481703314576368,1.638349252722095,1.6541649729141927,1.6502983350982752,-0.0024004410690836586,-0.009104364951397215,0.004790258923714152,0.0015608782398143228,0.006146170116921525
4,1.6484941043675634,1.640833945097893,1.6578889654497035,1.6498871539352795,-0.0010703728725190986,-0.008237184542192855,0.007863183002938368,0.002155706822689174,0.007807388117732665
5,1.6490862295634523,1.6387738239381329,1.6582555490177309,1.6504472098976728,-0.0025122344730901247,-0.009648538690048003,0.007446161302552101,0.0008699435566001945,0.00584946176027019
6,1.6477904193620887,1.641974790107095,1.6579486494835578,1.6509048329676874,-0.0017068439353108422,-0.007290002932215323,0.006571832328277349,-0.000314518170804412,0.007295057227478199
7,1.646648294825825,1.6412631125303674,1.6610868691835146,1.6511978175808864,-0.0030641320458750787,-0.01165168986206,0.009368592234764328,0.00025362203920864523,0.00683192666235627
8,1.6477880399845795,1.6357673172799423,1.6632403227641137,1.651552212919776,-0.004066162398674411,-0.01468807215963197,0.01103564605612578,-0.0005999942272399972,0.006488091245640896
9,1.6487676553629318,1.6359007722277115,1.6617065058994491,1.6525374279102547,-0.005015757326780612,-0.014319451071040545,0.00827033105589886,0.00043637862630530044,0.005808646022433378
10,1.651430516556188,1.6370987427605628,1.6607011659697744,1.6532656712195957,-0.0016499241841834156,-0.016665342784889015,0.010421335462974135,0.00023535000954388874,0.006199271511648774
11,1.650480093317281,1.6364766399253097,1.6635073559439284,1.6543346700742227,-0.001730232949453736,-0.016445666368958056,0.009470833211355334,0.0006495354231836892,0.005749003497776661
12,1.652438902465541,1.63649478302136,1.6633066929692428,1.6544458187419175,-0.0009272820712781238,-0.015791083720367804,0.007822660559491879,-0.0002035793895015514,0.007638726948620323
13,1.6493076400731188,1.6358736513904364,1.6655691692216887,1.6547632923857094,-0.0043113446452013315,-0.017674429827605864,0.005961869117036056,-0.0014770711700528016,0.006531731195684719
14,1.6494101427176389,1.636536727951308,1.6594109375764166,1.6557041189219532,-0.004573577650703986,-0.0188585256891296,0.006505386091375576,0.0009666245639919913,0.007836781150415079
15,1.6469771481432918,1.6388533316831304,1.6589823656590532,1.656297442919842,-0.0056482204934317215,-0.017287676742058,0.004633138183884444,0.0005194731666759989,0.0065549817572034255
16,1.6483131322943394,1.6391491606590112,1.6593429644282462,1.6572368970847382,-0.007258513140471767,-0.019107765753713202,0.005399900472843611,1.046143264682442e-06,0.0073621148563510425
17,1.6530668998354792,1.6402972285305182,1.663234474758776,1.658096672793471,-0.004306629492465741,-0.01464648024248072,0.007874130374711297,0.0019455818265777802,0.0070016964553206015
18,1.6520119288063864,1.6415141260086403,1.6675438636274504,1.6577419371393902,-0.006904138567839779,-0.014245655887230035,0.01042514930866828,-0.0006010566533928285,0.006735170338613036
19,1.653638004938494,1.6407502488097019,1.6668781837961202,1.6580140895033706,-0.002887610819664488,-0.01580576543454648,0.009976351647902892,0.0006089309873306137,0.007611959207588068
20,1.6534240716398219,1.642272909262516,1.6657882317642696,1.6574966119106707,-0.0035646323863477436,-0.013511565081717525,0.008902346532697614,0.001662687306708599,0.007333817374519142
21,1.6548031313511915,1.64393457063278,1.6680705414273613,1.658165479808386,-0.0034040717076648797,-0.013632867585364306,0.006718136019615184,0.0018973513413919063,0.006762980163185689
22,1.6539676706125763,1.6456452789011586,1.6674896185817696,1.6586557308798004,-0.002435065430356431,-0.014442791045092107,0.009342908020290308,-0.00012726673563201452,0.006520068937753945
23,1.6563823023469553,1.644638745293608,1.6747469809681048,1.659188611236142,-0.0020182313986096823,-0.011207158185567057,0.01294552491509221,0.002133570355580372,0.007455782561838855
24,1.660907527392571,1.647341171444208,1.6779269802773784,1.6593922387986022,0.0007964795142033632,-0.013568832000628639,0.013251344592393077,0.0029160708648381384,0.007469935792431592
25,1.6580716865422311,1.6485819719278745,1.674484239110409,1.6599400895481455,0.0005840720299439273,-0.013650247452087594,0.011382405862563005,0.0011031691760718942,0.006647119008075619
26,1.6612253506663026,1.6446967779240218,1.670498443923265,1.6598832791883873,-0.0019866993989698933,-0.014547244165199702,0.011094919293859362,-0.0012460422308806507,0.006262146374716646
27,1.6614949205297522,1.648266665654421,1.6709791333006017,1.6601133929401872,-0.004312003812354526,-0.012292852662614817,0.006397797583557963,0.0003062890851600608,0.0075719998472015965
28,1.6617851783392128,1.6490395384432885,1.674437330051373,1.659659608985553,0.0020307244885791054,-0.013404502872405522,0.009985290406813618,0.0017151027004550512,0.007678775665249765
29,1.6620256858569367,1.6473118900579258,1.6800446513577614,1.6609117436068952,0.002219791807917537,-0.016680385337479342,0.011366160765696298,0.00030115711711453663,0.006373061941802833
30,1.6603877319476041,1.6433390894063014,1.6759241612098479,1.6618935374114443,-0.002325739344294253,-0.018017991315447512,0.012968342793832688,-0.0019275483383671688,0.007233432707393117
31,1.658927653733762,1.6426570504136968,1.673597464409653,1.662693790736856,-0.003319470819452053,-0.01805404935972399,0.011728941509885737,-0.00026564085771563217,0.006658324490798549
