ft_sigma_c,zi_alpha,zi_delta,p_zi,zi_mu,mt_lambda,mt_gamma,ret_std,ret_kurtosis,acf_r_1,acf_r_5,acf_r_10,acf_r_20,acf_absr_1,acf_absr_5,acf_absr_10,acf_absr_20,hill_tail_index,ks_stat
0.7850450701080264,0.6182636757381261,0.0667708495259285,0.11409747950732708,0.13252858963096514,0.08804975828900934,1.4071392580866815,0.0002866987180293801,11.870412513628592,-0.06438464633435272,-0.009804200812568926,0.0003916069963574061,-0.0006223638065075652,0.2691661852897414,0.1364994231527754,0.10795936095068931,0.10652342634570718,4.045252256951779,0.1995792729982302
0.5116990372072905,0.2903197133354843,0.30025373309850695,0.5621886143833399,0.03801338092889636,0.14418788274750113,0.33523197993636134,0.00029126366402928343,5.54445113484203,-0.055036014872397586,-0.0052355646062001585,-0.0017238170413734662,-0.0022262439066791898,0.25015281994047894,0.16138609695099196,0.13209746469498013,0.11664922038580271,3.5093934624598755,0.20117876116201772
0.43518802821636204,0.5410582984983922,0.11860726565122605,0.3080329950153828,0.05665507240919396,0.18199646640941503,1.640504219662398,0.0002731061468108522,9.2152397325198,-0.03659723923811474,-0.00669899086484689,-0.00426767706898831,-0.0025781905576878978,0.27541473806317246,0.159779195856533,0.1449772208012633,0.13943735144240021,3.413535739952602,0.18325486485872822
0.9678603180218489,0.19026315424591303,0.19466602236032485,0.7732187706232071,0.09994303472340106,0.04276287846639752,0.8143375772051512,0.0003929257817743817,3.2858025971913856,-0.14216568398611518,-0.03765504151444206,0.007685320192817555,0.000882832542351999,0.3912545031760119,0.1794355944273668,0.11159307669760453,0.08107365136022199,3.6092019025424933,0.1883872601697809
1.0445049033034595,0.4573671611584723,0.2673805606365204,0.705920726209879,0.09528644622769206,0.06775624767318368,1.8741835068911314,0.00027416976890217874,12.787532925216526,-0.038926614560445494,-0.0039158118655563436,-0.004161968619967176,-0.005320584044070859,0.26036931488068743,0.11907444058914796,0.08333908836305222,0.07716124505352266,3.0178919582280783,0.10943402115099504
0.25244586542248726,0.07915060391649605,0.02093178927898407,0.42280587077140813,0.06989279013359918,0.10935492720827461,0.5797305662184954,0.0004133480172926518,9.439802974543232,-0.1331093931691706,-0.023060534392297365,0.0019773522346037027,0.0019512459039749727,0.4305616752256844,0.25942621641778474,0.21026705829821993,0.20111275871395637,2.821413262915843,0.25393200013870515
0.6539877853821964,0.7050015486031771,0.23804639637470246,0.4499207931011916,0.025088242813944818,0.16860128540918232,1.172544877883047,0.00023303400862084364,16.26657359394968,0.026586715119684814,-0.0075159676654715695,-0.007405984923733851,-0.002026562279002627,0.21136450644138904,0.10644135177466015,0.0861572198446147,0.08100651828901333,2.875596752858596,0.11611759669253607
0.7492689891718329,0.3983854351565242,0.1540172481536865,0.18381268776953222,0.13688931762007994,0.01328457235172391,0.5688986434601248,0.00034885733593338067,4.362739163760165,-0.10740926764508468,-0.017994777048631137,0.0024283311083191862,0.0010030780745637815,0.2915150086717735,0.13633613462176952,0.10390573286969773,0.0886369773760034,3.5888099707626773,0.21644410812385317
0.7103337925858796,0.5752659019082785,0.24441779762506485,0.361821769848466,0.04020965342642739,0.030477952506393194,1.9104975407011806,0.00027891898230820246,11.961425399780559,-0.049111812864000744,-0.005612615413938429,-0.001978679733971231,-0.0016467722408258216,0.2880875957341771,0.14433406202542937,0.10784558061101905,0.10688813668935737,3.140834496285002,0.15365276019596885
0.5864095231052489,0.1506312685832381,0.16852353543043136,0.6294294875115156,0.11747103251982478,0.19409148148074748,0.7855878305621444,0.0003557842519585302,5.035225401807349,-0.10593631519862064,-0.014678112392078342,-0.00035729578661563313,0.002032734526820866,0.3111274121726721,0.16348481245025617,0.13465708717717959,0.11066898441387547,3.3701905674541943,0.20755640933890415
