ft_sigma_c,zi_alpha,zi_delta,D,dKS,dV,dACF1,dACF2,dHill,ret_std,ret_kurtosis,acf_r_1,acf_r_5,acf_r_10,acf_r_20,acf_absr_1,acf_absr_5,acf_absr_10,acf_absr_20,hill_tail_index,ks_stat
0.5,0.02,0.05,103.87058567499182,23.34995098227883,59.68201166393562,13.827377751818712,5.211383423928194,1.799861853030448,0.0008238062645210524,8.98836873220676,-0.15202518945771296,-0.022102438248105028,-0.004838512616284223,0.004873024031733102,0.4128856224923276,0.24900639202770222,0.20289651699025188,0.15500134534388374,3.078857723990047,0.18693624006025755
0.5,0.02,0.125,78.45520730158985,20.45811626263446,39.6779092492895,9.749213912106235,7.7787548954949095,0.7912129820647281,0.0006473410803786808,11.214891492013257,-0.11722583882954568,-0.007004690295311894,0.0008364749375896144,0.007306428076161782,0.2876435394200407,0.17022079857070874,0.12520986217369195,0.0936068168453178,2.904385288796042,0.16378464073671717
0.5,0.02,0.2,75.5210517553845,19.072026415797072,35.98439946701644,9.198029404631832,9.678975104360843,1.5876213635783012,0.0006147589694521108,16.94551925565954,-0.10863341246607783,0.0021035575659516617,-0.003573563746161341,0.0026232524532394555,0.27718247966701626,0.13839405432846463,0.11312265002787301,0.06681779434141445,2.8507583893141963,0.152687811259425
0.5,0.02,0.27499999999999997,73.84272069732413,18.4079385703509,30.86612308987466,7.686353867322375,13.455399551888766,3.426905617887435,0.0005696083516107128,21.116785169598437,-0.08777435134099276,-0.008673660724711596,-0.002322201342956183,0.007311033257805043,0.1988409340251078,0.09917608044458333,0.07463916928951597,0.06075325239702425,2.7269084724701247,0.14737122258685598
0.5,0.02,0.35,70.398823098048,17.581339821875936,28.817638938898703,6.551850694254968,13.754800796011164,3.6931928470072304,0.000551537751619681,19.737381541107382,-0.08252795817477894,-0.0023733190787328293,-0.0015048926053025276,0.0036704278355487916,0.18753532429584885,0.08378259681923622,0.07819081601320628,0.07109655718158094,2.7089777740988104,0.14075359575775914
0.5,0.02,0.425,70.682599089971,17.113304856173574,27.342768703076285,5.636592546609797,15.573913214574862,5.016019769536489,0.0005385272579541441,26.043096122788477,-0.07066969462548099,-0.0018811971909688874,-0.0014994157111413956,0.0062345715888178785,0.13834652717554985,0.08201990614421979,0.06766735191244312,0.05429050341941774,2.6199039922891108,0.13700657732626298
0.5,0.02,0.5,71.69892624244727,16.906548579929083,27.78434790850295,6.229066976265137,15.147210080353839,5.631752697396269,0.0005424226267232025,23.774413251097947,-0.07499825977696647,0.0029543545629769734,-0.0006340026849090535,0.005507903703304465,0.13354594808587447,0.0732259674534914,0.08198702364176556,0.0718596649155364,2.5784430426099463,0.13535131728227667
0.5,0.1,0.05,87.29566289094612,27.003942278297764,38.08777737933668,9.479429142436805,5.312251544573021,7.412262546301865,0.0006333138120001489,5.630637846535464,-0.11260861936871223,-0.008103499337700246,-0.0035979574940677218,0.004963874072511058,0.3598439784764538,0.2175574617388888,0.18663585620103226,0.14604237730072092,3.456773947395311,0.21618955175282129
0.5,0.1,0.125,82.13427817465018,27.635442671837584,33.047490122815205,8.991453179760768,6.609902281951376,5.849989918285252,0.0005888511712669509,4.980705908299803,-0.10808761647560076,-0.0007696394989232455,-0.0025804745007726834,0.008662949253037245,0.3511154261492196,0.19902329026679047,0.15566991119726106,0.1314447643319858,3.3515768661859666,0.22124525012471508
0.5,0.1,0.2,78.11183268569141,28.38398137138416,31.091840253336922,8.414119655716213,8.208061498953503,2.0138299063006246,0.0005715995042247535,8.876094383503343,-0.10376533834418501,-0.003529593293850121,0.0028156640970036784,0.005541472911410615,0.3511304380011954,0.17228958561114327,0.13204969920750406,0.1135904961281685,3.0932654619689455,0.22723793979412932
0.5,0.1,0.27499999999999997,77.63883660245213,29.916527026499327,28.117779456869588,8.279939721579858,8.69186618786647,2.632724209636885,0.0005453639763704786,10.659887568904189,-0.09864961661162819,0.0018901576527483397,0.0007491569587369171,0.0014296604845550369,0.32419816356144654,0.15185227982591046,0.12843049068931292,0.09043274844484563,3.1349392858076954,0.2395072727235792
0.5,0.1,0.35,76.54674418721443,30.824355773538016,26.465561520690436,8.072783845544823,8.729212161489059,2.4548308859520906,0.0005307890188788734,9.901782926577871,-0.09103392274119627,0.002998933992246713,0.003965707315008366,0.0012710580852343847,0.3086180764425874,0.14548601824000243,0.11623876278918639,0.09196887719253943,3.1229606733154394,0.24677521485839665
0.5,0.1,0.425,78.43743810442759,31.22573314231332,27.530323612068123,7.155951320658939,10.248620561455745,2.2768094679314372,0.0005401817641582224,22.03279906990993,-0.08709571025687664,-0.0006412778768344335,-0.0025107132933788784,0.0029531825131126604,0.31030074977556743,0.12131976808320429,0.09975494032881381,0.06943844454433117,2.8043512669707713,0.24998858246765115
0.5,0.1,0.5,75.38006263933651,31.81441994985044,23.692252521046008,6.345559435618537,11.060514014828177,2.467316717993351,0.0005063244129114675,19.20101578226897,-0.0740633532064172,0.0019409561049707716,0.004145219601691674,0.004905809055053992,0.270738625604571,0.11297619245019495,0.08983983674921557,0.06292213737715267,2.791523284007788,0.2547015216278911
0.5,0.18,0.05,69.42164406752404,26.828554844998134,26.59234275475472,6.540068402830019,5.116841699745969,4.343836365195201,0.0005319074131637663,7.718788392002418,-0.08042608910127919,-0.002959798440988112,-0.0013843507200750657,0.007141101182788702,0.31546065376871096,0.18849900358145336,0.17217923389621967,0.15411012149377615,3.250158615109451,0.2147854260071298
0.5,0.18,0.125,71.89580894856259,28.11709551436795,24.865943745610675,6.1149421144507805,5.203089570796747,7.594738003336436,0.0005166780710649795,6.006456517139741,-0.07594887280895851,-0.0011409182490714218,0.0018596979013129195,0.005719739652661891,0.30602604682851736,0.19332302263884635,0.16704897842109875,0.14134496045637693,3.469061102100664,0.22510129125582046
0.5,0.18,0.2,72.36007107729398,28.0380386495744,24.155902996296224,6.794864350047615,6.676282308161035,6.694982773214703,0.0005104144822780803,6.4111703565471085,-0.07939234923403012,-0.0016308905545172777,0.00453016549659469,0.007975103220588989,0.3062029170620872,0.17144667105027492,0.143642510201168,0.12389102353450544,3.408475246396456,0.2244683737363501
0.5,0.18,0.27499999999999997,71.07653680308503,27.706752911514307,24.4164601177554,6.646553387590816,7.902842173502689,4.403928212721826,0.0005127129738307048,12.82084187526012,-0.07874283969830664,0.001416929242653375,0.0006593156401897924,0.0016792196212246865,0.29117248536883017,0.15450488890143757,0.12462036385500956,0.1012116405718837,3.2542049555822423,0.22181614931388594
0.5,0.18,0.35,68.1530277038627,28.30905759587943,22.09779623116799,6.134314882651603,8.916925320832572,2.6949336733311,0.0004922589968798898,10.74385967467096,-0.06968322496192743,0.0043997972829624655,-0.0009180437360134492,0.0022016172785477173,0.28519633189993626,0.12827440703023613,0.12201502920367012,0.09277679750705765,3.1391282179357187,0.2266381111737351
