ft_sigma_c,zi_alpha,zi_delta,p_zi,zi_mu,mt_lambda,mt_gamma,ret_std,ret_kurtosis,acf_r_1,acf_r_5,acf_r_10,acf_r_20,acf_absr_1,acf_absr_5,acf_absr_10,acf_absr_20,hill_tail_index,ks_stat,true_loss
0.4059270738158375,0.38578353956341743,0.21342844579368828,0.537269803257659,0.14800130001967773,0.19394535755366088,0.185695162974298,0.0012711504873306478,62.14956247482742,-0.0012279817304827552,-0.011880615216357937,-0.0023580491927323623,-0.0023279743509559904,0.36293063846316137,0.2776706201730829,0.28537502291814604,0.2603681506005788,2.6021568004514313,0.029192360100695147,7.421368990642981
0.47006977335549893,0.36159118194878104,0.21543219780549405,0.5361353275020678,0.13482400189883814,0.18733912256199203,0.10389295703410756,0.001249267732924089,45.233220744555915,0.008394477032810313,-0.01280300543429784,-0.00204905639599156,-0.003729474446427459,0.33982791273089524,0.26478866591587485,0.26915237683155685,0.25173964021779993,2.6782347269642233,0.03807247280537651,8.765779358182266
0.36447284184396267,0.38608447516709565,0.18946999117732047,0.4933616954202153,0.14282601469052003,0.18584313565358992,0.35797476130513317,0.0013075062925843105,41.96877056898588,-0.015603129534213186,-0.012489405962349586,-0.0018885828748009623,-0.002164612574171301,0.4016002886356788,0.3113231663598019,0.2989439386053769,0.28645041931829335,2.6834007855548916,0.04599413381371392,8.635291559124571
0.39944261335767806,0.3851232589632273,0.23092371685430405,0.5345331755869321,0.1496228826528262,0.1754194961642609,0.20620652267674724,0.001266900299725688,50.170021782180655,0.0003647104238790405,-0.009418096586501378,-0.0037741860850219627,-0.004341260601669528,0.36897438309994884,0.28054242381941735,0.27990485162079237,0.2660868413573924,2.623660347940087,0.04035889974364304,8.292103293960505
0.4251689217984676,0.4097738369181752,0.2049761667102575,0.5174280523544589,0.14187666484135403,0.19936324045103213,0.25349802423253115,0.001259445201627986,50.55941014923815,0.0074066566935788855,-0.01172177098379302,-0.0025014140736267054,-0.002313434123774721,0.34439825850774647,0.2630969595025584,0.2722401761832927,0.2538791572944661,2.587457036792098,0.03905401972331923,9.557237723992628
0.4102727672085166,0.37267552000284193,0.19400667877867817,0.5054561335323183,0.13828517929580458,0.1908742411319697,0.17451801851788618,0.0012932167668509673,52.91912414813503,-0.003525342463990611,-0.012564379160807439,-0.0028887790042219585,-0.002672843334257951,0.36578108214194804,0.27029930127795493,0.2764475947190607,0.2532632372317472,2.62116252333156,0.034007713804013906,8.122378965756376
0.3797490776050836,0.4199715726599097,0.22758625876158473,0.5221816547479146,0.14629331247124455,0.18316316107690142,0.28216621436565537,0.00124789445196726,43.07485057746767,0.003997362307407794,-0.011273615920646225,-0.006890384933762465,-0.0007745709557538026,0.36858446212691387,0.2987370214166764,0.2826346661913223,0.2725712412885754,2.68779275626791,0.03721794960622643,7.592386959579746
0.34908215496689077,0.3512531044483185,0.20945449078455566,0.5033796067069033,0.14514099756606802,0.1791497576994214,0.13898097905432188,0.0012725022343591352,43.994781201962205,-0.006396518107244293,-0.007677409796528066,-0.003200917699256947,-0.0012220829584473226,0.39669807119530714,0.3087325707521944,0.30703653013047466,0.2827481403092653,2.6819393234696114,0.04329199288667174,7.397389825082523
0.4497352209407836,0.398672555886209,0.24301941428333518,0.5467078325064507,0.1373999688935828,0.19648146963907803,0.31554244870982207,0.0012752536197879394,54.499576607923466,0.0029558584298305384,-0.014055753408400054,-0.004033141394641436,-0.008396968407432877,0.3498093151020943,0.27123777875188765,0.2871310242147855,0.25741377504733204,2.6811731591809296,0.03001224046744727,7.635518526830139
0.4597784562967717,0.3789908440262079,0.21281378787010907,0.5270671714022394,0.14391664249118497,0.19715536477780007,0.19016931679135013,0.0012715906829854696,63.36655870667285,0.007204848155782972,-0.01395294594229683,-0.008274992757920707,-0.0008847162607481233,0.3334207917396738,0.2653217753520662,0.2632060043849047,0.23530878012271628,2.6193546406895654,0.031686644033349476,9.529139437530484
