t,log_price,v_smoothed,v_stderr
0,4.984222870144423,5.010164709595666,0.012312797860057633
1,4.982030037085921,5.010811380895085,0.012151050004817109
2,4.986205980173081,5.0114934848346975,0.011995621445801779
3,4.983366866942062,5.012163396784272,0.011846317488800245
4,4.98045096291894,5.012874073757274,0.011702946810139803
5,4.983264097300124,5.013627468921137,0.011565321465939332
6,4.990908663912222,5.014381223305036,0.011433256907163045
7,4.9911806062621205,5.01509800418449,0.011306571999521736
8,4.9901604409068705,5.015832207482401,0.01118508904725517
9,4.990704658607377,5.016593736309937,0.011068633819826437
10,4.990704658607377,5.017371103484983,0.010957035580569461
11,4.996671587078869,5.018168584093491,0.010850127116352852
12,4.999439521335521,5.018940701550956,0.010747744767356905
13,5.00455082117588,5.019710237676871,0.01064972845610457
14,5.006426449322201,5.020458256878384,0.010555921714940601
15,5.0064933949289205,5.021207722147603,0.0104661717112147
16,5.011967739330034,5.02197159119833,0.010380329269492778
17,5.010901925213687,5.022708114267368,0.010298248890194055
18,5.015092014813197,5.02346542609356,0.010219788764129226
19,5.011301738639416,5.024203248303018,0.010144810782494665
20,5.00936782452929,5.0249812158680935,0.010073180541958276
21,5.018735730130124,5.025786184500454,0.010004767344552965
22,5.00756391557177,5.026532235043902,0.009939444192172072
23,5.017677108885302,5.027373963084294,0.009877087775536877
24,5.018405031360617,5.028151805873698,0.009817578457578148
25,5.016882406856722,5.028934785441811,0.009760800251240938
26,5.022432103975767,5.029739898440392,0.00970664079178382
27,5.022300325626759,5.030513457042581,0.009654991303699898
28,5.023946308155928,5.031297304895501,0.009605746562436974
29,5.02493259879708,5.032077789981346,0.009558804851137968
30,5.0257865978636,5.032859444387322,0.00951406791266007
31,5.024860303859994,5.033642973970556,0.009471440897162028
32,5.031874797088675,5.034441807596522,0.009430832305573941
33,5.019330712463479,5.035195441368618,0.009392153929282844
34,5.013364898667122,5.036051703869471,0.009355320786380843
35,5.022827334861618,5.036964465895432,0.009320251054830855
36,5.004013417787369,5.037818234836327,0.009286866002908473
37,5.010701958540799,5.038827750734305,0.009255089917277899
38,5.023288240219571,5.0398045021364615,0.009224850029055272
39,5.021311434093491,5.040702515784872,0.009196076438205037
40,5.0247354184750375,5.041630156829504,0.009168702036604274
41,5.0295878870129425,5.042546946166625,0.009142662430096968
42,5.038963566083114,5.043441152550778,0.00911789585984527
43,5.040258819162327,5.044276610431375,0.009094343123268301
44,5.042069359585786,5.045112021233793,0.009071947494841446
45,5.046259805069185,5.045942528503645,0.009050654647010744
46,5.049856007249537,5.046748877471156,0.009030412571457966
47,5.0479310788399525,5.0475338316672875,0.009011171500932948
48,5.049086480470509,5.048338064788797,0.008992883831850661
49,5.054524579665976,5.04913815780717,0.008975504047831583
50,5.048829839894225,5.049900655525683,0.008958988644345602
51,5.043102484233757,5.050708924932522,0.008943296054601762
52,5.041099834900075,5.051564908323954,0.008928386576808998
53,5.047609896887617,5.052442234358553,0.008914222302916577
54,5.039287536669418,5.053276885873346,0.008900767048927472
55,5.046710038233246,5.054181085842929,0.008887986286863143
56,5.043425116919247,5.055037288046451,0.008875847078444543
57,5.050753040692145,5.055925886127089,0.008864318010541357
58,5.050688993553429,5.056766988510927,0.008853369132429628
59,5.053567061479768,5.057615326071917,0.008842971894887084
60,5.050240548688615,5.058448513660989,0.008833099091145455
61,5.054971107916307,5.0593133856952415,0.00882372479971001
62,5.045101130977534,5.060149432435666,0.008814824329048373
63,5.048900422618812,5.061067429682119,0.008806374164143227
64,5.044650172683533,5.061966171478021,0.008798351914896979
65,5.051073214869631,5.062906931886011,0.008790736266370574
66,5.054588381624718,5.063809916238624,0.008783506930833511
67,5.0670156275323635,5.064696014471336,0.008776644601597591
68,5.070224085507913,5.065496015073821,0.008770130908603064
69,5.067632954275286,5.066276471791001,0.008763948375722483
70,5.044070070182493,5.067080282255606,0.008758080379744806
71,5.05872680156351,5.068068829157763,0.008752511110999884
72,5.043812138790813,5.06895709728392,0.008747225535581648
73,5.038055889672248,5.069968239359826,0.008742209359126759
74,5.046324136504762,5.071037734268499,0.008737448992104347
75,5.051009188234529,5.072061421320894,0.008732931516571635
76,5.061455143092889,5.073065501833374,0.008728644654349752
77,5.061835250794647,5.074005090138878,0.008724576736573685
