regime,seed,agent_id,n_clients,min_kappa,breached
calm,42,30,16,0.07953795357383261,1
calm,42,31,16,0.0826431207787988,0
calm,42,32,15,0.0788182786553654,1
calm,42,33,10,0.079773660606966,1
calm,42,34,12,0.0927977044684321,0
calm,42,35,0,0.17786088898191912,0
calm,42,36,0,0.18096744197646314,0
calm,42,37,0,0.17957550272359715,0
calm,42,38,0,0.1850306509884595,0
calm,42,39,0,0.18765816024978332,0
calm,43,30,16,0.09966573843213922,0
calm,43,31,10,0.10275229696743192,0
calm,43,32,12,0.09273981089531023,0
calm,43,33,13,0.1038036794795618,0
calm,43,34,16,0.08922350043528818,0
calm,43,35,0,0.1850330539232196,0
calm,43,36,0,0.5757420377992256,0
calm,43,37,0,0.18180350170525753,0
calm,43,38,0,0.17945308417415115,0
calm,43,39,0,0.42758988424932004,0
calm,44,30,15,0.07994392721382414,1
calm,44,31,15,0.07742172471777281,1
calm,44,32,11,0.08317143372519152,0
calm,44,33,14,0.07907544223335658,1
calm,44,34,15,0.07912689013592338,1
calm,44,35,0,0.1888828232912802,0
calm,44,36,0,0.18742476405176856,0
calm,44,37,0,0.18256226053207986,0
calm,44,38,0,0.17382458862447697,0
calm,44,39,0,0.18788914741190613,0
calm,45,30,14,0.08635563156278601,0
calm,45,31,11,0.07827751449418816,1
calm,45,32,16,0.0772798571126476,1
calm,45,33,17,0.07792822576132875,1
calm,45,34,14,0.07751929152858224,1
calm,45,35,0,0.1782485917403241,0
calm,45,36,0,0.17363593995220794,0
calm,45,37,0,0.18365317891917324,0
calm,45,38,0,0.17960487549117854,0
calm,45,39,0,0.18731029942145863,0
calm,46,30,18,0.07984112529057076,1
calm,46,31,13,0.09548977295353471,0
calm,46,32,10,0.0931056991506848,0
calm,46,33,12,0.08752950887815521,0
calm,46,34,19,0.08561567694092626,0
calm,46,35,0,0.19882017318297188,0
calm,46,36,0,0.19394122427721622,0
calm,46,37,0,0.19326951112951976,0
calm,46,38,0,0.17114403578663673,0
calm,46,39,0,0.1834037835403465,0
calm,47,30,13,0.08534440248257973,0
calm,47,31,18,0.0796610378508125,1
calm,47,32,13,0.0796701610403584,1
calm,47,33,18,0.07848835868196352,1
calm,47,34,13,0.08474890960849082,0
calm,47,35,0,0.18238225478982809,0
calm,47,36,0,0.18769777650689923,0
calm,47,37,0,0.1853955075091715,0
calm,47,38,0,0.18714781447048834,0
calm,47,39,0,0.18164679735600012,0
calm,48,30,17,0.08870408212071003,0
calm,48,31,14,0.0859824332307352,0
calm,48,32,15,0.09193083293756271,0
calm,48,33,15,0.0876536433522406,0
calm,48,34,9,0.07839565194878828,1
calm,48,35,0,0.17852482618274465,0
calm,48,36,0,0.18139080928650775,0
calm,48,37,0,0.18220983638225863,0
calm,48,38,0,0.18079727320605168,0
calm,48,39,0,0.34013928851023206,0
calm,49,30,14,0.07767501844794147,1
calm,49,31,11,0.07756353008867806,1
calm,49,32,11,0.07732499111829451,1
calm,49,33,13,0.07784985508053995,1
calm,49,34,18,0.07900022697201815,1
calm,49,35,0,0.17989961694610146,0
calm,49,36,0,0.17697768456585336,0
calm,49,37,0,0.17765059850225834,0
calm,49,38,0,0.1801395009506397,0
calm,49,39,0,0.196695465416718,0
calm,50,30,14,0.07974844529484863,1
calm,50,31,14,0.07777330328488868,1
calm,50,32,15,0.0785489047616214,1
calm,50,33,14,0.08223008079823073,0
calm,50,34,11,0.07990788073685828,1
calm,50,35,0,0.18370935286126405,0
calm,50,36,0,0.18189358744846068,0
calm,50,37,0,0.18897801973788259,0
calm,50,38,0,0.18341620170061787,0
calm,50,39,0,0.172893363069689,0
calm,51,30,13,0.08871101620309743,0
calm,51,31,16,0.07774663486845637,1
calm,51,32,13,0.0791553017824992,1
calm,51,33,16,0.09437896640698354,0
calm,51,34,13,0.08501219997488642,0
calm,51,35,0,0.1876205371505764,0
calm,51,36,0,0.1705461391306027,0
calm,51,37,0,0.17765961946605377,0
calm,51,38,0,0.17754348993786595,0
calm,51,39,0,0.18119200991329137,0
calm,52,30,12,0.07790515210461989,1
calm,52,31,18,0.07568721034049307,1
calm,52,32,12,0.0798848877046999,1
calm,52,33,17,0.07792554937970601,1
calm,52,34,11,0.08363390910790082,0
calm,52,35,0,0.18766660707306854,0
calm,52,36,0,0.1827966253695609,0
calm,52,37,0,0.19160907279781514,0
calm,52,38,0,0.18526710234280536,0
calm,52,39,0,0.1798567216413835,0
calm,53,30,13,0.07666670704713001,1
calm,53,31,14,0.08211497878340897,0
calm,53,32,12,0.08116129480054256,0
calm,53,33,14,0.07887240233373258,1
calm,53,34,17,0.08041783325702673,0
calm,53,35,0,0.1831882828730382,0
calm,53,36,0,0.17413047466449194,0
calm,53,37,0,0.27988029505046785,0
calm,53,38,0,0.19965980482833867,0
calm,53,39,0,0.1823585091735547,0
calm,54,30,16,0.07982347275820417,1
calm,54,31,12,0.0951812975640698,0
calm,54,32,16,0.08751129110736615,0
calm,54,33,11,0.08101120737340281,0
calm,54,34,12,0.08740672801261375,0
calm,54,35,0,0.18598151121119116,0
calm,54,36,0,0.19123377146328016,0
calm,54,37,0,0.18471102487414792,0
calm,54,38,0,0.1812251981528007,0
calm,54,39,0,0.19029182215538107,0
calm,55,30,15,0.08219307446315793,0
calm,55,31,12,0.08570023122460556,0
calm,55,32,17,0.08886469411706158,0
calm,55,33,14,0.09189334240551597,0
calm,55,34,10,0.07941519670868079,1
calm,55,35,0,0.18953062019403352,0
calm,55,36,0,0.17767383417614954,0
calm,55,37,0,0.18703742444741348,0
calm,55,38,0,0.1945352631182707,0
calm,55,39,0,0.1741403393006807,0
calm,56,30,15,0.09288077547162875,0
calm,56,31,15,0.10036968747214833,0
calm,56,32,15,0.0813207069669641,0
calm,56,33,13,0.08394730546202228,0
calm,56,34,15,0.07781154764250107,1
calm,56,35,0,0.18440836815279854,0
calm,56,36,0,0.18077992169797868,0
calm,56,37,0,0.1821620608822714,0
calm,56,38,0,0.48085180675669176,0
calm,56,39,0,0.18680556565153786,0
calm,57,30,13,0.07834593379734607,1
calm,57,31,13,0.07762319058019432,1
calm,57,32,10,0.07691813843296313,1
calm,57,33,16,0.08724739599859019,0
calm,57,34,17,0.07810482436323339,1
calm,57,35,0,0.1732361109987954,0
calm,57,36,0,0.18978774440969853,0
calm,57,37,0,0.18601352416987454,0
calm,57,38,0,0.17882030972736815,0
calm,57,39,0,0.1790604906721983,0
calm,58,30,11,0.07922820235598121,1
calm,58,31,15,0.07793000508459967,1
calm,58,32,11,0.07852254569939358,1
calm,58,33,17,0.0791878944871353,1
calm,58,34,18,0.07747547222180488,1
calm,58,35,0,0.19105003950034916,0
calm,58,36,0,0.2528374028616501,0
calm,58,37,0,0.1835713733485503,0
calm,58,38,0,0.18919421252922722,0
calm,58,39,0,0.35929711954658394,0
calm,59,30,16,0.08844925744989417,0
calm,59,31,14,0.09467564408565202,0
calm,59,32,11,0.09782281740979999,0
calm,59,33,14,0.09567392653441972,0
calm,59,34,15,0.11223255172154878,0
calm,59,35,0,0.18142525663263745,0
calm,59,36,0,0.19383624475364186,0
calm,59,37,0,0.19397237848135085,0
calm,59,38,0,0.19373145568258313,0
calm,59,39,0,0.17997793083367544,0
calm,60,30,12,0.0979334191284202,0
calm,60,31,13,0.0904143707625455,0
calm,60,32,17,0.09744645753327287,0
calm,60,33,15,0.09618028665563791,0
calm,60,34,17,0.1045181715732483,0
calm,60,35,0,0.18100231873203218,0
calm,60,36,0,0.18375779675789689,0
calm,60,37,0,0.17955584378028128,0
calm,60,38,0,0.17688519834476235,0
calm,60,39,0,0.1791799454802485,0
calm,61,30,12,0.08123665470650872,0
calm,61,31,16,0.08984840453322582,0
calm,61,32,12,0.09222064909892758,0
calm,61,33,16,0.08700841876138496,0
calm,61,34,10,0.08413230789190317,0
calm,61,35,0,0.18269822522045656,0
calm,61,36,0,0.32599979788213806,0
calm,61,37,0,0.17858175120074038,0
calm,61,38,0,0.17532106561050398,0
calm,61,39,0,0.1878038962296728,0
calm,62,30,16,0.08961366182806879,0
calm,62,31,13,0.08495513250995239,0
calm,62,32,11,0.08418932180518347,0
calm,62,33,16,0.0783233421234139,1
calm,62,34,15,0.09771120515137423,0
calm,62,35,0,0.26336551298966715,0
calm,62,36,0,0.1765549523527966,0
calm,62,37,0,0.32362256348987056,0
calm,62,38,0,0.1749509941815689,0
calm,62,39,0,0.1915015888735016,0
calm,63,30,9,0.10500367462518204,0
calm,63,31,17,0.10051146538807311,0
calm,63,32,13,0.09637709676951996,0
calm,63,33,13,0.09866970369047379,0
calm,63,34,17,0.09704772264468131,0
calm,63,35,0,0.19091571663173815,0
calm,63,36,0,0.17846427636139192,0
calm,63,37,0,0.17037009925988297,0
calm,63,38,0,0.19347290721629387,0
calm,63,39,0,0.17773320523129876,0
calm,64,30,15,0.09065054488404356,0
calm,64,31,13,0.08344840513859332,0
calm,64,32,15,0.08982392660488907,0
calm,64,33,14,0.07744777068883622,1
calm,64,34,15,0.0928202779558841,0
calm,64,35,0,0.1757010650366174,0
calm,64,36,0,0.25947725405315014,0
calm,64,37,0,0.17727612597229664,0
calm,64,38,0,0.18952795555832552,0
calm,64,39,0,0.18912448411672456,0
calm,65,30,16,0.08148609758277468,0
calm,65,31,17,0.0797428686643238,1
calm,65,32,12,0.0782684631112773,1
calm,65,33,12,0.08716338899097979,0
calm,65,34,16,0.08490257779879823,0
calm,65,35,0,0.19557033637188734,0
calm,65,36,0,0.188566610687501,0
calm,65,37,0,0.16794640200277677,0
calm,65,38,0,0.17139869767305727,0
