regime,t,type,p50,p25,p75
calm,1680,FT,9930153840.75,8845471758.375,10505585385.0
calm,1680,MT,147726686.25,132967594.125,169487457.75
calm,1680,ZI,544408044.75,516771545.625,597054427.875
calm,1740,BCM,9174214345.5,8704234242.0,10002521081.25
calm,1740,FT,9997788825.0,8901745402.5,10634896075.5
calm,1740,MT,201897072.0,183497315.625,227374259.625
calm,1740,ZI,581149136.25,533531347.875,617668228.125
calm,1800,BCM,9367775095.5,8857005108.75,10183910085.0
calm,1800,FT,9954670986.0,8927581583.25,10672734291.75
calm,1800,MT,231170978.25,211039290.0,258337255.5
calm,1800,ZI,555787194.75,522293866.875,599367539.25
calm,1860,BCM,9585315108.0,8989184628.0,10425719142.0
calm,1860,FT,10068595524.0,8971455844.125,10709919056.25
calm,1860,MT,167320257.75,150339921.75,195165655.875
calm,1860,ZI,576391815.0,529380442.125,616973643.0
calm,1920,BCM,9731728350.0,9143122824.0,10685315502.0
calm,1920,FT,10095962296.5,8998793983.125,10745991319.5
calm,1920,MT,135726459.75,120418863.75,154666320.75
calm,1920,ZI,573393037.5,515211773.625,614497550.625
calm,1980,BCM,9855469116.0,9291089650.5,10844462360.25
calm,1980,FT,10104680691.0,8990653528.125,10789237567.125
calm,1980,MT,114462220.5,105970291.875,126917290.125
calm,1980,ZI,566669461.5,508467850.875,609255525.375
calm,2040,BCM,10017659691.0,9430649941.5,10958018152.5
calm,2040,FT,10103454202.5,9005270238.0,10827747934.875
calm,2040,MT,108854201.25,98680704.75,124062189.75
calm,2040,ZI,563820111.0,518981505.75,605964912.75
calm,2100,BCM,10210821187.5,9488497119.75,11089901022.75
calm,2100,FT,10095342630.75,8969060577.375,10857994696.125
calm,2100,MT,116773067.25,102108211.875,132556158.0
calm,2100,ZI,542949907.5,499282140.375,598256859.375
calm,2160,BCM,10296104440.5,9605101122.0,11194160951.25
calm,2160,FT,10094376134.25,9009126699.75,10905486391.125
calm,2160,MT,141940910.25,124077413.25,160702354.125
calm,2160,ZI,540071691.75,502831496.25,579253487.625
calm,2220,BCM,10433659297.5,9705284291.25,11323720530.0
calm,2220,FT,10143098437.5,9058287965.625,10918665243.0
calm,2220,MT,168288324.75,146306772.0,187586215.875
calm,2220,ZI,552637842.75,506798285.625,593797837.5
calm,2280,BCM,10553449878.0,9761877270.0,11463092156.25
calm,2280,FT,10139284458.0,9065597285.25,10935355897.125
calm,2280,MT,244047577.5,217114537.5,277613555.625
calm,2280,ZI,555535802.25,519649728.75,598042618.875
calm,2340,BCM,10715188918.5,9956564219.25,11532057149.25
calm,2340,FT,10201892494.5,9189021303.0,10993455441.0
calm,2340,MT,331659292.5,296528758.875,363902159.25
calm,2340,ZI,581378899.5,528946357.5,633114751.5
calm,2400,BCM,10868230201.5,10101500019.0,11754663111.0
calm,2400,FT,10230537809.25,9216177117.75,10996756728.75
calm,2400,MT,314543027.25,286557697.125,346112507.25
calm,2400,ZI,568912207.5,532220704.875,614438184.375
calm,2460,BCM,10945372306.5,10160002680.75,11792452432.5
calm,2460,FT,10189829598.75,9160498676.25,10926126183.375
calm,2460,MT,401210410.5,366367188.375,442156191.75
calm,2460,ZI,579089373.75,545908174.875,613908374.625
calm,2520,BCM,11041667496.0,10276295235.75,11919414276.0
calm,2520,FT,10213168770.0,9172535647.5,10926353796.75
calm,2520,MT,451504424.25,418610251.125,497456922.375
calm,2520,ZI,588533690.25,549038833.875,630048817.125
calm,2580,BCM,11194662915.0,10376537334.75,12080564583.75
calm,2580,FT,10204855483.5,9115012623.375,10847651739.75
calm,2580,MT,422869990.5,390933320.625,467556790.5
calm,2580,ZI,603040812.75,565472044.125,657135014.625
calm,2640,BCM,11314755463.5,10513566767.25,12131635254.75
calm,2640,FT,10217345105.25,9164592720.0,10921732940.25
calm,2640,MT,380495371.5,342782303.625,418120378.875
calm,2640,ZI,623377840.5,572918800.5,663581365.875
calm,2700,BCM,11421203692.5,10620126270.0,12247807581.0
calm,2700,FT,10198757790.0,9149734839.375,10970998809.75
calm,2700,MT,361049265.0,321557900.625,398324891.25
calm,2700,ZI,655852554.0,598049880.75,703736899.875
calm,2760,BCM,11509176343.5,10734792293.25,12391880629.5
calm,2760,FT,10235332068.75,9261916482.375,11006575913.25
calm,2760,MT,349829631.0,311963195.25,387274311.0
calm,2760,ZI,632003753.25,583717492.125,682358806.125
calm,2820,BCM,11570644539.0,10774919328.75,12476011236.75
calm,2820,FT,10201729833.0,9249100006.5,10961413664.625
calm,2820,MT,331999335.0,291600030.375,368525089.125
calm,2820,ZI,627212702.25,581647995.0,672721065.0
calm,2880,BCM,11654406810.0,10881507271.5,12604231732.5
calm,2880,FT,10195362168.75,9258011559.0,11020484578.5
calm,2880,MT,353024097.75,304393596.75,390002373.0
calm,2880,ZI,645079752.0,595088352.0,689699828.25
calm,2940,BCM,11761529629.5,10995568276.5,12747184488.0
calm,2940,FT,10258558238.25,9346050508.5,11016252274.5
calm,2940,MT,422184696.75,370481538.375,469073136.375
calm,2940,ZI,635836767.75,591322811.625,696332767.5
calm,3000,BCM,11833586109.0,11039595099.75,12798191479.5
calm,3000,FT,10151294928.75,9303427575.0,11012678503.875
calm,3000,MT,556052384.25,487945494.0,601306368.75
calm,3000,ZI,643928791.5,593750364.75,702176791.5
calm,3060,BCM,11828813656.5,10965719225.25,12731101229.25
calm,3060,FT,10120178868.75,9150907340.25,10909693256.625
calm,3060,MT,720474122.25,646037650.125,771289617.375
calm,3060,ZI,664406950.5,603061831.125,709815712.5
calm,3120,BCM,11874713620.5,11062112868.0,12768668442.0
calm,3120,FT,10045961644.5,9080845338.375,10771139970.0
calm,3120,MT,866401224.75,795910924.125,918210249.0
calm,3120,ZI,672887290.5,598812996.375,719181706.5
calm,3180,BCM,11989662480.0,11050626118.5,12931321324.5
calm,3180,FT,10008550314.0,9091840524.75,10747371083.625
calm,3180,MT,851401354.5,786749331.375,906334357.5
calm,3180,ZI,667437039.0,612052929.0,720938274.75
calm,3240,BCM,12087074056.5,11109154050.0,13009559463.0
calm,3240,FT,9981345318.75,9057778456.5,10661965357.5
calm,3240,MT,872443278.0,803605596.75,931447388.25
calm,3240,ZI,673212107.25,616309710.75,725252834.25
calm,3300,BCM,12100190157.0,11115574951.5,13082525705.25
calm,3300,FT,9964748268.0,9027124015.5,10638660922.875
calm,3300,MT,904536805.5,829790250.75,973300199.625
calm,3300,ZI,677622039.75,633980343.375,726084843.75
calm,3360,BCM,12144499744.5,11199095534.25,13203308099.25
calm,3360,FT,9999737370.0,9093752759.25,10637301043.125
calm,3360,MT,841308387.75,756914153.625,907602456.375
calm,3360,ZI,690094489.5,636147397.125,740251753.875
calm,3420,BCM,12220337902.5,11329732883.25,13369725027.0
calm,3420,FT,10062576011.25,9112210759.125,10703780584.875
calm,3420,MT,761790512.25,676059770.25,823776519.375
calm,3420,ZI,690924498.75,644102431.875,740271579.75
calm,3480,BCM,12314193367.5,11469176244.0,13514605710.75
calm,3480,FT,10102224174.75,9183065434.875,10737540554.625
calm,3480,MT,709645101.75,628966815.75,781284134.25
calm,3480,ZI,694913283.0,650237365.125,749540945.25
calm,3540,BCM,12297601485.0,11533189374.0,13671081663.75
calm,3540,FT,10085766637.5,9179580223.125,10727215917.75
calm,3540,MT,672274505.25,591902042.625,737125942.5
calm,3540,ZI,732708292.5,664125192.0,780556610.25
calm,3600,BCM,12428280616.5,11630024142.75,13731071816.25
calm,3600,FT,10099309920.75,9230226969.375,10751220177.75
calm,3600,MT,623224347.75,540968051.25,681838470.0
