t,n_calls,regime
21059,0,calm
21119,0,calm
21179,0,calm
21239,0,calm
21299,0,calm
21359,0,calm
21419,0,calm
21479,0,calm
21539,5,calm
21599,0,calm
21659,0,calm
21719,0,calm
21779,0,calm
21839,0,calm
21899,0,calm
21959,0,calm
22019,0,calm
22079,0,calm
22139,0,calm
22199,0,calm
22259,0,calm
22319,0,calm
22379,0,calm
22439,0,calm
22499,0,calm
22559,5,calm
22619,0,calm
22679,0,calm
22739,0,calm
22799,0,calm
22859,5,calm
22919,5,calm
22979,0,calm
23039,0,calm
23099,0,calm
23159,5,calm
23219,0,calm
23279,5,calm
23339,5,calm
23399,0,calm
23459,0,calm
23519,0,calm
23579,0,calm
23639,0,calm
23699,0,calm
23759,5,calm
23819,0,calm
23879,0,calm
23939,0,calm
23999,0,calm
24059,0,calm
24119,5,calm
24179,5,calm
24239,0,calm
24299,0,calm
24359,0,calm
24419,0,calm
24479,0,calm
24539,0,calm
24599,0,calm
24659,0,calm
24719,0,calm
24779,0,calm
24839,0,calm
24899,0,calm
24959,5,calm
25019,5,calm
25079,0,calm
25139,0,calm
25199,0,calm
25259,0,calm
25319,0,calm
25379,0,calm
25439,5,calm
25499,0,calm
25559,0,calm
25619,0,calm
25679,0,calm
25739,0,calm
25799,5,calm
25859,5,calm
25919,5,calm
25979,0,calm
26039,0,calm
26099,5,calm
26159,5,calm
26219,5,calm
26279,5,calm
26339,5,calm
26399,0,calm
26459,0,calm
26519,5,calm
26579,0,calm
26639,0,calm
26699,0,calm
26759,0,calm
26819,0,calm
26879,0,calm
26939,0,calm
26999,0,calm
27059,0,calm
27119,0,calm
27179,0,calm
27239,0,calm
27299,0,calm
27359,0,calm
27419,0,calm
27479,0,calm
27539,0,calm
27599,0,calm
27659,0,calm
27719,0,calm
27779,0,calm
27839,0,calm
27899,0,calm
27959,0,calm
28019,0,calm
28079,0,calm
28139,0,calm
28199,5,calm
28259,0,calm
28319,0,calm
28379,0,calm
28439,0,calm
28499,0,calm
28559,0,calm
28619,0,calm
28679,0,calm
28739,0,calm
28799,0,calm
28859,0,calm
28919,0,calm
28979,0,calm
29039,0,calm
29099,0,calm
29159,0,calm
29219,0,calm
29279,0,calm
29339,0,calm
29399,0,calm
29459,0,calm
29519,0,calm
29579,0,calm
29639,5,calm
29699,0,calm
29759,5,calm
29819,0,calm
29879,0,calm
29939,0,calm
29999,0,calm
59,0,stressed
119,0,stressed
179,0,stressed
239,0,stressed
299,5,stressed
359,0,stressed
419,0,stressed
479,5,stressed
539,5,stressed
599,0,stressed
659,0,stressed
719,5,stressed
779,0,stressed
839,0,stressed
899,0,stressed
959,0,stressed
1019,0,stressed
1079,0,stressed
1139,5,stressed
1199,0,stressed
1259,5,stressed
1319,5,stressed
1379,5,stressed
1439,0,stressed
1499,5,stressed
1559,5,stressed
1619,5,stressed
1679,5,stressed
1739,0,stressed
1799,5,stressed
1859,0,stressed
1919,10,stressed
1979,4,stressed
2039,0,stressed
2099,5,stressed
2159,0,stressed
2219,0,stressed
2279,5,stressed
2339,0,stressed
2399,0,stressed
2459,8,stressed
2519,0,stressed
2579,5,stressed
2639,7,stressed
2699,5,stressed
2759,0,stressed
2819,5,stressed
2879,5,stressed
2939,7,stressed
2999,0,stressed
3059,5,stressed
3119,8,stressed
3179,5,stressed
3239,8,stressed
3299,8,stressed
3359,8,stressed
3419,5,stressed
3479,5,stressed
3539,9,stressed
3599,5,stressed
3659,5,stressed
3719,8,stressed
3779,5,stressed
3839,8,stressed
3899,5,stressed
3959,0,stressed
4019,5,stressed
4079,8,stressed
4139,0,stressed
4199,5,stressed
4259,6,stressed
4319,0,stressed
4379,5,stressed
4439,5,stressed
4499,7,stressed
4559,5,stressed
4619,0,stressed
4679,0,stressed
4739,5,stressed
4799,5,stressed
4859,0,stressed
4919,5,stressed
4979,0,stressed
5039,5,stressed
5099,0,stressed
5159,5,stressed
5219,0,stressed
5279,0,stressed
5339,10,stressed
5399,4,stressed
5459,5,stressed
5519,5,stressed
5579,5,stressed
5639,5,stressed
5699,9,stressed
5759,5,stressed
5819,5,stressed
5879,5,stressed
5939,5,stressed
5999,5,stressed
6059,5,stressed
6119,5,stressed
6179,5,stressed
6239,5,stressed
6299,5,stressed
6359,5,stressed
6419,5,stressed
6479,8,stressed
6539,9,stressed
6599,5,stressed
6659,5,stressed
6719,5,stressed
6779,0,stressed
6839,5,stressed
6899,9,stressed
6959,5,stressed
7019,5,stressed
7079,5,stressed
7139,5,stressed
7199,5,stressed
7259,5,stressed
7319,7,stressed
7379,0,stressed
7439,6,stressed
7499,9,stressed
7559,5,stressed
7619,5,stressed
7679,9,stressed
7739,10,stressed
7799,9,stressed
