t,agent_id,mtype,capital_ratio,regime
59,30,BCMc,2.816746227283478,calm
59,31,BCMc,2.0549513065581793,calm
59,32,BCMc,2.1466395271661853,calm
59,33,BCMc,2.2720126383653367,calm
59,34,BCMc,2.91920631369903,calm
59,35,BCMo,20.267980653721377,calm
59,36,BCMo,14.285756158892399,calm
59,37,BCMo,11.633997761040932,calm
59,38,BCMo,21.192629960358328,calm
59,39,BCMo,56.69590971174624,calm
59,100,NBCM,2.755715047899372,calm
59,101,NBCM,1.4372247760305192,calm
59,102,NBCM,2.6069646733586604,calm
59,103,NBCM,2.518827612633008,calm
59,104,NBCM,2.582712962638618,calm
119,30,BCMc,1.4231447232761247,calm
119,31,BCMc,1.022448441086227,calm
119,32,BCMc,1.0169465592559752,calm
119,33,BCMc,0.9726580771287328,calm
119,34,BCMc,1.606436085120538,calm
119,35,BCMo,7.987996405875979,calm
119,36,BCMo,7.97791754894701,calm
119,37,BCMo,5.840452784066852,calm
119,38,BCMo,11.612373018068855,calm
119,39,BCMo,18.990300710757733,calm
119,100,NBCM,1.4155625368063292,calm
119,101,NBCM,0.8334936398944208,calm
119,102,NBCM,1.338767040583154,calm
119,103,NBCM,1.4984160393062564,calm
119,104,NBCM,1.2386164819615602,calm
179,30,BCMc,0.935354544846481,calm
179,31,BCMc,0.6755792305666184,calm
179,32,BCMc,0.6935118189330487,calm
179,33,BCMc,0.6402387682118583,calm
179,34,BCMc,1.1236436675102677,calm
179,35,BCMo,4.907199013636665,calm
179,36,BCMo,4.975490229976214,calm
179,37,BCMo,4.008668575978626,calm
179,38,BCMo,7.65625005177345,calm
179,39,BCMo,12.590724885836229,calm
179,100,NBCM,1.090243124587249,calm
179,101,NBCM,0.6069312691460342,calm
179,102,NBCM,0.9361620456370681,calm
179,103,NBCM,1.000601887006103,calm
179,104,NBCM,0.9382490602207842,calm
239,30,BCMc,0.663671969496599,calm
239,31,BCMc,0.5043421570828349,calm
239,32,BCMc,0.5114224034410025,calm
239,33,BCMc,0.5068927143211348,calm
239,34,BCMc,0.8013381264923501,calm
239,35,BCMo,3.59158743497219,calm
239,36,BCMo,3.3582006812268648,calm
239,37,BCMo,3.2349090155984275,calm
239,38,BCMo,5.7814480088988764,calm
239,39,BCMo,9.286118256638288,calm
239,100,NBCM,0.7540771068961566,calm
239,101,NBCM,0.419712877540957,calm
239,102,NBCM,0.767403664916336,calm
239,103,NBCM,0.6946352474502869,calm
239,104,NBCM,0.6968536709228629,calm
299,30,BCMc,0.5272810636590876,calm
299,31,BCMc,0.39946872251794485,calm
299,32,BCMc,0.4238872900366009,calm
299,33,BCMc,0.40425997207607817,calm
299,34,BCMc,0.6654791598566104,calm
299,35,BCMo,2.883932188896006,calm
299,36,BCMo,2.7481196164463286,calm
299,37,BCMo,2.7664532701399707,calm
299,38,BCMo,5.0073403361878155,calm
299,39,BCMo,7.05269596390073,calm
299,100,NBCM,0.62937671485764,calm
299,101,NBCM,0.3417780779041626,calm
299,102,NBCM,0.6060788152351471,calm
299,103,NBCM,0.5262234659407482,calm
299,104,NBCM,0.5725114518185589,calm
359,30,BCMc,0.44030217425674667,calm
359,31,BCMc,0.33108473470442207,calm
359,32,BCMc,0.35586451126140517,calm
359,33,BCMc,0.3411280397321793,calm
359,34,BCMc,0.580500101224115,calm
359,35,BCMo,2.3444733446858423,calm
359,36,BCMo,2.341049683655453,calm
359,37,BCMo,2.3877053743127408,calm
359,38,BCMo,4.1183501168596806,calm
359,39,BCMo,5.66227051971845,calm
359,100,NBCM,0.5296441358295334,calm
359,101,NBCM,0.27475918075631356,calm
359,102,NBCM,0.49903192685261594,calm
359,103,NBCM,0.4243145794866371,calm
359,104,NBCM,0.46417040238360785,calm
419,30,BCMc,0.3738094238792857,calm
419,31,BCMc,0.2908615369643643,calm
419,32,BCMc,0.2948491485218335,calm
419,33,BCMc,0.28470561576246384,calm
419,34,BCMc,0.5070333728482205,calm
419,35,BCMo,2.0914257253195645,calm
419,36,BCMo,2.0409950616850514,calm
419,37,BCMo,2.098596573188415,calm
419,38,BCMo,3.5488544272922455,calm
419,39,BCMo,4.562948346912128,calm
419,100,NBCM,0.43394043108963404,calm
419,101,NBCM,0.2270609566632323,calm
419,102,NBCM,0.440754912620466,calm
419,103,NBCM,0.36362846680090993,calm
419,104,NBCM,0.396133010183616,calm
479,30,BCMc,0.33538556518100815,calm
479,31,BCMc,0.26742119385914526,calm
479,32,BCMc,0.2681481239873239,calm
479,33,BCMc,0.2472517616306291,calm
479,34,BCMc,0.4473995691335764,calm
479,35,BCMo,1.7944729623406324,calm
479,36,BCMo,1.7712481550102337,calm
479,37,BCMo,1.7988435720141451,calm
479,38,BCMo,3.3103268169001514,calm
479,39,BCMo,3.661162175791765,calm
