t,client_id,kind,cm_id,cm_kind,shortfall,closeout_loss,im_posted,assumed_pos,regime,seed
14159,41,MomentumTrader,33,BCM,0.0,0.0,700238817.7728785,-1509,stressed,97
14159,43,MomentumTrader,33,BCM,0.0,0.0,451660816.097551,-1053,stressed,97
14159,79,ZeroIntelligenceTrader,34,BCM,0.0,0.0,281805466.45402753,-657,stressed,97
14939,45,MomentumTrader,33,BCM,0.0,0.0,462802401.98750293,-1016,stressed,97
14999,94,ZeroIntelligenceTrader,33,BCM,0.0,0.0,297587385.6472887,-650,stressed,97
14999,70,ZeroIntelligenceTrader,33,BCM,0.0,0.0,192287233.80286342,-420,stressed,97
14999,53,MomentumTrader,34,BCM,0.0,0.0,447296731.9652323,-977,stressed,97
14999,42,MomentumTrader,104,NBCM,0.0,0.0,523123662.0287212,-1138,stressed,97
20399,48,MomentumTrader,34,BCM,0.0,0.0,416674085.9904347,-1172,stressed,97
7739,11,FundamentalTrader,31,BCM,0.0,0.0,195471487.13975015,526,stressed,98
8099,8,FundamentalTrader,32,BCM,0.0,0.0,263803692.3520754,690,stressed,98
8099,25,FundamentalTrader,34,BCM,0.0,0.0,346768041.97584397,907,stressed,98
12059,88,ZeroIntelligenceTrader,102,NBCM,0.0,0.0,196021967.28429565,-428,stressed,98
14159,48,MomentumTrader,102,NBCM,0.0,0.0,867638382.7652634,-1950,stressed,98
7739,22,FundamentalTrader,31,BCM,0.0,0.0,303992089.955605,865,stressed,99
8099,21,FundamentalTrader,100,NBCM,0.0,0.0,279556550.44846344,733,stressed,99
8639,5,FundamentalTrader,31,BCM,0.0,0.0,317842334.22236013,845,stressed,99
8759,2,FundamentalTrader,30,BCM,0.0,0.0,212238555.8917613,575,stressed,99
8759,13,FundamentalTrader,31,BCM,0.0,0.0,200796129.4002055,544,stressed,99
8759,1,FundamentalTrader,32,BCM,0.0,0.0,190461034.5046067,516,stressed,99
8759,23,FundamentalTrader,32,BCM,0.0,0.0,120699143.95931469,327,stressed,99
8759,8,FundamentalTrader,33,BCM,0.0,0.0,1076695421.8022048,2917,stressed,99
8759,18,FundamentalTrader,33,BCM,0.0,0.0,208547450.5719046,565,stressed,99
8819,7,FundamentalTrader,31,BCM,0.0,0.0,104355328.40708712,289,stressed,99
20459,91,ZeroIntelligenceTrader,32,BCM,0.0,0.0,91231816.19183998,-256,stressed,99
28559,66,ZeroIntelligenceTrader,32,BCM,0.0,0.0,194711770.96584946,-799,stressed,99
28739,87,ZeroIntelligenceTrader,32,BCM,0.0,0.0,71325517.59133416,-289,stressed,99
7739,3,FundamentalTrader,31,BCM,0.0,0.0,324892311.04680336,886,stressed,100
7739,2,FundamentalTrader,32,BCM,0.0,0.0,347587248.60768247,1112,stressed,100
7739,21,FundamentalTrader,34,BCM,0.0,0.0,208053801.76819754,628,stressed,100
8099,6,FundamentalTrader,100,NBCM,0.0,0.0,262287791.96828744,686,stressed,100
8759,27,FundamentalTrader,30,BCM,0.0,0.0,197874928.79004866,536,stressed,100
8759,14,FundamentalTrader,32,BCM,0.0,0.0,152097893.02518666,412,stressed,100
8759,23,FundamentalTrader,32,BCM,0.0,0.0,74203098.29626825,201,stressed,100
8759,4,FundamentalTrader,34,BCM,0.0,0.0,222240125.24553972,602,stressed,100
14159,43,MomentumTrader,33,BCM,0.0,0.0,614563917.1840247,-1345,stressed,100
14159,58,MomentumTrader,33,BCM,0.0,0.0,341475271.1798597,-796,stressed,100
14159,45,MomentumTrader,104,NBCM,0.0,0.0,578115118.2931535,-1335,stressed,100
14939,46,MomentumTrader,33,BCM,0.0,0.0,660402301.1156527,-1449,stressed,100
14999,59,MomentumTrader,33,BCM,0.0,0.0,405523744.52806586,-886,stressed,100
6899,25,FundamentalTrader,101,NBCM,0.0,0.0,312888991.583623,1016,stressed,101
6959,20,FundamentalTrader,103,NBCM,0.0,0.0,236410435.54659116,784,stressed,101
7739,13,FundamentalTrader,30,BCM,0.0,0.0,246731765.58967277,805,stressed,101
7739,21,FundamentalTrader,30,BCM,0.0,0.0,204896394.5081132,624,stressed,101
7739,8,FundamentalTrader,31,BCM,0.0,0.0,188192695.10459918,634,stressed,101
7739,5,FundamentalTrader,32,BCM,0.0,0.0,311351869.8203049,847,stressed,101
7739,3,FundamentalTrader,33,BCM,0.0,0.0,309087461.69642395,969,stressed,101
7739,1,FundamentalTrader,100,NBCM,0.0,0.0,300332529.92494327,821,stressed,101
7739,17,FundamentalTrader,104,NBCM,0.0,0.0,168024699.32972544,491,stressed,101
7799,14,FundamentalTrader,33,BCM,0.0,0.0,367922103.1710598,980,stressed,101
8159,4,FundamentalTrader,30,BCM,0.0,0.0,364110592.28481585,937,stressed,101
8159,28,FundamentalTrader,32,BCM,0.0,0.0,422399374.4008482,1087,stressed,101
8759,12,FundamentalTrader,34,BCM,0.0,0.0,274884591.2220653,745,stressed,101
8759,10,FundamentalTrader,34,BCM,0.0,0.0,175630960.29758802,476,stressed,101
6899,4,FundamentalTrader,33,BCM,0.0,0.0,479956803.39182115,1559,stressed,102
7979,15,FundamentalTrader,31,BCM,0.0,0.0,238411433.33147743,619,stressed,102
8099,9,FundamentalTrader,30,BCM,0.0,0.0,252028857.1292079,659,stressed,102
8099,3,FundamentalTrader,33,BCM,0.0,0.0,333871308.4579643,873,stressed,102
14939,40,MomentumTrader,101,NBCM,0.0,0.0,476259101.3579315,-1042,stressed,102
14999,47,MomentumTrader,101,NBCM,0.0,0.0,727420490.8270931,-1589,stressed,102
20279,70,ZeroIntelligenceTrader,30,BCM,0.0,0.0,70315652.0970278,-196,stressed,102
20339,14,FundamentalTrader,30,BCM,0.0,0.0,2007946235.0544357,-5666,stressed,102
20339,88,ZeroIntelligenceTrader,30,BCM,0.0,0.0,42526217.47379673,-120,stressed,102
20339,80,ZeroIntelligenceTrader,30,BCM,0.0,0.0,144943524.55652386,-409,stressed,102
20459,71,ZeroIntelligenceTrader,30,BCM,0.0,0.0,122618869.91298476,-344,stressed,102
7739,15,FundamentalTrader,31,BCM,0.0,0.0,248430257.15341055,796,stressed,103
7739,7,FundamentalTrader,34,BCM,0.0,0.0,156536006.7648179,437,stressed,103
8099,4,FundamentalTrader,31,BCM,0.0,0.0,268284009.07310322,698,stressed,103
8099,11,FundamentalTrader,33,BCM,0.0,0.0,320387672.74063647,838,stressed,103
8099,25,FundamentalTrader,34,BCM,0.0,0.0,302403681.61057794,782,stressed,103
8759,23,FundamentalTrader,30,BCM,0.0,0.0,210291922.94415417,570,stressed,103
8759,20,FundamentalTrader,102,NBCM,0.0,0.0,168971404.75161862,458,stressed,103
14159,47,MomentumTrader,103,NBCM,0.0,0.0,417160565.01890373,-941,stressed,103
14999,45,MomentumTrader,103,NBCM,0.0,0.0,793690948.9364763,-1734,stressed,103
15119,80,ZeroIntelligenceTrader,103,NBCM,0.0,0.0,259667535.70459294,-559,stressed,103
15959,76,ZeroIntelligenceTrader,32,BCM,0.0,0.0,439362534.93724734,-1012,stressed,103
7739,24,FundamentalTrader,32,BCM,0.0,0.0,229466424.07168588,619,stressed,104
8099,29,FundamentalTrader,34,BCM,0.0,0.0,275456202.58068776,720,stressed,104
8759,18,FundamentalTrader,33,BCM,0.0,0.0,169133842.5472568,458,stressed,104
11039,55,MomentumTrader,30,BCM,0.0,0.0,191283425.47299707,-442,stressed,104
14159,51,MomentumTrader,30,BCM,0.0,0.0,443647797.8570444,-972,stressed,104
14159,54,MomentumTrader,30,BCM,0.0,0.0,332387214.4024523,-775,stressed,104
20279,26,FundamentalTrader,30,BCM,0.0,0.0,2926247579.9927244,-8156,stressed,104
20279,50,MomentumTrader,30,BCM,0.0,0.0,382823218.2261203,-1067,stressed,104
28739,45,MomentumTrader,32,BCM,0.0,0.0,118706463.96599334,-481,stressed,104
7259,0,FundamentalTrader,31,BCM,0.0,0.0,267100654.850253,911,stressed,105
8099,3,FundamentalTrader,34,BCM,0.0,0.0,340229669.48597795,893,stressed,105
8099,15,FundamentalTrader,102,NBCM,0.0,0.0,162304411.19935793,426,stressed,105
12059,40,MomentumTrader,31,BCM,0.0,0.0,328350837.79045326,-717,stressed,105
12119,46,MomentumTrader,31,BCM,0.0,0.0,384515591.9602886,-835,stressed,105
12179,42,MomentumTrader,104,NBCM,0.0,0.0,805047944.3198274,-1740,stressed,105
14159,41,MomentumTrader,33,BCM,0.0,0.0,247097683.66783816,-576,stressed,105
14999,88,ZeroIntelligenceTrader,103,NBCM,0.0,0.0,153392898.44671717,-335,stressed,105
15119,84,ZeroIntelligenceTrader,31,BCM,0.0,0.0,150119516.60676,-324,stressed,105
15119,56,MomentumTrader,32,BCM,0.0,0.0,402549845.9983391,-863,stressed,105
15179,59,MomentumTrader,33,BCM,0.0,0.0,364166429.50796896,-780,stressed,105
16019,98,ZeroIntelligenceTrader,31,BCM,0.0,0.0,393288464.1081914,-902,stressed,105
16079,72,ZeroIntelligenceTrader,31,BCM,0.0,0.0,58532454.83916177,-134,stressed,105
19859,47,MomentumTrader,32,BCM,0.0,0.0,197731989.7370209,-539,stressed,105
20399,52,MomentumTrader,103,NBCM,0.0,0.0,500200853.3311917,-1407,stressed,105
20459,76,ZeroIntelligenceTrader,32,BCM,0.0,0.0,233435100.3915126,-655,stressed,105
28619,70,ZeroIntelligenceTrader,33,BCM,0.0,0.0,82622733.47248203,-336,stressed,105
7739,28,FundamentalTrader,32,BCM,0.0,0.0,366849726.2180247,1078,stressed,106
7739,1,FundamentalTrader,32,BCM,0.0,0.0,101746124.57733972,272,stressed,106
8099,13,FundamentalTrader,30,BCM,0.0,0.0,284783366.22310567,744,stressed,106
8759,27,FundamentalTrader,33,BCM,0.0,0.0,291950845.1266793,791,stressed,106
10679,52,MomentumTrader,30,BCM,0.0,0.0,220237702.9907858,-511,stressed,106
10739,45,MomentumTrader,30,BCM,0.0,0.0,265534425.79484007,-607,stressed,106
11939,43,MomentumTrader,30,BCM,0.0,0.0,477152876.86619645,-1044,stressed,106
14159,54,MomentumTrader,30,BCM,0.0,0.0,479416884.2414607,-1098,stressed,106
14159,47,MomentumTrader,30,BCM,0.0,0.0,588853682.1942817,-1372,stressed,106
28619,67,ZeroIntelligenceTrader,101,NBCM,0.0,0.0,170634232.35657394,-694,stressed,106
8099,3,FundamentalTrader,30,BCM,0.0,0.0,194612953.51582843,509,stressed,107
8099,13,FundamentalTrader,31,BCM,0.0,0.0,345638722.9436324,904,stressed,107
8099,1,FundamentalTrader,32,BCM,0.0,0.0,210681854.7981164,546,stressed,107
8699,29,FundamentalTrader,30,BCM,0.0,0.0,311798639.3921193,837,stressed,107
12059,51,MomentumTrader,102,NBCM,0.0,0.0,497334741.757925,-1086,stressed,107
20339,55,MomentumTrader,102,NBCM,0.0,0.0,435576226.4972726,-1230,stressed,107
5999,24,FundamentalTrader,31,BCM,0.0,0.0,592594283.8423691,1795,stressed,108
7439,4,FundamentalTrader,102,NBCM,0.0,0.0,198977024.45336428,670,stressed,108
8099,5,FundamentalTrader,32,BCM,0.0,0.0,224255459.2956296,588,stressed,108
8099,18,FundamentalTrader,34,BCM,0.0,0.0,342485378.31203294,898,stressed,108
12179,42,MomentumTrader,104,NBCM,0.0,0.0,727045215.0724274,-1573,stressed,108
14159,44,MomentumTrader,30,BCM,0.0,0.0,717990635.1193686,-1674,stressed,108
14939,73,ZeroIntelligenceTrader,30,BCM,0.0,0.0,153571466.5035918,-337,stressed,108
19859,51,MomentumTrader,30,BCM,0.0,0.0,461883851.45316344,-1259,stressed,108
6899,25,FundamentalTrader,31,BCM,0.0,0.0,407357876.0583471,1323,stressed,109
7019,11,FundamentalTrader,32,BCM,0.0,0.0,357698822.9146222,1198,stressed,109
7739,22,FundamentalTrader,34,BCM,0.0,0.0,319766854.1155906,1022,stressed,109
7739,13,FundamentalTrader,101,NBCM,0.0,0.0,281393014.9212104,758,stressed,109
8099,0,FundamentalTrader,33,BCM,0.0,0.0,220961628.39189228,577,stressed,109
8519,9,FundamentalTrader,31,BCM,0.0,0.0,225278811.91275713,532,stressed,109
8759,7,FundamentalTrader,33,BCM,0.0,0.0,760868092.5738934,2064,stressed,109
8819,15,FundamentalTrader,30,BCM,0.0,0.0,167980660.30228838,465,stressed,109
7739,14,FundamentalTrader,33,BCM,0.0,0.0,166409005.0476912,479,stressed,110
7979,28,FundamentalTrader,32,BCM,0.0,0.0,301894297.3400042,782,stressed,110
7979,19,FundamentalTrader,34,BCM,0.0,0.0,313475920.00010663,812,stressed,110
8099,29,FundamentalTrader,31,BCM,0.0,0.0,352120580.66124845,921,stressed,110
8099,20,FundamentalTrader,34,BCM,0.0,0.0,355561498.3875798,930,stressed,110
8099,11,FundamentalTrader,34,BCM,0.0,0.0,204543442.62081206,535,stressed,110
8699,13,FundamentalTrader,30,BCM,0.0,0.0,242320305.65384197,647,stressed,110
16079,50,MomentumTrader,104,NBCM,0.0,0.0,595191572.7044123,-1361,stressed,110
6899,2,FundamentalTrader,32,BCM,0.0,0.0,363428288.1729592,1171,stressed,111
8099,11,FundamentalTrader,30,BCM,0.0,0.0,345291647.25351495,903,stressed,111
8099,12,FundamentalTrader,34,BCM,0.0,0.0,345291647.25351495,903,stressed,111
8699,16,FundamentalTrader,31,BCM,0.0,0.0,261974865.14710537,699,stressed,111
8759,21,FundamentalTrader,32,BCM,0.0,0.0,135116089.43499592,366,stressed,111
10739,87,ZeroIntelligenceTrader,31,BCM,0.0,0.0,202155543.84513712,-468,stressed,111
11039,43,MomentumTrader,31,BCM,0.0,0.0,388211870.57393795,-897,stressed,111
12059,55,MomentumTrader,31,BCM,0.0,0.0,222095474.57661965,-485,stressed,111
7019,27,FundamentalTrader,33,BCM,0.0,0.0,296625724.0478891,996,stressed,112
7739,4,FundamentalTrader,33,BCM,0.0,0.0,149692834.95040208,435,stressed,112
8099,1,FundamentalTrader,30,BCM,0.0,0.0,300109160.8936691,785,stressed,112
8519,7,FundamentalTrader,34,BCM,0.0,0.0,914756887.0985705,2288,stressed,112
8759,2,FundamentalTrader,34,BCM,0.0,0.0,63828852.02998373,173,stressed,112
8759,25,FundamentalTrader,104,NBCM,0.0,0.0,193700273.50139567,525,stressed,112
7739,2,FundamentalTrader,34,BCM,0.0,0.0,196797650.2687986,625,stressed,113
8099,12,FundamentalTrader,33,BCM,0.0,0.0,127663667.87891136,334,stressed,113
8699,18,FundamentalTrader,32,BCM,0.0,0.0,323323920.1935561,858,stressed,113
15119,45,MomentumTrader,101,NBCM,0.0,0.0,767543581.4420964,-1653,stressed,113
8099,24,FundamentalTrader,32,BCM,0.0,0.0,175878111.23237935,460,stressed,114
8699,26,FundamentalTrader,33,BCM,0.0,0.0,130374852.53382768,350,stressed,114
8099,11,FundamentalTrader,30,BCM,0.0,0.0,357727494.40654546,936,stressed,115
8099,9,FundamentalTrader,33,BCM,0.0,0.0,339764682.18741333,889,stressed,115
8099,29,FundamentalTrader,34,BCM,0.0,0.0,374161556.6495812,979,stressed,115
8099,18,FundamentalTrader,102,NBCM,0.0,0.0,142173747.77696037,372,stressed,115
8699,27,FundamentalTrader,34,BCM,0.0,0.0,75565495.06259598,201,stressed,115
8699,1,FundamentalTrader,100,NBCM,0.0,0.0,203011777.7801086,540,stressed,115
8759,16,FundamentalTrader,33,BCM,0.0,0.0,81195647.38254398,220,stressed,115
15179,54,MomentumTrader,31,BCM,0.0,0.0,388064033.5329679,-831,stressed,115
15959,40,MomentumTrader,31,BCM,0.0,0.0,283219782.8347047,-650,stressed,115
16019,67,ZeroIntelligenceTrader,31,BCM,0.0,0.0,309600359.02723783,-710,stressed,115
20399,46,MomentumTrader,32,BCM,0.0,0.0,262387891.5213182,-738,stressed,115
28619,49,MomentumTrader,32,BCM,0.0,0.0,226446870.3175859,-921,stressed,115
7739,2,FundamentalTrader,31,BCM,0.0,0.0,219343205.0442929,707,stressed,116
8099,10,FundamentalTrader,30,BCM,0.0,0.0,313968324.9697974,821,stressed,116
8099,28,FundamentalTrader,30,BCM,0.0,0.0,254692940.8402985,666,stressed,116
8099,15,FundamentalTrader,32,BCM,0.0,0.0,378980036.5956994,991,stressed,116
8099,26,FundamentalTrader,34,BCM,0.0,0.0,165971075.5625969,434,stressed,116
8099,25,FundamentalTrader,34,BCM,0.0,0.0,137671859.91367486,360,stressed,116
8159,29,FundamentalTrader,100,NBCM,0.0,0.0,223113834.7700986,575,stressed,116
17219,51,MomentumTrader,101,NBCM,0.0,0.0,692447912.3947017,-1585,stressed,116
7739,19,FundamentalTrader,31,BCM,0.0,0.0,153898737.50900388,428,stressed,117
7739,1,FundamentalTrader,101,NBCM,0.0,0.0,242492050.6346687,712,stressed,117
7739,9,FundamentalTrader,103,NBCM,0.0,0.0,199632232.6502331,610,stressed,117
8759,5,FundamentalTrader,32,BCM,0.0,0.0,271339687.79978687,735,stressed,117
20399,43,MomentumTrader,32,BCM,0.0,0.0,170680656.5493589,-480,stressed,117
28559,49,MomentumTrader,32,BCM,0.0,0.0,231375389.8943285,-950,stressed,117
7739,18,FundamentalTrader,30,BCM,0.0,0.0,359417583.6581195,1155,stressed,118
7739,19,FundamentalTrader,31,BCM,0.0,0.0,287534066.9264956,914,stressed,118
7739,8,FundamentalTrader,31,BCM,0.0,0.0,214971568.3329907,621,stressed,118
7739,10,FundamentalTrader,34,BCM,0.0,0.0,369064289.36669236,1173,stressed,118
8099,28,FundamentalTrader,33,BCM,0.0,0.0,307731898.3709231,807,stressed,118
8099,21,FundamentalTrader,34,BCM,0.0,0.0,349678005.9555595,917,stressed,118
8699,17,FundamentalTrader,32,BCM,0.0,0.0,285389197.56306386,759,stressed,118
8699,16,FundamentalTrader,32,BCM,0.0,0.0,166571033.62376454,443,stressed,118
14159,23,FundamentalTrader,100,NBCM,0.0,0.0,2258223042.5115337,-5139,stressed,118
14159,45,MomentumTrader,104,NBCM,0.0,0.0,668666308.3339877,-1559,stressed,118
14939,58,MomentumTrader,101,NBCM,0.0,0.0,569728736.0350516,-1246,stressed,118
7739,23,FundamentalTrader,34,BCM,0.0,0.0,310077630.1321684,899,stressed,119
7979,0,FundamentalTrader,34,BCM,0.0,0.0,390380417.5138348,1013,stressed,119
8699,12,FundamentalTrader,33,BCM,0.0,0.0,329577144.8053127,874,stressed,119
8759,24,FundamentalTrader,32,BCM,0.0,0.0,178649497.48106518,484,stressed,119
16079,40,MomentumTrader,30,BCM,0.0,0.0,228024560.45513713,-522,stressed,119
28559,14,FundamentalTrader,30,BCM,0.0,0.0,2290706452.2758136,-9412,stressed,119
28739,70,ZeroIntelligenceTrader,30,BCM,0.0,0.0,128326053.34672186,-520,stressed,119
6899,22,FundamentalTrader,32,BCM,0.0,0.0,406528109.204078,1314,stressed,120
7019,27,FundamentalTrader,34,BCM,0.0,0.0,324743275.24896806,1088,stressed,120
8099,0,FundamentalTrader,33,BCM,0.0,0.0,307613771.95166236,805,stressed,120
8759,8,FundamentalTrader,30,BCM,0.0,0.0,183078823.86489326,496,stressed,120
8759,3,FundamentalTrader,31,BCM,0.0,0.0,178649497.48106518,484,stressed,120
8759,7,FundamentalTrader,103,NBCM,0.0,0.0,189722813.44063532,514,stressed,120
14159,73,ZeroIntelligenceTrader,100,NBCM,0.0,0.0,347381676.3383349,-810,stressed,120
6839,23,FundamentalTrader,31,BCM,0.0,0.0,457874112.8925855,1469,stressed,121
7019,20,FundamentalTrader,34,BCM,0.0,0.0,338406673.37170964,1134,stressed,121
7739,21,FundamentalTrader,30,BCM,0.0,0.0,283882745.7946931,933,stressed,121
7739,27,FundamentalTrader,30,BCM,0.0,0.0,144268186.24996445,437,stressed,121
7739,5,FundamentalTrader,32,BCM,0.0,0.0,305003325.7002031,851,stressed,121
14159,59,MomentumTrader,33,BCM,0.0,0.0,489222992.3337439,-1127,stressed,121
14159,47,MomentumTrader,33,BCM,0.0,0.0,434545164.4172806,-1013,stressed,121
14939,50,MomentumTrader,32,BCM,0.0,0.0,586353996.8001418,-1287,stressed,121
14999,48,MomentumTrader,33,BCM,0.0,0.0,676971691.7399358,-1479,stressed,121
14999,79,ZeroIntelligenceTrader,33,BCM,0.0,0.0,112142031.42412728,-245,stressed,121
7979,10,FundamentalTrader,32,BCM,0.0,0.0,253137163.75819173,657,stressed,122
8099,26,FundamentalTrader,32,BCM,0.0,0.0,115161873.80608521,301,stressed,122
8159,27,FundamentalTrader,33,BCM,0.0,0.0,329199174.86971885,848,stressed,122
14999,45,MomentumTrader,34,BCM,0.0,0.0,546520757.226155,-1194,stressed,122
14999,83,ZeroIntelligenceTrader,34,BCM,0.0,0.0,125873708.74136735,-275,stressed,122
16139,74,ZeroIntelligenceTrader,34,BCM,0.0,0.0,120858584.13248211,-276,stressed,122
20399,55,MomentumTrader,34,BCM,0.0,0.0,314296607.18813723,-884,stressed,122
7739,18,FundamentalTrader,33,BCM,0.0,0.0,304703802.70081556,978,stressed,123
7739,11,FundamentalTrader,33,BCM,0.0,0.0,225550421.24448416,624,stressed,123
8099,13,FundamentalTrader,34,BCM,0.0,0.0,198114740.81545058,518,stressed,123
14159,50,MomentumTrader,101,NBCM,0.0,0.0,753625882.1304816,-1757,stressed,123
14159,93,ZeroIntelligenceTrader,101,NBCM,0.0,0.0,117097248.6178836,-273,stressed,123
20579,87,ZeroIntelligenceTrader,30,BCM,0.0,0.0,129554426.66824825,-364,stressed,123
7259,17,FundamentalTrader,33,BCM,0.0,0.0,326716112.9020455,1115,stressed,124
7739,28,FundamentalTrader,30,BCM,0.0,0.0,223307940.5205532,742,stressed,124
7739,15,FundamentalTrader,31,BCM,0.0,0.0,101892745.51175687,277,stressed,124
8759,4,FundamentalTrader,32,BCM,0.0,0.0,155337466.98589197,421,stressed,124
8759,8,FundamentalTrader,100,NBCM,0.0,0.0,215848974.31531304,585,stressed,124
8759,20,FundamentalTrader,101,NBCM,0.0,0.0,204410823.5396298,554,stressed,124
14159,67,ZeroIntelligenceTrader,104,NBCM,0.0,0.0,434273398.7066652,-968,stressed,124
7739,24,FundamentalTrader,30,BCM,0.0,0.0,320462827.3965937,912,stressed,125
7739,26,FundamentalTrader,34,BCM,0.0,0.0,346950691.74880546,1108,stressed,125
7739,17,FundamentalTrader,34,BCM,0.0,0.0,320596081.56234574,1029,stressed,125
8099,28,FundamentalTrader,30,BCM,0.0,0.0,312549499.54553086,818,stressed,125
8759,14,FundamentalTrader,32,BCM,0.0,0.0,276478546.57334447,749,stressed,125
8099,1,FundamentalTrader,34,BCM,0.0,0.0,360095707.2734678,933,stressed,126
8699,16,FundamentalTrader,30,BCM,0.0,0.0,229917064.7240639,610,stressed,126
8759,2,FundamentalTrader,32,BCM,0.0,0.0,78230546.7955941,212,stressed,126
9839,17,FundamentalTrader,34,BCM,0.0,0.0,744621692.6552271,2109,stressed,126
6899,19,FundamentalTrader,30,BCM,0.0,0.0,489043030.1523557,1588,stressed,127
7739,8,FundamentalTrader,30,BCM,0.0,0.0,217238981.3765798,642,stressed,127
7739,21,FundamentalTrader,31,BCM,0.0,0.0,216903431.4736131,652,stressed,127
7739,29,FundamentalTrader,33,BCM,0.0,0.0,114856480.3740407,350,stressed,127
7739,28,FundamentalTrader,102,NBCM,0.0,0.0,235121665.78457037,793,stressed,127
8639,12,FundamentalTrader,33,BCM,0.0,0.0,326595847.72782254,869,stressed,127
8759,13,FundamentalTrader,31,BCM,0.0,0.0,233265403.43876275,632,stressed,127
8759,6,FundamentalTrader,34,BCM,0.0,0.0,287521755.1879686,779,stressed,127
8759,2,FundamentalTrader,104,NBCM,0.0,0.0,129550880.70728752,351,stressed,127
6899,5,FundamentalTrader,30,BCM,0.0,0.0,489523157.0285585,1590,stressed,128
6899,13,FundamentalTrader,32,BCM,0.0,0.0,332506295.340153,1080,stressed,128
6899,10,FundamentalTrader,34,BCM,0.0,0.0,528007681.95218736,1715,stressed,128
6959,3,FundamentalTrader,33,BCM,0.0,0.0,389293204.45235866,1291,stressed,128
7739,8,FundamentalTrader,30,BCM,0.0,0.0,384457276.8746078,1232,stressed,128
7739,4,FundamentalTrader,100,NBCM,0.0,0.0,211919029.43106812,599,stressed,128
8099,29,FundamentalTrader,103,NBCM,0.0,0.0,265756029.72446606,695,stressed,128
8759,17,FundamentalTrader,34,BCM,0.0,0.0,260369461.9113932,706,stressed,128
10739,64,ZeroIntelligenceTrader,104,NBCM,0.0,0.0,161429935.00571072,-374,stressed,128
14159,40,MomentumTrader,104,NBCM,0.0,0.0,839800276.9197872,-1958,stressed,128
14159,91,ZeroIntelligenceTrader,104,NBCM,0.0,0.0,365857832.5906938,-853,stressed,128
7739,4,FundamentalTrader,30,BCM,0.0,0.0,355905144.40241283,965,stressed,129
7739,11,FundamentalTrader,32,BCM,0.0,0.0,357193104.80619127,1157,stressed,129
7739,7,FundamentalTrader,33,BCM,0.0,0.0,348702477.65600485,1013,stressed,129
7739,19,FundamentalTrader,34,BCM,0.0,0.0,375345998.3723755,1016,stressed,129
7739,18,FundamentalTrader,34,BCM,0.0,0.0,331820477.9278849,897,stressed,129
8099,22,FundamentalTrader,31,BCM,0.0,0.0,238333964.74076703,623,stressed,129
8099,5,FundamentalTrader,32,BCM,0.0,0.0,123183846.94466612,322,stressed,129
8759,12,FundamentalTrader,30,BCM,0.0,0.0,622349656.4186378,1685,stressed,129
14999,68,ZeroIntelligenceTrader,101,NBCM,0.0,0.0,266864408.74301112,-583,stressed,129
8099,2,FundamentalTrader,31,BCM,0.0,0.0,290744483.47188276,760,stressed,130
8699,22,FundamentalTrader,30,BCM,0.0,0.0,269686463.53908515,716,stressed,130
8699,18,FundamentalTrader,32,BCM,0.0,0.0,286259374.7062915,760,stressed,130
6959,20,FundamentalTrader,34,BCM,0.0,0.0,368558395.1827871,1222,stressed,131
7019,14,FundamentalTrader,32,BCM,0.0,0.0,342766448.8477751,1154,stressed,131
7739,3,FundamentalTrader,33,BCM,0.0,0.0,347330494.1623192,975,stressed,131
7739,13,FundamentalTrader,33,BCM,0.0,0.0,329547727.5241935,896,stressed,131
7739,7,FundamentalTrader,33,BCM,0.0,0.0,243387426.2202664,821,stressed,131
7739,19,FundamentalTrader,34,BCM,0.0,0.0,128352609.07370412,407,stressed,131
7739,0,FundamentalTrader,103,NBCM,0.0,0.0,243949425.6163339,820,stressed,131
7979,27,FundamentalTrader,33,BCM,0.0,0.0,216048123.9531104,560,stressed,131
8519,29,FundamentalTrader,102,NBCM,0.0,0.0,232570577.740651,575,stressed,131
8759,25,FundamentalTrader,31,BCM,0.0,0.0,140962589.0373441,382,stressed,131
12179,42,MomentumTrader,30,BCM,0.0,0.0,285614041.0820201,-618,stressed,131
14159,93,ZeroIntelligenceTrader,30,BCM,0.0,0.0,258202128.04173228,-602,stressed,131
14159,45,MomentumTrader,30,BCM,0.0,0.0,378725048.2738366,-883,stressed,131
14999,95,ZeroIntelligenceTrader,30,BCM,0.0,0.0,525851426.51548606,-1149,stressed,131
16079,85,ZeroIntelligenceTrader,30,BCM,0.0,0.0,298248544.605571,-683,stressed,131
7739,29,FundamentalTrader,104,NBCM,0.0,0.0,178788093.17334625,572,stressed,132
8759,10,FundamentalTrader,34,BCM,0.0,0.0,236306402.9083907,640,stressed,132
14159,55,MomentumTrader,32,BCM,0.0,0.0,560635182.1119126,-1307,stressed,132
14159,61,ZeroIntelligenceTrader,32,BCM,0.0,0.0,125731367.1369238,-276,stressed,132
14159,83,ZeroIntelligenceTrader,32,BCM,0.0,0.0,281552183.9754889,-628,stressed,132
14339,50,MomentumTrader,32,BCM,0.0,0.0,787061607.6991401,-1685,stressed,132
14879,68,ZeroIntelligenceTrader,32,BCM,0.0,0.0,151264287.91583467,-333,stressed,132
5699,10,FundamentalTrader,33,BCM,0.0,0.0,621162720.4156702,1943,stressed,133
7079,6,FundamentalTrader,34,BCM,0.0,0.0,128242458.8841199,436,stressed,133
