regime,t,mtype,p50,p25,p75
calm,59,BCMc,2.34956202846832,2.0761662669312955,2.728357041106524
calm,59,BCMo,16.006067759494705,11.46787157343469,27.097304275503816
calm,59,NBCM,2.648824599164742,1.8917820277054653,3.8176229741274756
calm,119,BCMc,1.196735034883226,1.0439955214151642,1.394878165094172
calm,119,BCMo,7.75821476852409,5.5659353653357355,13.106680246083044
calm,119,NBCM,1.344168594796053,0.9954523561886806,2.083190423555201
calm,179,BCMc,0.8190952754102874,0.7102663505208973,0.9477851377707069
calm,179,BCMo,5.1673162697854345,3.782121378034697,8.53519113457569
calm,179,NBCM,0.9251233742216802,0.699326714594557,1.4518287683411621
calm,239,BCMc,0.6123087467305004,0.5312382751477485,0.6943481827288742
calm,239,BCMo,3.8414941138466494,2.783730189175486,6.084502594221257
calm,239,NBCM,0.6931104220086786,0.5116390281082274,1.0936269550243891
calm,299,BCMc,0.4915007636674988,0.4281079137216569,0.5566470694493745
calm,299,BCMo,3.1777622740984954,2.2607824916804358,4.891688787308754
calm,299,NBCM,0.5513654164198976,0.41254486854434924,0.8362614958958107
calm,359,BCMc,0.410504069552035,0.3595360304442495,0.4666170886657286
calm,359,BCMo,2.6799603278863433,1.885208689154711,4.079596435562651
calm,359,NBCM,0.4648708811996677,0.3543369150892197,0.7024084863637674
calm,419,BCMc,0.35040071937164774,0.30584924854498596,0.40149758008009895
calm,419,BCMo,2.3089715331197276,1.6224860761944409,3.6387045991604148
calm,419,NBCM,0.4007954937142083,0.2961972081577336,0.610184477229291
calm,479,BCMc,0.31095617482116633,0.2716582847804574,0.3597080242009215
calm,479,BCMo,1.9948982243681694,1.4029030873689332,3.155977828301955
calm,479,NBCM,0.36309431631493605,0.26029010770148886,0.547665544487187
calm,539,BCMc,0.27829107208346604,0.24463774702613558,0.3219859909569503
calm,539,BCMo,1.7535443530401293,1.2448454999260914,2.7655171162187955
calm,539,NBCM,0.32293125314519344,0.2339845606941894,0.4927542362452087
calm,599,BCMc,0.24966270499462223,0.21889054413601458,0.2882299624202314
calm,599,BCMo,1.552453023871215,1.10557517129247,2.4080850780538112
calm,599,NBCM,0.2914839772421502,0.21180113768712477,0.44085969475074294
calm,659,BCMc,0.22931666367171993,0.20234185368594101,0.2667596277237025
calm,659,BCMo,1.4003482288030393,1.0034177177612684,2.2080454499292315
calm,659,NBCM,0.2717069293556651,0.19524801383591522,0.40665263164511395
calm,719,BCMc,0.21475304040257076,0.19060940766341106,0.25098394415458336
calm,719,BCMo,1.2829291873744542,0.9133960603006793,2.0424749068365537
calm,719,NBCM,0.2551272497248198,0.18766234830027312,0.3818472125709256
calm,779,BCMc,0.20032688647709218,0.17826233713862832,0.23497710119378173
