regime,t,p50,p25,p75,im_frac
calm,5459,18814055220.0,17833449577.5,19509074244.0,0.04
calm,5519,18895030812.0,17845761402.0,19538981129.25,0.04
calm,5579,18876494700.0,17892609192.0,19523438977.5,0.04
calm,5639,18822275005.5,17807918751.0,19487664209.25,0.04
calm,5699,18789000273.0,17857043628.75,19486458083.25,0.04
calm,5759,18705464217.0,17811622534.5,19421672256.0,0.04
calm,5819,18729721359.0,17837844448.5,19472432899.5,0.04
calm,5879,18799116484.5,17952548292.0,19552831069.5,0.04
calm,5939,18920338479.0,18070345136.25,19653307317.0,0.04
calm,5999,18926668350.0,17986187146.5,19625835141.0,0.04
calm,6059,18925907026.5,18132731163.0,19673772871.5,0.04
calm,6119,18952671357.0,18116914484.25,19783761765.75,0.04
calm,6179,19135022472.0,18232460322.75,19865192577.75,0.04
calm,6239,19242445171.5,18360564772.5,20088698415.75,0.04
calm,6299,19234136448.0,18300912363.0,20039341734.0,0.04
calm,6359,19325629363.5,18395737335.0,20096473095.0,0.04
calm,6419,19369176525.0,18514669612.5,20147768471.25,0.04
calm,6479,19452346321.5,18594695922.75,20287953495.0,0.04
calm,6539,19346571769.5,18529892892.0,20190297802.5,0.04
calm,6599,19370522655.0,18455861340.0,20223877578.75,0.04
calm,6659,19193829088.5,18312194803.5,19989723174.75,0.04
calm,6719,19318262913.0,18414747643.5,20111710727.25,0.04
calm,6779,19293351925.5,18418660537.5,20084161857.75,0.04
calm,6839,19429789014.0,18525052507.5,20193723549.0,0.04
calm,6899,19246557681.0,18424559553.75,19939927061.25,0.04
calm,6959,19248866496.0,18550039927.5,20067573798.0,0.04
calm,7019,19244384982.0,18530416752.75,20080237909.5,0.04
calm,7079,19346778193.5,18674184609.0,20237642109.0,0.04
calm,7139,19375714485.0,18604025379.0,20255542877.25,0.04
calm,7199,19390506916.5,18520901849.25,20177234185.5,0.04
calm,7259,19265796621.0,18451643636.25,20050736256.0,0.04
calm,7319,19371230554.5,18565248897.0,20200467676.5,0.04
calm,7379,19550226537.0,18767932717.5,20275846427.25,0.04
calm,7439,19557131197.5,18895358106.0,20350650960.0,0.04
calm,7499,19543556340.0,18867949899.75,20389127712.75,0.04
calm,7559,19723882527.0,18967140474.75,20471349654.0,0.04
calm,7619,19687734720.0,18978006453.75,20575254390.75,0.04
calm,7679,19677197988.0,18950882634.0,20548030497.75,0.04
calm,7739,19729263361.5,19046062705.5,20682817236.0,0.04
calm,7799,20066665806.0,19275199141.5,20979596076.75,0.04
calm,7859,19723154427.0,18976371723.0,20686737093.75,0.04
calm,7919,19800921640.5,19084093305.75,20819081130.75,0.04
calm,7979,19813291380.0,19097135898.75,20738307476.25,0.04
calm,8039,19949541169.5,19223304336.0,20854457282.25,0.04
calm,8099,20050156413.0,19315355267.25,20937454526.25,0.04
calm,8159,20536458831.0,19695932811.0,21398055801.75,0.04
calm,8219,20463848172.0,19600872176.25,21131520822.0,0.04
calm,8279,20143306606.5,19313457345.0,20887100304.75,0.04
calm,8339,20247727549.5,19378156324.5,20990071903.5,0.04
