exp,regime,seed,direct,margin,netting,decouple,drawdown,client_defaults,cm_defaults,nbcm_defaults,deepest_waterfall,mutualised_l3,survivor_l4,total_df,ccp_cash_used,client_loss_absorbed,im_mean,im_peak,closeout_recovery
,stressed,47,False,flat12,gross,False,-35.67396037046603,3,2,1,3,True,False,13417677108.000002,739151437.8599999,0.0,41207382448.23237,49363436112.0,0.8
,stressed,48,False,flat12,gross,False,-35.64444116453267,4,1,1,3,True,False,10959701940.0,312528860.81999993,0.0,37350244311.435684,49490084976.0,0.8
,stressed,49,False,flat12,gross,False,-35.65920076749936,3,1,1,3,True,False,10917249552.0,347120888.4000001,0.0,42830592794.091286,50263276416.0,0.8
,stressed,50,False,flat12,gross,False,-35.65551086675769,7,0,0,0,False,False,13240313372.000002,0.0,0.0,40748996168.46473,50298321648.0,0.8
,stressed,51,False,flat12,gross,False,-35.83631600309952,4,0,0,0,False,False,10735715650.0,0.0,0.0,43140330400.82987,50560347600.0,0.8
,stressed,42,False,flat08,gross,False,-35.62230176008265,5,1,0,2,False,False,14718342100.000002,8346491.55466938,0.0,31487820739.12033,37194752448.0,0.9
,stressed,43,False,flat08,gross,False,-35.600162355632634,10,0,0,0,False,False,12687370850.000002,0.0,0.0,29710277922.522823,35698541760.0,0.9
,stressed,44,False,flat08,gross,False,-35.62599166082432,7,0,0,0,False,False,13378950684.000002,0.0,0.0,28955213306.290455,35086449408.0,0.9
,stressed,45,False,flat08,gross,False,-35.633371462307665,13,2,2,2,False,False,13718594032.000002,180172138.56301618,0.0,29047060140.08299,34992971520.0,0.9
,stressed,46,False,flat08,gross,False,-35.64444116453267,7,0,0,0,False,False,16047898680.000002,0.0,0.0,29997685533.742737,34523538272.0,0.9
,stressed,47,False,flat08,gross,False,-35.666580568982695,8,0,0,0,False,False,13804095030.000002,0.0,0.0,28884094297.825726,36532379904.0,0.9
,stressed,48,False,flat08,gross,False,-35.61123205785764,5,0,0,0,False,False,13137135044.000002,0.0,0.0,27493223263.73444,35938932960.0,0.9
,stressed,49,False,flat08,gross,False,-35.64813106527435,12,1,1,1,False,False,13815862346.000002,0.0,0.0,30981147895.701244,38393357568.0,0.9
,stressed,50,False,flat08,gross,False,-35.629681561565995,6,0,0,0,False,False,14088399732.000002,0.0,0.0,29216976319.66805,36182608000.0,0.9
,stressed,51,False,flat08,gross,False,-35.64813106527435,7,0,0,0,False,False,15451152288.000002,0.0,0.0,32307799004.61411,39419394240.0,0.9
,stressed,42,False,flat12,gross,False,-35.60754215711598,4,0,0,0,False,False,10605470590.0,0.0,0.0,43462004238.57262,50050238736.0,0.9
,stressed,43,False,flat12,gross,False,-35.589092653407626,10,1,1,1,False,False,10915637436.0,0.0,0.0,40789950457.3444,48880271424.0,0.9
,stressed,44,False,flat12,gross,False,-35.670270469724365,4,1,1,2,False,False,11517296340.0,80689087.52444744,0.0,40242399890.29046,47491240128.0,0.9
,stressed,45,False,flat12,gross,False,-35.69240987417438,3,1,1,2,False,False,11091274766.0,109037818.56301594,0.0,40605254115.48547,47696880816.0,0.9
,stressed,46,False,flat12,gross,False,-35.68871997343271,7,1,1,1,False,False,13043082822.000002,0.0,0.0,40362637638.57262,47702226240.0,0.9
,stressed,47,False,flat12,gross,False,-35.64813106527435,2,1,0,0,False,False,12854486700.000002,0.0,0.0,40360470145.89211,49363436112.0,0.9
,stressed,48,False,flat12,gross,False,-35.64444116453267,4,1,1,1,False,False,11264163042.0,0.0,0.0,37161975514.95435,49490084976.0,0.9
,stressed,49,False,flat12,gross,False,-35.65920076749936,3,1,1,2,False,False,11039232996.0,45097563.80339193,0.0,43001699684.41494,50263276416.0,0.9
,stressed,50,False,flat12,gross,False,-35.65551086675769,7,0,0,0,False,False,13240313372.000002,0.0,0.0,40748996168.46473,50298321648.0,0.9
,stressed,51,False,flat12,gross,False,-35.83631600309952,4,0,0,0,False,False,10735715650.0,0.0,0.0,43140330400.82987,50560347600.0,0.9
,stressed,42,False,flat08,gross,False,-35.62230176008265,5,1,0,0,False,False,14718342100.000002,0.0,0.0,31487820739.12033,37194752448.0,0.95
,stressed,43,False,flat08,gross,False,-35.600162355632634,10,0,0,0,False,False,12687370850.000002,0.0,0.0,29710277922.522823,35698541760.0,0.95
,stressed,44,False,flat08,gross,False,-35.62599166082432,7,0,0,0,False,False,13378950684.000002,0.0,0.0,28955213306.290455,35086449408.0,0.95
,stressed,45,False,flat08,gross,False,-35.633371462307665,13,2,2,0,False,False,13718594032.000002,0.0,0.0,29047060140.08299,34992971520.0,0.95
,stressed,46,False,flat08,gross,False,-35.64444116453267,7,0,0,0,False,False,16047898680.000002,0.0,0.0,29997685533.742737,34523538272.0,0.95
,stressed,47,False,flat08,gross,False,-35.666580568982695,8,0,0,0,False,False,13804095030.000002,0.0,0.0,28884094297.825726,36532379904.0,0.95
,stressed,48,False,flat08,gross,False,-35.61123205785764,5,0,0,0,False,False,13137135044.000002,0.0,0.0,27493223263.73444,35938932960.0,0.95
,stressed,49,False,flat08,gross,False,-35.64813106527435,12,1,1,0,False,False,13815862346.000002,0.0,0.0,30981147895.701244,38393357568.0,0.95
,stressed,50,False,flat08,gross,False,-35.629681561565995,6,0,0,0,False,False,14088399732.000002,0.0,0.0,29216976319.66805,36182608000.0,0.95
,stressed,51,False,flat08,gross,False,-35.64813106527435,7,0,0,0,False,False,15451152288.000002,0.0,0.0,32307799004.61411,39419394240.0,0.95
,stressed,42,False,flat12,gross,False,-35.60754215711598,4,0,0,0,False,False,10605470590.0,0.0,0.0,43462004238.57262,50050238736.0,0.95
,stressed,43,False,flat12,gross,False,-35.589092653407626,10,1,1,0,False,False,10915637436.0,0.0,0.0,40789950457.3444,48880271424.0,0.95
,stressed,44,False,flat12,gross,False,-35.670270469724365,4,1,1,0,False,False,11517296340.0,0.0,0.0,40242399890.29046,47491240128.0,0.95
,stressed,45,False,flat12,gross,False,-35.69240987417438,3,1,1,0,False,False,11091274766.0,0.0,0.0,40605254115.48547,47696880816.0,0.95
,stressed,46,False,flat12,gross,False,-35.68871997343271,7,1,1,0,False,False,13043082822.000002,0.0,0.0,40362637638.57262,47702226240.0,0.95
,stressed,47,False,flat12,gross,False,-35.64813106527435,2,1,0,0,False,False,12854486700.000002,0.0,0.0,40360470145.89211,49363436112.0,0.95
,stressed,48,False,flat12,gross,False,-35.64444116453267,4,1,1,0,False,False,11264163042.0,0.0,0.0,37161975514.95435,49490084976.0,0.95
,stressed,49,False,flat12,gross,False,-35.65920076749936,3,1,1,0,False,False,11039232996.0,0.0,0.0,43001699684.41494,50263276416.0,0.95
,stressed,50,False,flat12,gross,False,-35.65551086675769,7,0,0,0,False,False,13240313372.000002,0.0,0.0,40748996168.46473,50298321648.0,0.95
,stressed,51,False,flat12,gross,False,-35.83631600309952,4,0,0,0,False,False,10735715650.0,0.0,0.0,43140330400.82987,50560347600.0,0.95
