ts,V_smooth,sigma_t
2020-02-24 13:30:00,3387.375000000002,0.0010184733761936773
2020-02-24 13:31:00,3386.5849834714436,0.0009647297416978456
2020-02-24 13:32:00,3385.9882025948214,0.0010027355651461667
2020-02-24 13:33:00,3392.97970223034,0.0009794589620081937
2020-02-24 13:34:00,3392.3723889587227,0.0009881990896859808
2020-02-24 13:35:00,3392.7301882438005,0.0009500695318957543
2020-02-24 13:36:00,3392.410987352789,0.0010398814596830291
2020-02-24 13:37:00,3394.024980879899,0.0010007362738361542
2020-02-24 13:38:00,3390.403516968676,0.0010078368513874929
2020-02-24 13:39:00,3390.9053613081824,0.0009947101234170843
2020-02-24 13:40:00,3389.356257168148,0.0010826170391005886
2020-02-24 13:41:00,3388.9039604887867,0.001094651827417522
2020-02-24 13:42:00,3381.3712015865267,0.0010535423506215186
2020-02-24 13:43:00,3382.755189098785,0.0010372403765710693
2020-02-24 13:44:00,3381.852063837847,0.0010032704546276243
2020-02-24 13:45:00,3380.026942920688,0.0009658456415808894
2020-02-24 13:46:00,3377.8536528944896,0.0009614621679632122
2020-02-24 13:47:00,3381.304735673405,0.0009044723116508772
2020-02-24 13:48:00,3381.784646384307,0.0009344998322393181
2020-02-24 13:49:00,3380.4628810384424,0.0008618947579089645
2020-02-24 13:50:00,3382.893868115681,0.0008655889019206432
2020-02-24 13:51:00,3382.0291520442097,0.0008968605678751719
2020-02-24 13:52:00,3379.597590202539,0.0009176417172935865
2020-02-24 13:53:00,3383.9575090485887,0.0009917883364372986
2020-02-24 13:54:00,3377.430234084923,0.0010014662735464085
2020-02-24 13:55:00,3379.035262930014,0.0010442260386766505
2020-02-24 13:56:00,3374.0882371677585,0.0010214559803263287
2020-02-24 13:57:00,3377.029479806929,0.001097375571789057
2020-02-24 13:58:00,3375.282556382461,0.00099874343030787
2020-02-24 13:59:00,3373.8984594933004,0.0010108637555100116
2020-02-24 14:00:00,3373.6492766026445,0.0009782685748085287
2020-02-24 14:01:00,3363.239461324431,0.0010144174881166798
2020-02-24 14:02:00,3357.462976644049,0.0009753224233406204
2020-02-24 14:03:00,3356.3187767037234,0.000972871747376151
2020-02-24 14:04:00,3361.830370574748,0.0009918389449197983
2020-02-24 14:05:00,3367.189847975984,0.0009561678583678658
2020-02-24 14:06:00,3365.565256971918,0.0009598251746802747
2020-02-24 14:07:00,3365.2378359245085,0.0009852355712636153
2020-02-24 14:08:00,3367.889351187006,0.0009722784599372809
2020-02-24 14:09:00,3368.992528526791,0.0009493395923524426
2020-02-24 14:10:00,3369.7152706336783,0.0009496014092680419
2020-02-24 14:11:00,3373.175938655274,0.0010266504591531403
2020-02-24 14:12:00,3371.2765885190374,0.0009956178058101652
2020-02-24 14:13:00,3373.594087855603,0.0010345014825093527
2020-02-24 14:14:00,3371.402516407533,0.0009519318012135237
2020-02-24 14:15:00,3372.9285068973104,0.0009130945738708027
2020-02-24 14:16:00,3373.0885350012923,0.0009178557663492736
2020-02-24 14:17:00,3369.658819436135,0.000952607659972959
2020-02-24 14:18:00,3372.011079589947,0.0009435152150537937
2020-02-24 14:19:00,3365.2360624129683,0.0009554053427184687
2020-02-24 14:20:00,3366.928639571471,0.0008981562095817977
2020-02-24 14:21:00,3365.1159880643454,0.000861273429980775
2020-02-24 14:22:00,3360.9952749890062,0.0008932942402781545
2020-02-24 14:23:00,3361.797882287973,0.0009003715575455479
2020-02-24 14:24:00,3363.2142365050277,0.0008974539163162687
2020-02-24 14:25:00,3364.2175912002826,0.0008381775140193547
2020-02-24 14:26:00,3366.1165382771437,0.000907908378826741
2020-02-24 14:27:00,3366.7539865295203,0.0009675055172188048
2020-02-24 14:28:00,3364.893774451826,0.0009610088052055637
2020-02-24 14:29:00,3369.490457655841,0.0009829170255521657
2020-02-24 14:30:00,3369.0317679280333,0.0009365675369618806
2020-02-24 14:31:00,3365.7478373449953,0.0009687313831373182
2020-02-24 14:32:00,3364.238701984871,0.0009753737920250584
2020-02-24 14:33:00,3362.6553906183694,0.0009631437470626685
2020-02-24 14:34:00,3361.5571098221576,0.0008822263303003811
2020-02-24 14:35:00,3361.695349327414,0.0008491198390909231
2020-02-24 14:36:00,3361.5612659911403,0.0007879350250343867
2020-02-24 14:37:00,3360.9408998187296,0.0008273614015501064
2020-02-24 14:38:00,3362.3791687229404,0.0008026740701249542
2020-02-24 14:39:00,3362.625883633964,0.0008700199343562769
2020-02-24 14:40:00,3363.816558095593,0.0008901647611773103
2020-02-24 14:41:00,3355.841315148676,0.0008613011383989405
2020-02-24 14:42:00,3356.9201871773844,0.0009166346055304233
2020-02-24 14:43:00,3353.628344661488,0.0009683139785238311
2020-02-24 14:44:00,3346.1416621628755,0.0009794195234776534
2020-02-24 14:45:00,3343.7390516228234,0.0009034986475185403
2020-02-24 14:46:00,3349.455218765134,0.0009328997040886684
2020-02-24 14:47:00,3348.230614319256,0.0009677099421099743
2020-02-24 14:48:00,3352.256711253679,0.0009917407824454071
2020-02-24 14:49:00,3352.7419118257903,0.0009588401589930531
2020-02-24 14:50:00,3353.605084108064,0.0009067503914564786
2020-02-24 14:51:00,3354.3193222454415,0.0008445495853812164
2020-02-24 14:52:00,3349.857323479744,0.0007734784288159686
2020-02-24 14:53:00,3344.2339409377187,0.0007401172654976833
2020-02-24 14:54:00,3347.663042360519,0.0007845383757075771
2020-02-24 14:55:00,3348.435741807884,0.0008412801602038216
2020-02-24 14:56:00,3350.4713050469463,0.0008306052327253056
2020-02-24 14:57:00,3348.4645193374427,0.0008082909769087103
2020-02-24 14:58:00,3340.3183137141905,0.0008447782924712732
2020-02-24 14:59:00,3335.833467753345,0.0008611862590459134
2020-02-24 15:00:00,3335.087530626721,0.0008986412247556726
2020-02-24 15:01:00,3333.278427594692,0.0008954821936018657
2020-02-24 15:02:00,3333.792542288973,0.0008773019789814319
2020-02-24 15:03:00,3333.631811725476,0.0009311533948860646
