ft_sigma_c,zi_alpha,zi_delta,zi_mu,D,dKS,dV,dACF1,dACF2,dHill,ret_std,ret_kurtosis,acf_r_1,acf_r_5,acf_r_10,acf_r_20,acf_absr_1,acf_absr_5,acf_absr_10,acf_absr_20,hill_tail_index,ks_stat
0.5,0.02,0.02,0.0125,66.41314768930354,23.372109511670534,22.1269205026384,9.533542811434675,9.75897746759847,1.6215973959614696,0.0005567971508135434,16.14693082643577,-0.17883207779951613,-0.048867263151627864,0.012562523216473128,0.006746182064186688,0.5286651898211625,0.34437188320721074,0.27955764722514503,0.2296355972911287,2.8794160983900468,0.20062334462275594
0.5,0.02,0.02,0.046875,62.6647843115767,23.567762630836736,23.455521840661927,8.470659962850643,7.162875118606217,0.007964758621186651,0.0005758180828026085,17.189358059691365,-0.17483841772532327,-0.03702206184158251,0.008936121882607456,-0.004670218801452638,0.49942932212234087,0.3083410411488836,0.2381740203516408,0.19874959818720728,2.7264671016209143,0.20230280719473293
0.5,0.02,0.02,0.08124999999999999,61.380510932074046,23.491897135649836,22.906873422659043,7.619666892359828,6.702422191057215,0.6596512903481169,0.0005679633532113636,13.575947216402906,-0.16672075584360482,-0.02934336967415338,0.0009533017908903572,0.0036801548811715543,0.4903766630366903,0.30468613361914065,0.22809276315161306,0.19729737036864936,2.6631867721618283,0.20165158701376223
0.5,0.02,0.02,0.11562499999999999,61.71162510418307,22.545574906213325,22.33783038647002,7.626866753777492,6.713189800464123,2.4881632572581083,0.0005598166439010266,21.759721113659943,-0.16704476199183793,-0.027367566544111693,0.0026972662514212777,0.0030047520146176537,0.48972265749582206,0.30658002817883495,0.2314552602498224,0.19376087106116457,2.489870327980203,0.19352847212481245
0.5,0.02,0.02,0.15,52.519753421039056,21.81896060828546,19.85816492312329,6.139095277465634,3.9258183927481274,0.7777142194165417,0.0005243164928894999,18.772504895960438,-0.1494187217407162,-0.013041834163560515,0.0005380848188187864,-0.002254873847915512,0.42419185056824676,0.2558951334258019,0.21131327373223865,0.1855433149678296,2.651996116904381,0.1872913033905049
0.5,0.02,0.1,0.0125,43.24542218118029,16.100487644271364,12.216693669763659,6.14906734690029,4.900553355801236,3.878620164443739,0.0004149173068080123,31.01716631768425,-0.1389840134527964,-0.018033828240600198,0.0041916026139512735,-0.0017216385212709977,0.4040766477014545,0.25668652974237965,0.1817356296253031,0.11260441796602805,2.358075157206209,0.13820462717060933
0.5,0.02,0.1,0.046875,43.402225940900365,19.061903903759745,13.384049494715642,5.821302117525126,3.2465157161056886,1.8884547087941534,0.0004316297660822761,18.936557047686357,-0.1354689366809514,-0.014393315008470747,0.0007683485622039972,-0.0046825796794989745,0.3981991511334278,0.23909191989006473,0.19958934138077278,0.15963005246941822,2.5467140101906858,0.16362506405937627
0.5,0.02,0.1,0.08124999999999999,42.15549561102193,19.30965690299793,13.082702640242026,5.356706974186874,3.012756848843746,1.3936722447513588,0.00042731553136037806,16.081726238936824,-0.1286783285043502,-0.010659445314379153,0.0012974903163867433,-0.002228810529440441,0.37353892353499946,0.22149282145591911,0.18252067508935368,0.1460068436916299,2.5936122196982976,0.1657517456634764
0.5,0.02,0.1,0.11562499999999999,42.627877513547986,20.4223508324057,12.893053400145105,4.989609432229669,3.5259769586476764,0.7968868901198369,0.00042460041645387965,16.214583988522804,-0.12492374155875224,-0.00491000205415382,0.0002888543332311127,-0.001375347745483442,0.370446990329052,0.2180351562349073,0.170003820421469,0.13113458000563502,2.65017882548278,0.1753029749843794
0.5,0.02,0.1,0.15,41.44309974625267,19.6224356989439,12.332941272358163,4.504471718346055,2.9026427516971287,2.080608304907421,0.00041658156656717476,17.112890169147082,-0.12126162238702566,-0.0014278998740468202,-0.003905983814457746,-0.0021554389913805436,0.3581570473461219,0.2206716372164282,0.1723395760334414,0.14538932024833073,2.5285006330743505,0.16843660079554845
