ft_sigma_c,zi_alpha,zi_delta,D,dKS,dV,dACF1,dACF2,dHill,ret_std,ret_kurtosis,acf_r_1,acf_r_5,acf_r_10,acf_r_20,acf_absr_1,acf_absr_5,acf_absr_10,acf_absr_20,hill_tail_index,ks_stat
0.5,0.02,0.05,77.86140809341646,23.39382811003584,27.613549040673472,13.842822747827203,4.733802905519379,8.277405289360555,0.0005409159330941612,4.0904367584287815,-0.1490192962491324,-0.022055202133067626,0.00702322670461001,0.004273203826898618,0.3877067181821032,0.26286996343304225,0.21145736037789306,0.14527147443913,3.5150291390738357,0.1872875138292588
0.5,0.02,0.125,64.70047023803924,21.53387433684142,19.029251484777834,10.224512256483504,5.5205744109652395,8.39225774897125,0.0004651899836096723,5.369432813685082,-0.12439109127686827,-0.004602537394567758,-0.0005197600503879726,0.0006141027989170811,0.3020996758524409,0.19248157796427914,0.153602642886528,0.13813275638654202,3.522762836319814,0.17239700012707881
0.5,0.02,0.2,64.07780355770866,21.210335223898173,14.635236443683581,9.096683618310403,9.492310128290438,9.643238143526075,0.00042642840074638217,4.506365685481855,-0.10844801131826054,-0.001987587803207976,0.0023708259726287284,-0.0009262321815726223,0.2453678107167385,0.13613648021977284,0.11935091152137413,0.10234449473950219,3.6069987653102324,0.16980679403491428
0.5,0.02,0.27499999999999997,57.53556213024828,19.021490639510176,12.024437563988931,7.604671030739049,10.746738350527176,8.138224545482945,0.00040339736963514877,5.241326264636374,-0.09792811933784329,-0.0016307093235529632,0.00015273132998791343,0.004342064527382697,0.19696898813385336,0.13978904907023768,0.11513671275281473,0.09715450065726407,3.5056572741676075,0.1522832293391131
0.5,0.02,0.35,55.704515196230126,18.32041816871597,10.97642157044545,7.3555293830094906,11.717297421920598,7.334848652138618,0.0003941523492162672,6.680577024426443,-0.0930668726464227,-4.2587450146744137e-05,0.0002284110511386175,0.004393972841543275,0.17372610609365982,0.12762304725475807,0.10275205123937788,0.10325621865270461,3.45156121079289,0.14667054724828188
0.5,0.02,0.425,53.04435612175289,17.803740656356236,8.809130412838957,7.621306327380398,12.068681155922963,6.741497569254345,0.0003750336991869038,4.856697652062572,-0.08575832162156433,0.0022105846868641027,-0.0024435698057477923,-0.0006499612009822076,0.16270798645656306,0.1126576943722097,0.11441890550713557,0.10257941798040189,3.4116073634729935,0.14253410381174025
0.5,0.02,0.5,51.91236650812001,17.825147449357587,9.274911801446699,7.448951789376189,12.16530642546854,5.198049042470991,0.0003791425662986106,6.698152980641726,-0.08433593612524175,-0.0001192568660638844,-0.0071329858814824605,0.007250127386682968,0.15806631148596673,0.11977251453904121,0.10736571376317887,0.10291059308080654,3.307677820637308,0.14270548341756717
0.5,0.1,0.05,70.45726733530017,27.226385403834588,16.753380302732843,9.452116512550296,3.8173369877509424,13.208048128431502,0.00044511350035142605,3.195554017954616,-0.10839773921157331,-0.007348000211686737,-0.0015500695407825304,-0.0011382167209320459,0.32194628680195775,0.21660684125430008,0.17575594769358507,0.1842171524256877,3.847038562944062,0.2179703983827206
0.5,0.1,0.125,69.27352242846436,27.44506368554126,14.118515550624583,8.819860464169503,4.305260006259874,14.584822721869147,0.0004218701733561291,2.5420327304895176,-0.1044987158958805,-0.005078772388017024,0.001135586566724988,0.0001552257123444145,0.2920320776672057,0.21318741977286523,0.17955593806751144,0.14033444555126792,3.939744961376386,0.21972110423200086
0.5,0.1,0.2,71.26607919414664,28.360204086348958,12.7917706980752,8.741080566082498,5.446086382844622,15.926937460795372,0.00041016636031507737,2.264847128260217,-0.10185138688758051,-0.004902642528881426,0.002841838443646589,0.00023249113537963188,0.2873993526755116,0.19376655206302876,0.15850110017907687,0.13667997266967077,4.030117506251812,0.22704758238110112
