ft_sigma_c,zi_alpha,zi_delta,p_zi,D,dKS,dV,dACF1,dACF2,dHill,ret_std,ret_kurtosis,acf_r_1,acf_r_5,acf_r_10,acf_r_20,acf_absr_1,acf_absr_5,acf_absr_10,acf_absr_20,hill_tail_index,ks_stat
0.5,0.02,0.05,0.15,31.220254426870916,10.33840086566947,9.854520520053718,6.984803572681438,2.145232281358389,1.8972971871079016,0.003374844291336678,5.375623102647225,-0.14762923613456325,-0.018670922423720482,-0.00029226514587283914,0.0016042277149880696,0.3696741380848409,0.24437812021159755,0.18754111557023903,0.16986761722178187,3.53422957442798,0.0921980545352244
0.5,0.02,0.05,0.3125,38.59603664036342,12.969979428225127,10.92374569346921,8.165602092349761,2.6877068665512693,3.8490025597680506,0.0035432648813489816,3.8507233619562973,-0.15416403122930547,-0.02592285432920308,0.00755680472428042,0.011616710544153733,0.3993397977171765,0.2613395818943555,0.20269316127872375,0.15793489574744798,3.900143245420331,0.1156665219487795
0.5,0.02,0.05,0.475,38.07148988818879,14.509227906366624,10.777282037061271,8.071893311097723,2.659045424947537,2.0540412087156366,0.003520194441145271,5.299354616485992,-0.15403531879928084,-0.023737633472163937,0.010034933029737793,0.0070186214910057205,0.3982336129983112,0.25830057141228596,0.2091159822041957,0.16203388214439118,3.563616581891313,0.12939356900130844
0.5,0.02,0.05,0.6375000000000001,39.44655354004021,17.458644881215108,10.28791079405108,7.203560722028957,2.9787854763468227,1.5176516663982456,0.0034431104035336692,5.671927326774798,-0.14870567293215323,-0.017256818126072646,0.006486752958106766,-0.0019060577841857088,0.3890645736898804,0.2447247620918649,0.17956100499193353,0.1277719306404714,3.4630520862145158,0.15569652538958234
0.5,0.02,0.05,0.8,43.36867003435875,19.366067577659546,11.425894766357674,8.247765967279982,3.3347049322221753,0.9942367908393711,0.0036223616377972535,7.082140965241797,-0.15642002294258528,-0.027822122346085134,0.013869070233446164,-0.0010915074801806188,0.4129590517819814,0.271111241222911,0.19331219307817105,0.12913891910247322,3.364920133896986,0.17270695708724326
0.5,0.02,0.1625,0.15,24.67562602464366,10.143247353310509,4.704305409481319,4.875744693083658,3.6172559340237393,1.3350726347444337,0.002563600514834401,5.945191662893546,-0.09880883411085928,0.009175020952064239,0.0011354537297245566,0.0056629011683682435,0.23058443581201016,0.12196898346860573,0.08756068310459791,0.08362316440852584,3.4288214258625302,0.09045767181946412
0.5,0.02,0.1625,0.3125,28.89790357544761,14.787450143867073,5.5434865312034045,5.05507225001356,3.364812842628261,0.14708180773531565,0.002695785374639136,8.625432448211948,-0.11229462326429233,0.0012897150588468524,-0.0006218350756893174,0.003442188524903264,0.2525023165661391,0.11390506593761925,0.08513136006925048,0.08941411255776172,3.1509410753636313,0.13187476017964234
0.5,0.02,0.1625,0.475,32.645600171964006,18.156831565354622,5.854941422817193,4.954074817019662,3.4191526524801494,0.2605997142923809,0.002744844654117425,11.885761704559656,-0.11055192226633061,0.0004242969766686099,-0.002810289247979455,0.005664635548197458,0.268296693431749,0.13015649467047513,0.0974564854329888,0.07499192774545542,3.1296582759751934,0.1619229674492842
0.5,0.02,0.1625,0.6375000000000001,36.472668430877036,19.837204459818018,5.984736019646944,5.837308004729898,3.962458016918966,0.8509619297632068,0.002765289442663365,9.816021724281885,-0.12144397638617237,-0.0024473729221819577,0.009891015269377615,0.0021671845475668226,0.2888335656647583,0.12666835785798955,0.0833749706138394,0.06409772733696399,3.3380583794991683,0.17690856471681832
0.5,0.02,0.1625,0.8,41.3469586012845,24.665130753944542,6.010529533967876,5.873822137062425,4.047247139792949,0.7502290365167098,0.0027693523463514116,11.779995688645409,-0.1211547054252974,-0.0020889086595924163,0.008002061257009592,0.007250571472629849,0.29725548648372274,0.1423409423314215,0.07889133901643246,0.058868100347938025,3.037860576778206,0.21996410275810674
0.5,0.02,0.275,0.15,21.63517517139046,9.340037573686931,3.58094960328185,3.8746788058974406,4.747564595152172,0.0919445933720648,0.0023866534578646324,8.133881674972933,-0.08377114699155665,0.001944744989192361,0.0022349712770660508,-0.00024659106343012595,0.16875900964263127,0.08218521667356306,0.08678264311407445,0.07924483761693642,3.1957547184055013,0.08329463180707003
0.5,0.02,0.275,0.3125,30.265797372150057,16.018024417057024,3.4729697982746357,3.996231097828537,5.585850370343687,1.192721688646169,0.0023696448586276392,13.293679565933346,-0.08375104687656122,0.0043122813771590135,-2.397378368906566e-05,0.004962580974741687,0.1592137086183862,0.059323481346338025,0.0535002827141714,0.060463793091952385,2.954900252440345,0.14284904483192007
0.5,0.02,0.275,0.475,34.3201084709155,19.6260590353095,3.760019416711343,4.253243238245088,5.3061065054198355,1.3746802752297367,0.0024148599052819237,14.30419241591014,-0.08937977790465525,0.003917957148585731,0.0010925280050166784,0.004095221567720132,0.18701204141810043,0.07462160374857309,0.042864882839071215,0.053850563198886425,2.9207859156567024,0.17502556582592177
0.5,0.02,0.275,0.6375000000000001,40.51880788457735,24.713650215406297,3.879630161848315,4.0614476275733695,5.042690930612312,2.821388949137058,0.002433700569314767,18.405842933911188,-0.08697821059458526,0.005033355254766007,0.0006178110745394533,0.0006502887055773284,0.2052960212499536,0.06720330381488315,0.06523733678672235,0.04509259472305518,2.649551082191865,0.2203968002334702
0.5,0.02,0.275,0.8,44.91544757761121,28.79655035638684,3.5870770295932184,4.1670777882979,5.366597814266337,2.998144589066911,0.002387618628513693,19.575896034790166,-0.08521349879843489,0.008020076623235745,-0.004225825386274807,0.005446160835720575,0.19779803762110873,0.0805319880451326,0.04826156117137933,0.03048163422012602,2.6164122150342775,0.2568081809441971
0.5,0.02,0.3875,0.15,22.15651918373236,9.859793235498394,2.5189721600287474,2.9282819648015743,5.779229948416969,1.0702418749866736,0.0022193745048251098,11.82801645627832,-0.06204587170903264,0.0002665344557971708,-0.0037773615088440436,0.006396781152124928,0.10571027546358491,0.06719880460005871,0.07493919542370929,0.07646661946372345,2.977863266666985,0.08792982263351723
0.5,0.02,0.3875,0.3125,31.365994616863226,16.42639051898973,2.678184097229982,3.3967952534697163,6.169193998394428,2.695430748779367,0.0022444530093975175,18.42694578899933,-0.06788273131619614,0.0071764646158670635,0.0014941279652300962,0.002252456484535025,0.1321599255164988,0.050339583732092075,0.04493385795453945,0.052142656079691097,2.673166238521354,0.14649086145574186
0.5,0.02,0.3875,0.475,36.145291669502875,20.952047789820398,2.6920285147872827,3.1021446803068082,6.3184516334983485,3.0806190510900384,0.0022466337333753575,23.071032191669442,-0.06708655230507775,0.007685747951948292,-0.0017009735894123479,-0.00199417712722192,0.12710834670449342,0.05419274894481463,0.037958480719297576,0.04781557445403556,2.6009495670420404,0.18685075862797834
0.5,0.02,0.3875,0.6375000000000001,42.383167011864636,26.598648884298708,2.736731685484712,3.273127035766668,6.418811581160747,3.3558478251538,0.002253675219651098,22.799728569164518,-0.06504670084224054,0.009475907789530958,0.0013810342667687637,-0.00011491237968155319,0.13792104209162015,0.044667981193184346,0.026771955065085357,0.04352627552848679,2.5493485556951643,0.23720725402913212
0.5,0.02,0.3875,0.8,47.45748260974977,31.15066082635184,3.0946736569130238,3.8930056883452124,6.076610698302075,3.2425317398376143,0.002310056980497181,24.98615050705947,-0.0716905690014426,0.01097688606689491,0.005058410556451759,0.003666458010051933,0.15104701112791893,0.06809068066226419,0.04457988544992229,0.029893650038802778,2.5705935168155065,0.27780218265799317
0.5,0.02,0.5,0.15,23.9627975269088,11.885892753684272,2.4004754470708085,2.7487692487317186,5.757676176714218,1.1699839007077835,0.002200709319224266,10.433140085909749,-0.05803159045062956,0.0021620760951754146,-0.0020341504196644366,0.005770965602194707,0.11195016456545076,0.07233804773025161,0.0689127886575299,0.07328351963923126,2.9591632255157534,0.10599861647297887
0.5,0.02,0.5,0.3125,31.375473267028553,16.75746013438735,2.5619519850498356,2.8944393568582814,6.472966349465459,2.6886554412676262,0.002226144535749049,16.49632106784279,-0.05909252510557339,0.008272018733458663,-0.0018188606156792745,0.0021839452610333742,0.11400515295405356,0.0451887553025371,0.03804673661142708,0.05394398136443517,2.6744365007640325,0.14944334655009972
0.5,0.02,0.5,0.475,36.95294133124996,21.17584029180045,2.619638019047315,3.0565733469070095,6.403341581991312,3.697548091503874,0.0022352310370051787,22.715533218208076,-0.05907935957657955,0.012125292517523098,-0.0033590839799159146,0.002876756202778821,0.12307731275012453,0.047308362240410524,0.04397512090617933,0.044821580438697085,2.485285198289532,0.1888465443950642
0.5,0.02,0.5,0.6375000000000001,43.35326950577365,27.41250086061801,2.2883502768833845,3.1626821650006565,6.443137314182676,4.046598889088929,0.002183047756638835,26.088748919095043,-0.05893346344534537,0.015505606276445955,-0.006404751222861535,-0.0018744639917939304,0.12272307629154383,0.049008835136090674,0.046715553110984666,0.03880610741933704,2.419843733355165,0.24446520135302208
0.5,0.02,0.5,0.8,48.60168910765066,32.5757287351047,1.8475679738427209,2.670787764435329,6.968035899172381,4.539568735095531,0.0021136172780166834,33.79753096789322,-0.04660489702340274,0.010889466514556835,0.001348945727597716,0.004896705150199416,0.09847817535446561,0.04229394163503192,0.03397887326165823,0.03411716469795525,2.3274197391562104,0.29051096523227826
0.5,0.13999999999999999,0.05,0.15,18.780962777182705,6.645792599174275,3.0636744178429156,3.8723514589570183,1.304586062832746,3.89455823837575,0.002305174089349526,4.849577400260665,-0.0720090483382487,0.007665895885306068,0.003329296571236389,0.008872520255089937,0.31076504401810107,0.20466435716623044,0.19172763252358527,0.16948019103544695,3.9086842095573364,0.05926730414595727
0.5,0.13999999999999999,0.05,0.3125,24.86252234997909,11.962630364973709,3.6040292536934406,4.751082656145556,1.865290520363666,2.6794895548027213,0.0023902888832513926,10.899541969403494,-0.09586606044969666,0.0009575116158375014,0.004796046020587468,0.008769439005634837,0.35989109643860956,0.22089507159866298,0.18886057847418358,0.16682771242042638,3.680878184763721,0.10668296394242749
0.5,0.13999999999999999,0.05,0.475,26.12169268013269,14.994148133438838,3.838600533893725,4.7498139711886385,2.515134730372871,0.02399531123861579,0.002427237726576017,14.73498790066441,-0.10179597594302726,-0.0015618160646164077,0.0012009750895689072,0.008581910563435921,0.38179361063253964,0.23542663407666087,0.18503756374866578,0.1480413434083275,3.1740178329591218,0.133718096761622
0.5,0.13999999999999999,0.05,0.6375000000000001,28.002450378674936,16.963914036878936,3.9090039752050525,4.607567558510779,2.393506756761947,0.12845805131822097,0.0024383274291189094,13.898488076424346,-0.10174978965734528,-0.0019022727220562319,0.002458206721126589,0.0017522496875909486,0.3850428350316715,0.23175211602605403,0.1853855263537759,0.158470387292007,3.2026004101911894,0.1512845063588799
0.5,0.13999999999999999,0.05,0.8,30.292101722534944,18.37680789208804,4.272649591254927,4.837275415865116,2.6836340908775127,0.12173473244935475,0.0024956076080122546,21.57757997684825,-0.10691778935716678,0.002424251361953266,-0.002570576610687467,0.005223251942501502,0.3901210585121673,0.23498067879486598,0.180208320782802,0.14596202023646385,3.1556932482564917,0.16388472049331382
0.5,0.13999999999999999,0.1625,0.15,19.94998619144414,8.484690793737457,2.3256054954378853,4.161187783472104,1.598473626026359,3.380028492770335,0.0021889160676793833,5.202262847881697,-0.07646544811333462,0.005419145453869813,0.005841089725664511,0.010563827174874458,0.2971462686511586,0.18486398410523808,0.16919398626429757,0.16186408711350955,3.8122180775854684,0.07566663303927379
0.5,0.13999999999999999,0.1625,0.3125,25.150149686743628,14.956272552031995,2.3614045763303775,4.516756736675791,2.7064901792499567,0.6092256424555059,0.0021945550130350673,13.33497411773089,-0.0892294509017993,0.010846675612792971,0.0011670497383933695,0.0056081743404233905,0.34850595881165497,0.19360289319618942,0.16321524208030555,0.12177748183826041,3.2927366759572756,0.13338032160998348
0.5,0.13999999999999999,0.1625,0.475,29.757543382020962,19.22215215182776,2.541194107154497,4.369400532230813,2.8870553631582814,0.7377412276496091,0.0022228748278058956,28.974180105264757,-0.09174000301738289,0.005259623191086274,0.004111513263174935,-0.001717295955079987,0.33707765465786615,0.18438508109267093,0.1422288926063552,0.1175481747192997,3.04020184203741,0.17142351659661959
0.5,0.13999999999999999,0.1625,0.6375000000000001,35.383302565484286,21.576262621792758,3.1639869658174096,4.916828534718503,3.524973579682113,2.2012508634735024,0.002320974969216144,25.872244645520514,-0.10876664570132048,-0.003141207255647154,0.0038201940140449864,-0.0015365645520311517,0.38026707818398386,0.20085302861701013,0.14915778162989088,0.09279569467506317,2.7658170958156507,0.19241751831041565
0.5,0.13999999999999999,0.1625,0.8,40.39338178564827,24.310554711046247,3.9900074835031027,5.069335017147853,3.515649198826745,3.507835375124331,0.002451086816944623,44.39932802881086,-0.11252572058666543,-0.004920141048136167,-0.0017267602782444335,0.005127442786875792,0.3788893900239923,0.19334323543548315,0.14048007056524903,0.10351318219624595,2.5208533109036573,0.21680198689852753
