path,t,client_id,kind,cm_id,cm_kind,shortfall,closeout_loss,im_posted,assumed_pos
1,8399,23,FundamentalTrader,102,NBCM,0.0,0.0,167617313.49410227,369
2,8219,26,FundamentalTrader,32,BCM,0.0,0.0,411775042.8037362,1098
2,8219,21,FundamentalTrader,32,BCM,0.0,0.0,313144044.39081943,835
2,8219,20,FundamentalTrader,33,BCM,0.0,0.0,307518702.27601427,820
2,8219,19,FundamentalTrader,34,BCM,0.0,0.0,452277506.03033316,1206
2,8219,3,FundamentalTrader,34,BCM,0.0,0.0,313519067.1984731,836
2,8219,9,FundamentalTrader,101,NBCM,0.0,0.0,196511951.2105262,524
2,8219,28,FundamentalTrader,104,NBCM,0.0,0.0,254265463.58919227,678
2,8459,23,FundamentalTrader,102,NBCM,0.0,0.0,145623986.89297616,401
5,1859,4,FundamentalTrader,31,BCM,0.0,0.0,1159473931.9851506,-1944
5,1919,25,FundamentalTrader,32,BCM,0.0,0.0,1547576952.125478,-2459
5,3779,24,FundamentalTrader,31,BCM,0.0,0.0,260069946.57718366,436
5,3779,26,FundamentalTrader,32,BCM,0.0,0.0,1154779607.9212558,1961
5,3779,21,FundamentalTrader,32,BCM,0.0,0.0,793443487.4556112,1357
5,3779,20,FundamentalTrader,33,BCM,0.0,0.0,796895743.383627,1385
5,3779,19,FundamentalTrader,34,BCM,0.0,0.0,1258922661.7497299,2188
5,3779,3,FundamentalTrader,34,BCM,0.0,0.0,800923375.2996454,1354
5,3779,16,FundamentalTrader,34,BCM,0.0,0.0,398735559.6858148,633
5,3779,9,FundamentalTrader,101,NBCM,0.0,0.0,476986694.054171,809
5,3779,23,FundamentalTrader,102,NBCM,0.0,0.0,387803415.9137651,666
5,3779,28,FundamentalTrader,104,NBCM,0.0,0.0,626584450.9348518,1059
5,3839,10,FundamentalTrader,104,NBCM,0.0,0.0,191144961.3109653,333
5,3959,52,MomentumTrader,34,BCM,0.0,0.0,108281643.97229545,-172
5,4139,48,MomentumTrader,32,BCM,0.0,0.0,159665234.0543619,-104
6,5519,19,FundamentalTrader,34,BCM,0.0,0.0,818689140.027348,1745
6,5579,20,FundamentalTrader,33,BCM,0.0,0.0,499456401.18643457,1107
6,5579,23,FundamentalTrader,102,NBCM,0.0,0.0,272061616.9064318,603
7,7079,19,FundamentalTrader,34,BCM,0.0,0.0,557144954.9595889,1388
8,8639,19,FundamentalTrader,34,BCM,0.0,0.0,456883293.5526217,1376
8,8879,20,FundamentalTrader,33,BCM,0.0,0.0,301608683.0750786,922
9,11399,44,MomentumTrader,103,NBCM,0.0,0.0,258560844.37689093,-363
11,9479,4,FundamentalTrader,31,BCM,0.0,0.0,1679033430.2387688,-3618
11,10559,13,FundamentalTrader,30,BCM,0.0,0.0,2290877239.4730263,-4052
11,10559,57,MomentumTrader,30,BCM,0.0,0.0,488399651.05836403,-848
11,10559,59,MomentumTrader,30,BCM,0.0,0.0,401571062.0344563,-654
11,10559,56,MomentumTrader,31,BCM,0.0,0.0,166007519.3603695,-288
11,10559,25,FundamentalTrader,32,BCM,0.0,0.0,1552966568.721707,-3026
11,10559,43,MomentumTrader,32,BCM,0.0,0.0,382320347.6178207,-707
11,10559,42,MomentumTrader,32,BCM,0.0,0.0,305353225.00528574,-568
11,10559,46,MomentumTrader,34,BCM,0.0,0.0,384332559.9737039,-712
11,10559,41,MomentumTrader,100,NBCM,0.0,0.0,255550969.19717488,-440
11,10559,53,MomentumTrader,101,NBCM,0.0,0.0,453753886.2516767,-850
