path,t,agent_id,kind,cash,own_position,client_notional,capital_ratio,initial_margin,maintenance_margin,vm_cycle,vm_cumulative,call_indicator,waterfall_level,client_defaults,client_loss_absorbed,df_contribution,has_defaulted
5,3839,35,BCM,0.0,0,0.0,inf,2591063412.3617377,2461510241.743651,-1365819000.0,-5286979600.0,True,3,0,0.0,0.0,True
5,3839,37,BCM,0.0,0,0.0,inf,2571148716.4212756,2442591280.6002116,-1368224600.0,-4841521600.0,True,3,0,0.0,0.0,True
5,3839,39,BCM,0.0,0,0.0,inf,3538895292.122648,3361950527.5165153,-1884158000.0,-6852504800.0,True,4,0,0.0,0.0,True
5,5339,104,NBCM,0.0,0,0.0,inf,730133909.5904093,693627214.1108888,-402476000.0,-537205800.0,True,3,0,0.0,0.0,True
11,10619,30,BCM,0.0,0,0.0,inf,7209244156.617688,6848781948.786803,-1592770400.0,-2035429400.0,True,3,2,0.0,0.0,True
11,10619,38,BCM,0.0,0,0.0,inf,5155264137.04283,4897500930.190689,-1747290800.0,-4229338200.0,True,4,0,0.0,0.0,True
13,11819,104,NBCM,0.0,0,0.0,inf,319047863.3232304,303095470.15706885,-4972800.0,-973170400.0,False,3,0,0.0,0.0,True
23,12839,35,BCM,0.0,0,0.0,inf,673243042.0809119,639580889.9768662,-883940000.0,-7535495600.0,True,3,0,0.0,0.0,True
23,12839,37,BCM,0.0,0,0.0,inf,616796463.8802415,585956640.6862295,-809828000.0,-6785446200.0,True,3,0,0.0,0.0,True
23,12839,39,BCM,0.0,0,0.0,inf,548884174.48256,521439965.75843203,-720662000.0,-9130784000.0,True,3,0,0.0,0.0,True
36,13559,34,BCM,0.0,0,0.0,inf,6600434365.562193,6270412647.284083,-2461403200.0,-2901293600.0,True,4,1,0.0,0.0,True
36,13559,38,BCM,0.0,0,0.0,inf,6941411299.793637,6594340734.803955,-3861910000.0,-1960485600.0,True,4,0,0.0,0.0,True
36,13619,39,BCM,0.0,0,0.0,inf,5110738550.492745,4855201622.968108,-797529400.0,-4787156400.0,True,4,0,0.0,0.0,True
36,13619,103,NBCM,0.0,0,0.0,inf,734506089.5631818,697780785.0850227,-85386600.0,-432965200.0,True,4,0,0.0,0.0,True
36,13679,100,NBCM,0.0,0,0.0,inf,1614856490.7634764,1534113666.2253025,-29233800.0,-714787600.0,False,3,1,0.0,0.0,True
36,14039,32,BCM,0.0,0,0.0,inf,4717034808.515238,4481183068.089476,-1249130400.0,-1352697400.0,True,3,0,0.0,0.0,True
36,14039,33,BCM,0.0,0,0.0,inf,8587124346.514806,8157768129.189065,-354644400.0,-3227999400.0,False,3,0,0.0,0.0,True
36,14039,35,BCM,0.0,0,0.0,inf,3571552225.665141,3392974614.381884,-1183030200.0,-4183468800.0,True,4,0,0.0,0.0,True
36,14099,31,BCM,0.0,0,0.0,inf,6896791373.335616,6551951804.668835,1077199600.0,1037246400.0,True,3,0,0.0,0.0,True
36,14099,37,BCM,0.0,0,0.0,inf,7291265298.52326,6926702033.597096,364690400.0,-1458867400.0,True,4,0,0.0,0.0,True
36,14459,101,NBCM,0.0,0,0.0,inf,3635096585.644172,3453341756.3619633,-69324000.0,-402371800.0,False,3,0,0.0,0.0,True
36,14459,102,NBCM,0.0,0,0.0,inf,6061249308.886221,5758186843.44191,-44901600.0,-521085400.0,False,4,0,0.0,0.0,True
36,14459,104,NBCM,0.0,0,0.0,inf,4534478688.375895,4307754753.9571,-3816000.0,-57648000.0,False,5,0,0.0,0.0,True
36,14519,30,BCM,0.0,0,0.0,inf,7872845163.554986,7479202905.377236,-889944400.0,1194992800.0,True,5,0,0.0,0.0,True
38,6959,30,BCM,0.0,0,0.0,inf,8465491582.421522,8042217003.300446,-1061680400.0,-2758968200.0,True,3,7,0.0,0.0,True
38,6959,31,BCM,0.0,0,0.0,inf,6041978042.054134,5739879139.951427,-1670107400.0,-2209281400.0,True,4,4,0.0,0.0,True
38,6959,32,BCM,0.0,0,0.0,inf,8675274437.900478,8241510716.005454,-1820566200.0,-2201222000.0,True,4,6,0.0,0.0,True
38,6959,36,BCM,0.0,0,0.0,inf,3312482878.225727,3146858734.3144407,-3535271800.0,-5652915400.0,True,4,0,0.0,0.0,True
38,6959,38,BCM,0.0,0,0.0,inf,3568626585.744231,3390195256.4570193,-3802129400.0,-6641023600.0,True,4,0,0.0,0.0,True
38,6959,100,NBCM,0.0,0,0.0,inf,2716745929.5175314,2580908633.0416546,0.0,0.0,False,4,2,0.0,0.0,True
38,7019,34,BCM,0.0,0,0.0,inf,14166950582.792738,13458603053.653101,-1891350800.0,-3484286600.0,True,4,3,0.0,0.0,True
38,7019,101,NBCM,0.0,0,0.0,inf,14601481353.529997,13871407285.853497,-1131165600.0,-1131165600.0,True,4,7,0.0,0.0,True
38,7079,102,NBCM,0.0,0,0.0,inf,11254083116.11762,10691378960.311739,-217426800.0,-217426800.0,False,4,0,0.0,0.0,True
38,7079,103,NBCM,0.0,0,0.0,inf,8764884124.766594,8326639918.528264,0.0,0.0,False,4,0,0.0,0.0,True
38,7079,104,NBCM,0.0,0,0.0,inf,11776276319.38317,11187462503.414011,-33166800.0,-80656800.0,False,5,0,0.0,0.0,True
46,5399,35,BCM,0.0,0,0.0,inf,2715221349.4817185,2579460282.0076323,-2400015200.0,-5673580600.0,True,3,0,0.0,0.0,True
46,5399,37,BCM,0.0,0,0.0,inf,2466222309.512574,2342911194.0369453,-2179244000.0,-5159413200.0,True,3,0,0.0,0.0,True
46,5399,39,BCM,0.0,0,0.0,inf,3230196636.6906314,3068686804.8560996,-2904680000.0,-6929773200.0,True,4,0,0.0,0.0,True
46,5579,34,BCM,0.0,0,0.0,inf,2915691911.2646503,2769907315.701418,-2405485000.0,-3490236800.0,True,3,1,0.0,0.0,True
51,15479,103,NBCM,0.0,0,0.0,inf,1145130118.4310298,1087873612.5094783,0.0,0.0,False,3,2,0.0,0.0,True
51,15779,100,NBCM,0.0,0,0.0,inf,2377130841.449154,2258274299.376696,-367039400.0,-134166600.0,True,1,2,0.0,109968554.12849846,True
51,15779,101,NBCM,0.0,0,0.0,inf,4587159472.012041,4357801498.411439,-644781200.0,-349158800.0,True,1,1,0.0,166642538.20807987,True
51,16019,102,NBCM,0.0,0,0.0,inf,4174094017.419041,3965389316.548089,-365398400.0,-685625200.0,True,3,4,0.0,0.0,True
56,4499,36,BCM,0.0,0,0.0,inf,3462601599.871535,3289471519.877958,-4259042800.0,-4294590800.0,True,4,0,0.0,0.0,True
56,4499,38,BCM,0.0,0,0.0,inf,4769439578.770418,4530967599.831897,-5857908200.0,-5984569800.0,True,4,0,0.0,0.0,True
60,4859,104,NBCM,0.0,0,0.0,inf,611746714.8607259,581159379.1176896,-159643000.0,-630684600.0,True,3,0,0.0,0.0,True
60,5519,103,NBCM,0.0,0,0.0,inf,638318817.5984846,606402876.7185603,-15940800.0,-575547200.0,False,3,0,0.0,0.0,True
60,5579,102,NBCM,0.0,0,0.0,inf,1157101630.6820247,1099246549.1479235,-91494000.0,-1485497200.0,True,3,0,0.0,0.0,True
60,15719,35,BCM,0.0,0,0.0,inf,210958187.31688574,200410277.95104143,-104041800.0,-7907318000.0,True,3,0,0.0,0.0,True
60,15719,37,BCM,0.0,0,0.0,inf,237719414.85775924,225833444.11487126,-111389000.0,-7259278200.0,True,3,0,0.0,0.0,True
60,15719,39,BCM,0.0,0,0.0,inf,413660251.243502,392977238.6813269,-101803200.0,-9495126200.0,True,3,0,0.0,0.0,True
61,14099,33,BCM,0.0,0,0.0,inf,3077028937.298199,2923177490.433289,-1467671400.0,-4299988800.0,True,4,2,0.0,0.0,True
61,14099,35,BCM,0.0,0,0.0,inf,410542182.3311287,390015073.21457225,-293061600.0,-7783719400.0,True,4,0,0.0,0.0,True
61,14099,37,BCM,0.0,0,0.0,inf,419965296.93798465,398967032.0910854,-299788200.0,-7196198400.0,True,4,0,0.0,0.0,True
61,14099,39,BCM,0.0,0,0.0,inf,438302168.60538,416387060.175111,-312877800.0,-9406224200.0,True,4,0,0.0,0.0,True
64,14879,103,NBCM,0.0,0,0.0,inf,1069326380.3446523,1015860061.3274196,-457854800.0,-457854800.0,True,3,0,0.0,0.0,True
71,2099,31,BCM,0.0,0,0.0,inf,4885279100.005735,4641015145.005448,-1230060800.0,-2173699600.0,True,3,1,0.0,0.0,True
71,2099,32,BCM,0.0,0,0.0,inf,6533178805.738373,6206519865.451454,-1657279200.0,-2727839000.0,True,4,1,0.0,0.0,True
71,2099,36,BCM,0.0,0,0.0,inf,2939968397.6583667,2792969977.7754483,-1749779800.0,-4578370800.0,True,4,0,0.0,0.0,True
71,2099,38,BCM,0.0,0,0.0,inf,3984700393.4198046,3785465373.748814,-2360619800.0,-6303148000.0,True,4,0,0.0,0.0,True
71,2159,30,BCM,0.0,0,0.0,inf,7350265748.48772,6982752461.0633335,-2544006600.0,-5589473400.0,True,4,2,0.0,0.0,True
71,2159,33,BCM,0.0,0,0.0,inf,5792859948.769054,5503216951.330602,-2103799200.0,-1174141800.0,True,4,5,0.0,0.0,True
71,2159,34,BCM,0.0,0,0.0,inf,9046746162.0558,8594408853.953009,-2643049000.0,-5121229000.0,True,4,2,0.0,0.0,True
71,2159,100,NBCM,0.0,0,0.0,inf,1814866241.886178,1724122929.791869,-877237200.0,-877237200.0,True,4,1,0.0,0.0,True
71,2159,101,NBCM,0.0,0,0.0,inf,8958244135.060717,8510331928.30768,-1252197800.0,-1252197800.0,True,4,3,0.0,0.0,True
71,2759,102,NBCM,0.0,0,0.0,inf,12428865740.144089,11807422453.136885,-7080128.244694392,-4856833.437409656,False,5,0,0.0,0.0,True
71,2759,103,NBCM,0.0,0,0.0,inf,3764480327.805605,3576256311.4153247,-3519361.9929767447,5073246.536960113,False,5,0,0.0,0.0,True
71,2759,104,NBCM,0.0,0,0.0,inf,5371985290.104975,5103386025.599726,-3933404.5803857734,5613581.423661302,False,5,0,0.0,0.0,True
78,14459,103,NBCM,0.0,0,0.0,inf,699484027.5971572,664509826.2172993,-273782400.0,-574544800.0,True,3,0,0.0,0.0,True
