ts,V_smooth,sigma_t
2020-02-24 13:30:00,3387.375000000002,0.0007098364266847783
2020-02-24 13:31:00,3387.855853492407,0.0007140033671270467
2020-02-24 13:32:00,3384.7126302619545,0.0007223411498658856
2020-02-24 13:33:00,3385.1359638036947,0.0007050646512057471
2020-02-24 13:34:00,3383.68174062001,0.0006852666846205464
2020-02-24 13:35:00,3384.2033824586038,0.0006741590809567733
2020-02-24 13:36:00,3381.746580532221,0.0006378392367932804
2020-02-24 13:37:00,3382.2051752810253,0.0006226709855687157
2020-02-24 13:38:00,3382.4319891715863,0.0006592373381076299
2020-02-24 13:39:00,3381.1879866548165,0.0006276437528283306
2020-02-24 13:40:00,3379.4753346930906,0.0006179693262867167
2020-02-24 13:41:00,3376.894272922136,0.0006351078522977177
2020-02-24 13:42:00,3376.0075020327367,0.0006407265164134229
2020-02-24 13:43:00,3376.855639880271,0.0006419848373805943
2020-02-24 13:44:00,3376.5439091034445,0.0006329730110870023
2020-02-24 13:45:00,3376.859585365689,0.0006419482469002991
2020-02-24 13:46:00,3379.6485523313427,0.0006538375082383639
2020-02-24 13:47:00,3378.9551607337826,0.0006099132281382557
2020-02-24 13:48:00,3379.5131066809317,0.0005868785503432026
2020-02-24 13:49:00,3380.9483762935884,0.0005216876881099128
2020-02-24 13:50:00,3381.771081948993,0.0004900504327008975
2020-02-24 13:51:00,3382.339572720472,0.00046061404587297835
2020-02-24 13:52:00,3382.4299312168187,0.0004646226023766943
2020-02-24 13:53:00,3385.2509801452948,0.00043633180888228335
2020-02-24 13:54:00,3385.101153345227,0.00044063056113812063
2020-02-24 13:55:00,3384.4792961122603,0.0004456508792716946
2020-02-24 13:56:00,3385.3432213031774,0.0004476705261963792
2020-02-24 13:57:00,3387.4559534592695,0.0003872052761412479
2020-02-24 13:58:00,3389.1874936319878,0.00036832276807371355
2020-02-24 13:59:00,3389.1887368820276,0.0003767537049819315
2020-02-24 14:00:00,3390.2273196409133,0.0003806981363886632
2020-02-24 14:01:00,3390.7975349798226,0.0003600243885670366
2020-02-24 14:02:00,3390.8452455225765,0.0003529249498066338
2020-02-24 14:03:00,3391.563506410758,0.0003427040292072998
2020-02-24 14:04:00,3392.2084973528745,0.0003268418653013789
2020-02-24 14:05:00,3392.332677877527,0.0003475554764454913
2020-02-24 14:06:00,3394.2910423225567,0.00034077306679419637
2020-02-24 14:07:00,3393.805307551235,0.00034515803426301585
2020-02-24 14:08:00,3395.471540496079,0.00035932516713633826
2020-02-24 14:09:00,3397.959272888849,0.00035334338606987545
2020-02-24 14:10:00,3400.4334933097216,0.00034883809808789715
2020-02-24 14:11:00,3400.7130333569903,0.00034490592495216256
2020-02-24 14:12:00,3400.4533082049334,0.0003488171896839351
2020-02-24 14:13:00,3398.588177535901,0.0003342339169663056
2020-02-24 14:14:00,3398.479175638911,0.0003396854759863302
2020-02-24 14:15:00,3401.424878118216,0.00035853902829511105
2020-02-24 14:16:00,3399.5865903774143,0.0003356991537544109
2020-02-24 14:17:00,3397.6780948161036,0.000354194857416279
2020-02-24 14:18:00,3398.6499558080773,0.00035471751234367394
2020-02-24 14:19:00,3399.3092246158544,0.0003330356099441951
2020-02-24 14:20:00,3396.943981442337,0.00037387357312837363
2020-02-24 14:21:00,3396.828881799314,0.00039350752905598487
2020-02-24 14:22:00,3397.222508741466,0.00037314200348717076
2020-02-24 14:23:00,3395.2882586892674,0.0003667549516344954
2020-02-24 14:24:00,3396.4626962541797,0.00037090271998057174
2020-02-24 14:25:00,3394.73994989851,0.00037264322927653475
2020-02-24 14:26:00,3396.2071765340506,0.00039022448714923517
2020-02-24 14:27:00,3396.4401084134356,0.00039184448468748136
2020-02-24 14:28:00,3395.442181836393,0.0004044725912107514
2020-02-24 14:29:00,3393.010161318636,0.00043769559888802824
2020-02-24 14:30:00,3392.485417474111,0.00042043878630511003
2020-02-24 14:31:00,3392.3127344907966,0.0004235009243357555
2020-02-24 14:32:00,3392.0945711524405,0.0004094924679824306
2020-02-24 14:33:00,3391.221052719666,0.00041394017714551707
2020-02-24 14:34:00,3390.90345131723,0.0003881058557412597
2020-02-24 14:35:00,3391.99646014698,0.00038198756071614715
2020-02-24 14:36:00,3390.77283558389,0.00038219581681515517
2020-02-24 14:37:00,3390.4517398858407,0.00039627014098742643
2020-02-24 14:38:00,3391.0877589596366,0.00043046950657094703
2020-02-24 14:39:00,3391.0186706905374,0.0003971828571873148
2020-02-24 14:40:00,3392.1085824269944,0.00038418525182837895
