ts,V_smooth
2019-01-02 13:30:00+00:00,2462.9999999999995
2019-01-02 13:35:00+00:00,2461.5004581041276
2019-01-02 13:40:00+00:00,2462.7702649636044
2019-01-02 13:45:00+00:00,2464.3350219227577
2019-01-02 13:50:00+00:00,2461.4255411595823
2019-01-02 13:55:00+00:00,2459.521815480918
2019-01-02 14:00:00+00:00,2459.8283192953045
2019-01-02 14:05:00+00:00,2459.4486488180437
2019-01-02 14:10:00+00:00,2459.5316518238715
2019-01-02 14:15:00+00:00,2458.3228985739
2019-01-02 14:20:00+00:00,2459.7903110968714
2019-01-02 14:25:00+00:00,2461.101505742336
2019-01-02 14:30:00+00:00,2461.183591864743
2019-01-02 14:35:00+00:00,2463.0361632502677
2019-01-02 14:40:00+00:00,2463.868787147208
2019-01-02 14:45:00+00:00,2462.6482356974525
2019-01-02 14:50:00+00:00,2463.3278991742573
2019-01-02 14:55:00+00:00,2461.953585456956
2019-01-02 15:00:00+00:00,2463.42169865581
2019-01-02 15:05:00+00:00,2463.4535734935444
2019-01-02 15:10:00+00:00,2463.276635991354
2019-01-02 15:15:00+00:00,2462.332259667633
2019-01-02 15:20:00+00:00,2464.3332242213314
2019-01-02 15:25:00+00:00,2456.7705286609057
2019-01-02 15:30:00+00:00,2456.2183776710904
2019-01-02 15:35:00+00:00,2455.78389416486
2019-01-02 15:40:00+00:00,2456.7140701012877
2019-01-02 15:45:00+00:00,2457.3869911462125
2019-01-02 15:50:00+00:00,2458.1331180627853
2019-01-02 15:55:00+00:00,2439.9756552713675
2019-01-02 16:00:00+00:00,2443.3687976685455
2019-01-02 16:05:00+00:00,2442.8532857037567
2019-01-02 16:10:00+00:00,2442.1755195834903
2019-01-02 16:15:00+00:00,2441.0355158833872
2019-01-02 16:20:00+00:00,2442.0884618616765
2019-01-02 16:25:00+00:00,2443.929317726832
2019-01-02 16:30:00+00:00,2443.862650689678
2019-01-02 16:35:00+00:00,2442.6813736085496
2019-01-02 16:40:00+00:00,2441.524709477257
2019-01-02 16:45:00+00:00,2442.6309785244875
2019-01-02 16:50:00+00:00,2443.880002063831
2019-01-02 16:55:00+00:00,2444.822325327353
2019-01-02 17:00:00+00:00,2443.9086973567637
2019-01-02 17:05:00+00:00,2444.373440115351
2019-01-02 17:10:00+00:00,2444.660925649585
2019-01-02 17:15:00+00:00,2445.1051171425565
2019-01-02 17:20:00+00:00,2446.5523917272917
2019-01-02 17:25:00+00:00,2447.0044698611428
2019-01-02 17:30:00+00:00,2448.156776680966
2019-01-02 17:35:00+00:00,2448.3691769423713
2019-01-02 17:40:00+00:00,2448.92239103869
2019-01-02 17:45:00+00:00,2450.002300475063
2019-01-02 17:50:00+00:00,2447.8690841547154
2019-01-02 17:55:00+00:00,2447.4859880358767
2019-01-02 18:00:00+00:00,2446.871294986028
2019-01-02 18:05:00+00:00,2445.997822676579
2019-01-02 18:10:00+00:00,2445.683431510867
2019-01-02 18:15:00+00:00,2448.089750344879
2019-01-02 18:20:00+00:00,2446.866964830204
2019-01-02 18:25:00+00:00,2448.4642438948676
2019-01-02 18:30:00+00:00,2445.985518746906
2019-01-02 18:35:00+00:00,2445.5793442158288
2019-01-02 18:40:00+00:00,2445.9377543544942
2019-01-02 18:45:00+00:00,2446.9470729138566
2019-01-02 18:50:00+00:00,2448.1490470634753
2019-01-02 18:55:00+00:00,2449.4779720061047
2019-01-02 19:00:00+00:00,2449.049924711719
2019-01-02 19:05:00+00:00,2448.4471757962997
2019-01-02 19:10:00+00:00,2449.8757243983
2019-01-02 19:15:00+00:00,2449.689848642667
2019-01-02 19:20:00+00:00,2447.835938500398
2019-01-02 19:25:00+00:00,2446.202246009767
2019-01-02 19:30:00+00:00,2444.8980462814056
2019-01-02 19:35:00+00:00,2445.770095400936
2019-01-02 19:40:00+00:00,2446.097297672053
2019-01-02 19:45:00+00:00,2447.266967321905
2019-01-02 19:50:00+00:00,2446.7186047944606
2019-01-02 19:55:00+00:00,2447.0707049064267
2019-01-02 20:00:00+00:00,2448.1410349970865
2019-01-02 20:05:00+00:00,2447.7737723675777
2019-01-02 20:10:00+00:00,2448.5847256501197
2019-01-02 20:15:00+00:00,2447.6752021496886
2019-01-03 13:30:00+00:00,2447.225441583577
2019-01-03 13:35:00+00:00,2446.7470453617275
2019-01-03 13:40:00+00:00,2445.018000059225
2019-01-03 13:45:00+00:00,2445.8744377292865
2019-01-03 13:50:00+00:00,2445.261639930685
2019-01-03 13:55:00+00:00,2445.389166756336
2019-01-03 14:00:00+00:00,2446.2361670794476
2019-01-03 14:05:00+00:00,2447.0308635388797
2019-01-03 14:10:00+00:00,2448.1623768940717
2019-01-03 14:15:00+00:00,2448.119373272306
2019-01-03 14:20:00+00:00,2447.5768997694668
2019-01-03 14:25:00+00:00,2447.562761931552
2019-01-03 14:30:00+00:00,2445.078091713172
2019-01-03 14:35:00+00:00,2442.9645760150993
2019-01-03 14:40:00+00:00,2441.043661582614
2019-01-03 14:45:00+00:00,2439.6229840776246
2019-01-03 14:50:00+00:00,2440.343851863617
2019-01-03 14:55:00+00:00,2439.0641854374385
2019-01-03 15:00:00+00:00,2438.592861740335
2019-01-03 15:05:00+00:00,2440.692111360016
2019-01-03 15:10:00+00:00,2440.254042531353
2019-01-03 15:15:00+00:00,2441.4930491018117
2019-01-03 15:20:00+00:00,2440.1696457496228
2019-01-03 15:25:00+00:00,2439.9628431995684
2019-01-03 15:30:00+00:00,2438.615138779245
2019-01-03 15:35:00+00:00,2438.20383469642
2019-01-03 15:40:00+00:00,2439.599329962026
2019-01-03 15:45:00+00:00,2433.793566841748
2019-01-03 15:50:00+00:00,2434.565703952677
2019-01-03 15:55:00+00:00,2435.037196884003
2019-01-03 16:00:00+00:00,2434.236345133827
2019-01-03 16:05:00+00:00,2432.133812306346
2019-01-03 16:10:00+00:00,2432.3517754735763
2019-01-03 16:15:00+00:00,2422.9595218019026
2019-01-03 16:20:00+00:00,2423.4210646464408
2019-01-03 16:25:00+00:00,2423.5616997501065
2019-01-03 16:30:00+00:00,2426.1090759787153
2019-01-03 16:35:00+00:00,2425.851776287111
2019-01-03 16:40:00+00:00,2424.3999602592457
2019-01-03 16:45:00+00:00,2424.780434189706
2019-01-03 16:50:00+00:00,2425.2230063196807
2019-01-03 16:55:00+00:00,2427.402176015797
2019-01-03 17:00:00+00:00,2428.783559800566
2019-01-03 17:05:00+00:00,2431.0797560527544
2019-01-03 17:10:00+00:00,2433.423341074357
2019-01-03 17:15:00+00:00,2431.7145214016705
2019-01-03 17:20:00+00:00,2430.8451255233213
2019-01-03 17:25:00+00:00,2429.5382411295855
2019-01-03 17:30:00+00:00,2429.050985345477
2019-01-03 17:35:00+00:00,2427.058698081727
2019-01-03 17:40:00+00:00,2428.134858199423
2019-01-03 17:45:00+00:00,2427.903474714777
2019-01-03 17:50:00+00:00,2425.768698312676
2019-01-03 17:55:00+00:00,2424.3289913764943
2019-01-03 18:00:00+00:00,2424.913933922874
2019-01-03 18:05:00+00:00,2426.298497633682
2019-01-03 18:10:00+00:00,2429.4514416085867
2019-01-03 18:15:00+00:00,2434.010408857946
2019-01-03 18:20:00+00:00,2434.752002738757
2019-01-03 18:25:00+00:00,2433.3467706260208
2019-01-03 18:30:00+00:00,2430.19752051728
2019-01-03 18:35:00+00:00,2430.7139392327663
2019-01-03 18:40:00+00:00,2429.5805550649716
2019-01-03 18:45:00+00:00,2429.05430696307
2019-01-03 18:50:00+00:00,2428.2280465201356
2019-01-03 18:55:00+00:00,2428.120862112375
2019-01-03 19:00:00+00:00,2429.8550343576676
2019-01-03 19:05:00+00:00,2430.202431262318
2019-01-03 19:10:00+00:00,2430.0679196473866
2019-01-03 19:15:00+00:00,2428.595034243282
2019-01-03 19:20:00+00:00,2426.1489013856
2019-01-03 19:25:00+00:00,2425.51528649816
2019-01-03 19:30:00+00:00,2425.5407944149474
2019-01-03 19:35:00+00:00,2428.3436975469554
2019-01-03 19:40:00+00:00,2428.6500296294425
2019-01-03 19:45:00+00:00,2430.25749442336
2019-01-03 19:50:00+00:00,2429.6029837273686
2019-01-03 19:55:00+00:00,2427.9026719983235
2019-01-03 20:00:00+00:00,2426.5386193142676
2019-01-03 20:05:00+00:00,2425.5408313269763
2019-01-03 20:10:00+00:00,2428.8937927926536
2019-01-03 20:15:00+00:00,2427.7483768776337
2019-01-04 13:30:00+00:00,2429.1351123563863
2019-01-04 13:35:00+00:00,2427.8652156295875
2019-01-04 13:40:00+00:00,2429.3940725287043
2019-01-04 13:45:00+00:00,2430.089288906521
2019-01-04 13:50:00+00:00,2429.9578318664726
2019-01-04 13:55:00+00:00,2430.003261772604
2019-01-04 14:00:00+00:00,2421.4832937211936
2019-01-04 14:05:00+00:00,2422.2692504341558
2019-01-04 14:10:00+00:00,2421.684302011769
2019-01-04 14:15:00+00:00,2419.927717177668
2019-01-04 14:20:00+00:00,2418.092911090619
2019-01-04 14:25:00+00:00,2418.4622347416407
2019-01-04 14:30:00+00:00,2420.9697463194734
2019-01-04 14:35:00+00:00,2421.3203494591985
2019-01-04 14:40:00+00:00,2421.247164242911
2019-01-04 14:45:00+00:00,2421.789239820737
2019-01-04 14:50:00+00:00,2423.884337883393
2019-01-04 14:55:00+00:00,2424.3258110846614
2019-01-04 15:00:00+00:00,2423.8074464465144
2019-01-04 15:05:00+00:00,2425.5999575284286
2019-01-04 15:10:00+00:00,2426.3608570029114
2019-01-04 15:15:00+00:00,2428.8104373848864
2019-01-04 15:20:00+00:00,2429.1976446615713
2019-01-04 15:25:00+00:00,2427.4373433876017
2019-01-04 15:30:00+00:00,2425.459371816734
2019-01-04 15:35:00+00:00,2428.0837093203368
2019-01-04 15:40:00+00:00,2430.8219570333076
2019-01-04 15:45:00+00:00,2430.6555219069396
2019-01-04 15:50:00+00:00,2430.1781521159787
2019-01-04 15:55:00+00:00,2432.518027852887
2019-01-04 16:00:00+00:00,2430.934631870298
2019-01-04 16:05:00+00:00,2429.67631040017
2019-01-04 16:10:00+00:00,2430.766115665088
2019-01-04 16:15:00+00:00,2430.2712926465488
2019-01-04 16:20:00+00:00,2411.3059519552194
2019-01-04 16:25:00+00:00,2411.1652035370676
2019-01-04 16:30:00+00:00,2411.78342343979
2019-01-04 16:35:00+00:00,2414.0237534531375
2019-01-04 16:40:00+00:00,2414.268083609409
2019-01-04 16:45:00+00:00,2415.351906275529
2019-01-04 16:50:00+00:00,2412.350016776186
2019-01-04 16:55:00+00:00,2412.3830607067325
2019-01-04 17:00:00+00:00,2411.212343817517
2019-01-04 17:05:00+00:00,2409.473636472193
2019-01-04 17:10:00+00:00,2408.251498781936
2019-01-04 17:15:00+00:00,2407.852742257245
2019-01-04 17:20:00+00:00,2409.3452789828966
2019-01-04 17:25:00+00:00,2407.445214282909
2019-01-04 17:30:00+00:00,2407.5982005416595
2019-01-04 17:35:00+00:00,2406.972663857883
2019-01-04 17:40:00+00:00,2406.583870758352
2019-01-04 17:45:00+00:00,2408.2070145983726
2019-01-04 17:50:00+00:00,2409.127957076778
2019-01-04 17:55:00+00:00,2411.2596589042655
2019-01-04 18:00:00+00:00,2411.1324500625797
2019-01-04 18:05:00+00:00,2410.1853339152385
2019-01-04 18:10:00+00:00,2409.953183922833
2019-01-04 18:15:00+00:00,2410.4271197385387
2019-01-04 18:20:00+00:00,2410.8013083463547
2019-01-04 18:25:00+00:00,2409.266340333161
2019-01-04 18:30:00+00:00,2409.5100449920483
2019-01-04 18:35:00+00:00,2409.962292083702
2019-01-04 18:40:00+00:00,2413.883530711775
2019-01-04 18:45:00+00:00,2416.8383172103686
2019-01-04 18:50:00+00:00,2415.6502432592756
2019-01-04 18:55:00+00:00,2415.321179266041
2019-01-04 19:00:00+00:00,2413.208630097432
2019-01-04 19:05:00+00:00,2412.4201751663622
2019-01-04 19:10:00+00:00,2413.0054142152053
2019-01-04 19:15:00+00:00,2414.9409779088087
2019-01-04 19:20:00+00:00,2398.3767384567536
2019-01-04 19:25:00+00:00,2397.497581337003
2019-01-04 19:30:00+00:00,2394.3718001264992
2019-01-04 19:35:00+00:00,2394.233208772512
2019-01-04 19:40:00+00:00,2392.7418184354256
2019-01-04 19:45:00+00:00,2392.0521143794786
2019-01-04 19:50:00+00:00,2384.1516536397935
2019-01-04 19:55:00+00:00,2384.1160990649155
2019-01-04 20:00:00+00:00,2381.5905180632626
2019-01-04 20:05:00+00:00,2379.5020851330255
2019-01-04 20:10:00+00:00,2382.792568282655
2019-01-04 20:15:00+00:00,2380.971731365458
2019-01-07 13:30:00+00:00,2379.4372246553858
