ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2019-01-01T00:00:00.000000000Z,35,1,18720,2508.000000000,2521.000000000,2506.250000000,2517.000000000,14934,ESH9
2019-01-01T00:00:00.000000000Z,35,1,13135,3.650000000,3.650000000,3.650000000,3.650000000,1,ESH9-ESM9
2019-01-01T00:00:00.000000000Z,35,1,736,2509.500000000,2523.750000000,2509.500000000,2521.750000000,38,ESM9
2019-01-02T00:00:00.000000000Z,35,1,18720,2517.250000000,2521.250000000,2452.250000000,2474.750000000,1933580,ESH9
2019-01-02T00:00:00.000000000Z,35,1,15686,2.300000000,2.300000000,2.300000000,2.300000000,5,ESM9-ESU9
2019-01-02T00:00:00.000000000Z,35,1,16145,2525.000000000,2525.000000000,2525.000000000,2525.000000000,1,ESZ9
2019-01-02T00:00:00.000000000Z,35,1,736,2519.750000000,2523.750000000,2457.500000000,2479.750000000,2964,ESM9
2019-01-02T00:00:00.000000000Z,35,1,15546,6.300000000,6.800000000,6.300000000,6.650000000,5,ESH9-ESU9
2019-01-02T00:00:00.000000000Z,35,1,13135,3.450000000,3.750000000,3.150000000,3.550000000,1445,ESH9-ESM9
2019-01-02T00:00:00.000000000Z,35,1,37699,2461.250000000,2520.500000000,2461.250000000,2482.500000000,12,ESU9
2019-01-03T00:00:00.000000000Z,35,1,16145,2480.250000000,2480.250000000,2459.000000000,2459.000000000,4,ESZ9
2019-01-03T00:00:00.000000000Z,35,1,37699,2482.000000000,2482.000000000,2454.500000000,2454.500000000,7,ESU9
2019-01-03T00:00:00.000000000Z,35,1,15546,6.350000000,6.450000000,5.550000000,6.000000000,57,ESH9-ESU9
2019-01-03T00:00:00.000000000Z,35,1,15686,1.800000000,1.800000000,1.800000000,1.800000000,2,ESM9-ESU9
2019-01-03T00:00:00.000000000Z,35,1,736,2480.000000000,2496.000000000,2447.250000000,2455.500000000,2707,ESM9
2019-01-03T00:00:00.000000000Z,35,1,18720,2475.000000000,2493.500000000,2443.250000000,2449.500000000,2172622,ESH9
2019-01-03T00:00:00.000000000Z,35,1,13135,3.550000000,3.650000000,3.200000000,3.200000000,7551,ESH9-ESM9
2019-01-04T00:00:00.000000000Z,35,1,15686,2.800000000,2.950000000,2.800000000,2.950000000,4,ESM9-ESU9
2019-01-04T00:00:00.000000000Z,35,1,13135,3.250000000,4.300000000,3.150000000,4.250000000,8437,ESH9-ESM9
2019-01-04T00:00:00.000000000Z,35,1,15546,6.000000000,7.550000000,6.000000000,7.550000000,82,ESH9-ESU9
2019-01-04T00:00:00.000000000Z,35,1,37699,2445.000000000,2545.500000000,2444.750000000,2537.000000000,64,ESU9
2019-01-04T00:00:00.000000000Z,35,1,736,2450.750000000,2542.750000000,2442.250000000,2534.000000000,2415,ESM9
2019-01-04T00:00:00.000000000Z,35,1,18720,2449.250000000,2539.250000000,2438.500000000,2529.500000000,2255998,ESH9
